,logFC,logCPM,PValue,FDR
PA0425,1.03691118945791,7.73449679266805,0.000122235510324746,0.000254418338571815
PA1112.1,-1.98678895363854,-0.56006205491451,0.000125473482869699,0.000260985981219629
PA3089a,-1.06701311246964,2.77714418393948,0.000125482868744203,0.000260985981219629
PA2676,-1.36303851767629,1.16469433661421,0.000125686975933483,0.00026131477456987
PA5047,0.965118146437712,6.89177553012415,0.000126382166411108,0.00026266396079146
PA1724,1.35420955572096,0.943346480961263,0.000129823216717977,0.000269716876884257
PA4560,0.944522873812736,9.26854418432219,0.000130522374222899,0.000271070241710907
PA1831,-1.19989162652271,5.42189354316502,0.00013185037465397,0.00027372812697815
PA0750,1.29486605426647,5.42747093404309,0.000132182256234655,0.000274316831469433
PA4412,0.827372460945474,6.58852426295218,0.000133184611171018,0.00027622013620096
PA1466,0.973841471444969,4.51580279259877,0.00013319667716066,0.00027622013620096
PA5116,-1.2253039161582,3.31389971005561,0.000133760433666643,0.000277287967272436
PA4504,-1.02154525930273,4.6917550960854,0.000134566355413035,0.00027885684891796
PA3980,1.18155105732677,7.56049267071086,0.000135685709943775,0.000281073863940443
PA5390,0.872551002655608,3.64570631352755,0.000137668431458337,0.000285077080167919
PA4790,0.880237659834167,3.92432049040065,0.000138315137179494,0.000286311829713877
PA3701,0.913828259349519,8.48367205168362,0.000139445608311801,0.000288546706995045
PA3871,-1.32360319878193,2.72120946050224,0.000140416034792686,0.000290448905483742
PA2240,-1.74762430253183,4.15144619377791,0.000141480215323177,0.000292543577059358
PA0185,1.21425754104245,2.86687078778441,0.000141964776465731,0.00029343866063794
PA1311,-1.11173394909196,3.09668086691126,0.000142334900177763,0.000294096638722466
PA2549,-1.28603156269361,4.70838694442559,0.000142557983766115,0.000294450429910514
PA3034,-1.15830574999231,4.57047195182701,0.000146592268459982,0.000302673054660282
PA2856,-0.998224983791481,5.27238604067458,0.000146659182002403,0.000302701139734513
PA1546,1.28984505730477,7.51164563400404,0.000146809790302806,0.000302901885661094
PA1961,-1.14066930765851,3.34789524141558,0.000147048759935544,0.000303284728991652
PA4989,0.96188101279334,2.98367266908444,0.000148876769465761,0.000306943462972618
PA3987,1.07046969952397,9.83360035057426,0.000150685293287145,0.000310559381228461
PA4354,1.2518031387924,2.96298174503603,0.00015264853063426,0.000314491421241412
PA3948,1.09758117111712,5.74663417956756,0.000153095873324903,0.000315298646622705
PA3395,-1.47944833274211,2.93400671727775,0.000153405565518529,0.000315821900295216
PA4338,-1.07441096028977,5.09056965164574,0.000157108951903264,0.000323328970245281
PA4972,0.863428630915564,6.61838455897514,0.000158350100491605,0.000325765170504107
PA3864,1.05719858662355,4.82483902046859,0.000160182170575233,0.000329326613265222
PA0849,-1.81576424039347,4.78824377856403,0.000160224229413583,0.000329326613265222
PA2813,-1.14267344826731,5.85642229324536,0.00016025527165407,0.000329326613265222
PA4509,1.12575925049851,4.09454641850429,0.00016292778163326,0.000334648956689879
PA3621.1,-2.9510974741734,5.18198679993821,0.000162963079472969,0.000334648956689879
PA4809,1.19240566820778,5.43576940213021,0.000163255694131451,0.000335128644713802
PA3772,-1.20537616852527,2.36152306403077,0.000165318192062385,0.000339239860690358
PA4430,1.30787637055607,8.94202295139875,0.000168527106538793,0.000345699751057538
PA4482,1.24348655015947,6.39127666459132,0.000169957545434569,0.00034850810508396
PA1015,0.929076740304661,4.87580947046613,0.000173007374701368,0.000354633889369808
PA0232,-1.46929536209541,4.13362893610197,0.00017612925892227,0.000360902898650541
PA2935,-2.30363886168051,-0.777376833986278,0.000176251120226415,0.000361022316250211
PA2663,-2.32823769274955,3.05331130248393,0.000176547053470464,0.000361498077751639
PA5254,0.934004515631731,5.31861819792386,0.000177369683090484,0.000363051571949447
PA3711,-0.873068343202271,5.48558867400001,0.000179181133343121,0.000366627198242248
PA5526,-1.65115861709058,6.44005640040326,0.000179799974562849,0.000367760898979775
