,logFC,logCPM,PValue,FDR
PA1343,1.46112998668896,3.68282913618589,1.34149647593712e-07,6.17762935147688e-07
PA1987,-1.68551021588805,4.59403355544195,1.34675520523408e-07,6.19682014207383e-07
PA3802,1.29703734719325,7.7170387377502,1.35372724579438e-07,6.22385692438907e-07
PA0444,-1.37311377311239,4.37803842023142,1.38899301096335e-07,6.38082711670706e-07
PA4003,1.16445323811282,7.27926218738121,1.39222778294524e-07,6.39051685655866e-07
PA2275,-1.29536750135869,3.55552480540123,1.43404253990764e-07,6.57713533246814e-07
PA5546,-1.63989315865094,7.26331761974775,1.52477138022236e-07,6.97635124649681e-07
PA0069,1.61799889866051,5.50259655248247,1.53766970050042e-07,7.02970093352769e-07
PA4724,1.53830341113257,5.36763009639115,1.54814082857898e-07,7.07187741325135e-07
PA2593,-1.53036637916853,3.23254004606069,1.62385934835198e-07,7.41179532149722e-07
PA4312,-1.24135130611955,5.35974370869175,1.65454298246557e-07,7.54577916019239e-07
PA2304,-1.78093096040176,4.74388498933557,1.67558417855773e-07,7.6356075167342e-07
PA2041,-1.30372671201588,5.60364803099024,1.68977906287499e-07,7.69411829912124e-07
PA4411,1.28297794279144,8.04871360201023,1.7012108686589e-07,7.7399641925042e-07
PA4652,-1.58276160678801,4.09263833891781,1.79028763226522e-07,8.13706050568173e-07
PA3670,1.38190094589206,4.68074217836404,1.7997641253262e-07,8.1687135920081e-07
PA2765,1.55525973397199,6.0169860465919,1.81338100451806e-07,8.22394356521846e-07
PA2789,1.41514964834042,3.59668877103149,1.82313638843065e-07,8.2615869221941e-07
PA0930,-1.16171072108593,4.81815891443994,1.9204013891269e-07,8.69540597086326e-07
PA0039,-1.36608503693972,8.1070631096789,1.93750732555445e-07,8.7658697964129e-07
PA0811,-1.29472827637,3.78691426002807,1.95732694053633e-07,8.84848914678765e-07
PA2739,1.49971367360118,8.38388397909531,2.01456541655109e-07,9.09276823146034e-07
PA1583,1.4116664543056,10.1291073820589,2.02583496046843e-07,9.13637085428098e-07
PA0731,-1.24171114759231,5.96916678442123,2.04359952327157e-07,9.20917308979046e-07
PA4832,1.52083168931273,3.15194794554192,2.05224579909197e-07,9.24080225792564e-07
PA3452,1.79474200289729,7.45199641100734,2.0671059730793e-07,9.30033891849785e-07
PA1608,1.36595613819284,3.89021625070213,2.07575044485293e-07,9.33183770853124e-07
PA0413,1.31241779841956,8.98999455886125,2.11631573868858e-07,9.50667781983681e-07
PA0567,-1.946678563637,4.55841860663199,2.16024793453313e-07,9.6963539701811e-07
PA3445,1.6772580458142,4.45214362790248,2.20643700061806e-07,9.89585251935968e-07
PA5475,2.42997949051706,7.89239732005941,2.21825948572911e-07,9.94102396209145e-07
PA4595,1.34063867277483,8.75146200915252,2.23162285806e-07,9.99302412307939e-07
PA4429,1.320377041217,8.56533544752964,2.24436445657713e-07,1.00421602714302e-06
PA2488,-1.29733450996253,3.88790762981282,2.32881037527419e-07,1.04117994573282e-06
PA0101,1.34642822079866,4.23982264891345,2.3837791667308e-07,1.06491723907927e-06
PA2653,1.63676007925377,5.32039928834155,2.39077315603268e-07,1.06668374282607e-06
PA3720,-1.53948279249027,4.30553425002758,2.4610906387686e-07,1.09686598484522e-06
PA3278,2.47674051744865,5.822192277623,2.52544210628045e-07,1.12378215356273e-06
PA2409,-2.30008858810797,4.98358004607023,2.59672667795408e-07,1.15357229607134e-06
PA0016,1.23748757409992,6.67873481612813,2.60218117788877e-07,1.15357229607134e-06
PA3119,-1.2828373559931,5.26971036538837,2.60254686732544e-07,1.15357229607134e-06
PA1281,1.36793834219181,3.01153060628489,2.66323632726287e-07,1.17863256946209e-06
PA4993,-1.38795624835554,6.11540821737648,2.70338955367799e-07,1.19547086337879e-06
PA3121,-1.46069036810039,7.20517598004154,2.75413759397133e-07,1.21696445591978e-06
PA3542,-1.80610230021402,3.03481234546477,2.82467347926145e-07,1.24716143197873e-06
PA0065,1.13711368771527,5.1828458651011,2.8444454231788e-07,1.25491539338067e-06
PA2688,-1.22522317553314,4.02692633968278,2.88432785099229e-07,1.27152279021228e-06
PA2652,1.83550894000436,4.84876683985975,2.89399414369082e-07,1.27479431713549e-06
PA4452,1.77749140859393,5.52585036659999,2.92575635025217e-07,1.28678888898e-06
PA2708,-1.35614421313077,4.31882449068568,2.93895354991438e-07,1.29159274430448e-06
PA4704.1,-4.81811119799417,5.24411451438176,3.12977606359065e-07,1.37439044772372e-06
PA2658,-1.24070455687397,5.42740764648766,3.13562270604874e-07,1.37589379636358e-06
PA3931,1.44442677232737,5.436701568907,3.14621748926414e-07,1.37841226111434e-06
PA5521,-1.1843090503498,6.59074155787601,3.24079544211728e-07,1.4187537795175e-06
PA1763,-1.54512492563778,3.67849893985295,3.25508967440656e-07,1.42391364955936e-06
PA1852,-1.64899816112987,7.45767062829326,3.26931813233199e-07,1.42903682489461e-06
PA0331,1.15138644552523,7.1617867060128,3.30213094698282e-07,1.44116060852947e-06
PA4253,2.1228519252692,8.6002455101047,3.39683244678819e-07,1.48135289038889e-06
PA0002,1.26213572143814,8.14267420027582,3.41721379753609e-07,1.48909746296316e-06
PA3115,1.17458558163422,9.04968041616912,3.43035069642365e-07,1.49367570968508e-06
PA1698,1.8926815156351,3.11781596432628,3.43905606086991e-07,1.4963187979785e-06
PA1851,-1.45940521688905,4.35680252249653,3.48147759066804e-07,1.51361636752015e-06
PA0334,1.3452318362091,5.04742758713638,3.49677277453647e-07,1.51910296968769e-06
PA1129,-1.30726434414884,3.91949414225256,3.58719348194777e-07,1.55719301150607e-06
PA4829,-1.22589553249579,5.15343546074954,3.59183530015227e-07,1.55801687045566e-06
PA0654,1.88183644363559,6.48715989925801,3.76603537355297e-07,1.63233197336136e-06
PA3583,1.18185516459927,6.42161325522908,3.83868719382433e-07,1.66255269920172e-06
PA4338,-1.68391048522163,5.25878085254354,3.87025252632504e-07,1.67494617717024e-06
PA4328,2.09358091333881,6.4737862897605,3.88554572368842e-07,1.68028397708323e-06
PA2604,-1.80974438039054,8.99784088491726,3.980644800778e-07,1.72009902426313e-06
PA2306,-1.21392252450897,4.94026139509851,4.01587888140857e-07,1.73400458468729e-06
PA0448,1.2297172981021,5.01022195277269,4.10608814435689e-07,1.77160854739046e-06
