,logFC,logCPM,PValue,FDR
PA3573,0.913661334310352,5.27951211756981,0.0001644012179638,0.00038477745902657
PA4791,-0.985720405077337,3.69917865045094,0.000169238150444801,0.0003959349889681
PA1033,-1.06215393084179,4.74667116726103,0.0001706911780088,0.000399169896513166
PA4801,0.931588866939935,3.23476224207794,0.000170890394960588,0.00039947124849165
PA4740,1.13789434346743,9.9941941143679,0.000172933564721729,0.000404080979625505
PA1499,-1.14549226551495,1.62618326179605,0.000173321915285739,0.000404821816121937
PA0423,0.920852564797544,7.67372702425767,0.000173720205311336,0.000405585249078029
PA0515,-1.15455100750432,4.81271612789067,0.000174835751866261,0.000408021947840786
PA4494,0.855134616669843,7.38092803844256,0.000176080929661098,0.000410759046267754
PA2862,-1.18719869158489,3.0470417130404,0.000176326002287983,0.000411161823815675
PA3494,0.967810253859174,3.15997854520953,0.000177740950447747,0.00041429109878584
PA4799,-1.2285772997872,3.84901130993832,0.000177963764162359,0.000414640235089812
PA3401,1.14689567591752,3.30131488890153,0.000178052927532872,0.000414677818921922
PA3825,-0.807922294361847,4.48051452448179,0.000178431693417748,0.000415389567538325
PA2814,-1.01923714925054,3.60673378085503,0.000178657748155867,0.000415745366405334
PA4336,0.973934715259897,4.98109601191803,0.000180883528763362,0.000420752427823995
PA3107,0.78433818974561,6.99296066980893,0.00018129467342573,0.000421536099799876
PA2618,-1.05717386995785,4.51136389176345,0.000183480297963997,0.000426443361375184
