,logFC,logCPM,PValue,FDR
PA1048,-1.04698263809209,8.59298595474441,2.3496792390381e-05,6.28129883204252e-05
PA1910,-1.2371687125618,3.37156288443056,2.37085063259497e-05,6.33491289029375e-05
PA3288,-1.08808094153673,4.11715701266164,2.40080003935524e-05,6.40890579382183e-05
PA0434,-1.06746195302912,4.64141927064898,2.42009411419009e-05,6.45532854165344e-05
PA0048,-1.42858228563737,3.36367570293047,2.4204639776647e-05,6.45532854165344e-05
PA5298,1.07746322771698,5.82989597965468,2.46394849173541e-05,6.56513352232457e-05
PA4270.1,2.12962822234642,6.02261329192969,2.51626983156066e-05,6.69511719943836e-05
PA4338,-1.15485612664867,4.95346343980059,2.57253472215659e-05,6.83201690945049e-05
PA3162,1.64324393296145,11.757814936582,2.59289411103219e-05,6.88065171575116e-05
PA0347,1.07009003371392,3.57448997400052,2.65275307808886e-05,7.02206618992473e-05
PA1703,1.03414601534003,4.15743593328085,2.67441142549254e-05,7.06815721198249e-05
PA3124,1.09002219094932,4.58383931145622,2.6751443903752e-05,7.06815721198249e-05
PA1421,1.19845370749427,4.58607679834467,2.70067619435044e-05,7.13229741001014e-05
PA2580,-1.05171710022098,3.66805549059304,2.70888364511453e-05,7.15064683261754e-05
PA1794,1.12914441451576,8.20324241529833,2.72237656635391e-05,7.18292478799141e-05
PA4389,1.14066967313026,6.57759431667311,2.84105701732334e-05,7.48910015987089e-05
PA0448,1.06354528052496,4.27616613643336,2.85409875767157e-05,7.51998735315972e-05
PA4969,1.06704382321131,5.76523610510765,2.93205645602783e-05,7.71465086067007e-05
PA2118a,-1.00615058898362,4.37231584119394,2.94343929510801e-05,7.73742977667744e-05
PA1129,-1.12077515324366,3.74613562498894,2.98032111086705e-05,7.83075579245862e-05
PA1402,-1.16586046608762,3.34294069669799,3.00817063904708e-05,7.89662176999969e-05
PA1198,-1.06849182306844,7.78460024796557,3.04721368111271e-05,7.99541556439832e-05
PA2826,1.26943190379744,4.33730091363161,3.14957500102176e-05,8.24874854972396e-05
PA3861,1.03606740145362,7.6211413723242,3.16525880952437e-05,8.27843333666582e-05
