,logFC,logCPM,PValue,FDR
PA4379,-1.45757683132881,5.0485580541994,9.99387591948326e-10,4.48933761636281e-09
PA4523,-1.58293319745209,7.98235081088085,1.00228942281982e-09,4.49881370970035e-09
PA1197,2.41233693362412,6.59774811423976,1.01571814298963e-09,4.55548784825838e-09
PA0960,-1.50412585753573,3.99466786347441,1.03282169366639e-09,4.62854110231867e-09
PA4151,-3.34885737817812,4.18991369353086,1.04981554071077e-09,4.70098788655818e-09
PA4596,2.065749988048,5.51819839348996,1.05833183846561e-09,4.73538863578228e-09
PA2012,-1.78955582583233,7.28190686969695,1.06674333404607e-09,4.76926665410516e-09
PA4405,-1.28447572529738,4.96880970525377,1.06924984235139e-09,4.77671172688529e-09
PA0025,1.67717385037621,6.61864917239561,1.08124287445586e-09,4.82649138456003e-09
PA0663,1.31336481690037,5.13661845558667,1.11342296696038e-09,4.96623378350435e-09
PA0120,1.38729773662833,4.21634937950665,1.1402300884967e-09,5.08181039441463e-09
PA2305,-1.43522638751253,7.57128628224212,1.14596386360476e-09,5.10335907258654e-09
PA4582,1.41205989137209,4.81350925221884,1.16833997262812e-09,5.19892975280758e-09
PA3838,1.25975388274189,5.94061128031112,1.17901879073583e-09,5.24234040234771e-09
PA4270,1.81561164205761,10.925857502461,1.20515157123969e-09,5.3543432093106e-09
PA2740,1.42379880087611,7.05254446888435,1.20922040122775e-09,5.36822004548174e-09
PA5552,1.29807310018213,7.50670683189205,1.22704708643634e-09,5.44310418498872e-09
PA0549,1.64437291799491,5.26723966094701,1.28757874947947e-09,5.70716014015957e-09
PA2903,1.49592967785071,4.34734722689903,1.30963109017223e-09,5.8003785725413e-09
PA1028,-1.36730160119049,4.30342979608565,1.31614735449902e-09,5.82469577462623e-09
PA3160,-2.80185149497522,9.16713577270905,1.36446781133525e-09,6.03383818750898e-09
PA2403,-3.1866364144197,6.99851081192274,1.38734693972224e-09,6.13023807295167e-09
PA1216,-1.79935357359576,3.04680963933298,1.39203469345751e-09,6.14616873207755e-09
PA0808,-1.43175478904213,3.23407852198122,1.4710645506257e-09,6.49005790089569e-09
PA1805,1.39468791965809,8.60689370193645,1.54813248180001e-09,6.81946953581107e-09
PA4932,1.5940117524331,9.88700543924318,1.55507666022543e-09,6.84474827655813e-09
PA0065,1.33959943739182,5.19686824095384,1.57705988167834e-09,6.93613168719565e-09
PA4216,-2.67345331861049,4.49693550667398,1.59461632346965e-09,7.00791910577453e-09
PA1080,1.67293148347266,6.90367962739061,1.63654849598574e-09,7.18663755623126e-09
PA2649,1.51511851359297,7.85030853626619,1.66142322088099e-09,7.28460312599401e-09
PA2097,-1.52440949064336,3.41058803646425,1.66767343534952e-09,7.30619528194066e-09
PA1362,-1.50394900925948,3.09984636740933,1.66922359986481e-09,7.30619528194066e-09
PA5194,1.43458546409397,5.41881044072843,1.67554869735608e-09,7.32391493732705e-09
PA2746a,-1.47459660093328,5.4804239694955,1.68767967376792e-09,7.36588581219766e-09
PA4269,1.84856583868294,11.2898456390264,1.68774523453138e-09,7.36588581219766e-09
PA4682,-1.34398388577662,4.13484741579834,1.71034755919678e-09,7.4587968057752e-09
PA0020,1.43797612715828,7.25162577474956,1.72733591908077e-09,7.52710157217238e-09
PA1717,1.51972266503817,3.43384040245897,1.72914489604446e-09,7.5292060734206e-09
PA1894,-3.3307631931645,3.21499202854019,1.76699846565978e-09,7.688135852886e-09
PA0953,-1.52646967733382,6.43738143890776,1.80755656331297e-09,7.85858052564396e-09
PA4714,-1.55545960912362,7.46098991288558,1.90277596228741e-09,8.26622946738175e-09
PA3621,1.81122647252571,6.55227780521711,1.91467331306801e-09,8.30584106112659e-09
PA5004,1.3693707487548,7.10500574658422,1.91481964582858e-09,8.30584106112659e-09
PA1795,1.3341122404594,7.84202888714353,1.97718133533924e-09,8.56979818477571e-09
PA4692,-1.40993018448414,5.87021971031877,2.0160200812523e-09,8.73147370049623e-09
PA4708,-1.83710708093812,5.28772752047315,2.14866899733849e-09,9.29888915159141e-09
PA3042,-1.24836711100466,4.7056948674068,2.15039219430768e-09,9.29925885702894e-09
