Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA3204	555	377	361	1105	1163	1069
PA3205	5032	4214	3692	1620	1292	1376
PA3206	625	617	632	490	537	497
PA3207	335	200	175	210	359	274
PA3208	845	610	503	349	608	557
PA3209	10	24	24	70	77	108
PA3210	248	267	284	863	669	374
PA3211	1003	694	698	1956	2038	1568
PA3212	367	294	250	920	964	1065
PA3213	662	482	490	1988	1690	1531
PA3214	466	319	346	749	1108	894
PA3215	640	578	392	912	836	757
PA3216	373	390	256	206	122	108
PA3217	682	478	592	916	836	545
PA3219	36	10	22	25	45	33
PA3220	919	792	678	435	446	439
PA3221	1105	937	810	1079	790	630
PA3222	1981	1302	1361	1767	1987	1198
PA3223	269	259	238	445	378	197
PA3224	1703	1665	1389	968	800	1048
PA3225	1145	1141	1000	2209	1884	1806
PA3226	576	497	426	479	553	643
PA3227	1199	1325	1574	3911	3006	3126
PA3228	973	843	785	3125	2796	2292
PA3229	177	164	123	182	161	185
PA3230	1254	1195	1079	716	982	804
PA3231	561	675	705	71	54	58
PA3232	365	525	382	253	231	235
PA3233	725	1235	1160	678	440	486
PA3234	2720	6375	5541	2090	828	676
PA3235	2055	7455	5678	346	182	191
PA3236	2719	2361	2498	461	306	333
PA3237	44	64	41	35	23	69
PA3238	1389	1370	1496	1470	1444	1321
PA3239	496	539	517	1451	1118	741
PA3240	458	745	416	580	444	496
PA3241	1235	717	730	1067	1348	1918
PA3242	1037	701	632	956	1225	874
PA3243	2267	1733	1491	2358	2639	3009
PA3244	3097	2202	2470	9447	7581	3700
PA3245	753	490	630	4392	3177	2000
PA3246	224	159	163	1015	948	731
PA3247	2874	2378	2095	3742	3997	3567
PA3248	324	316	240	546	585	493
PA3249	446	323	303	123	164	194
PA3250	2110	1720	1568	282	335	234
PA3251	365	288	292	80	48	101
PA3252	204	192	178	100	55	81
PA3253	120	138	83	70	46	46
PA3254	284	184	221	225	232	183
PA3255	1199	957	783	1243	1437	1344
PA3256	3362	2732	1754	1087	1631	1757
PA3257	8422	7731	6875	19080	10616	8846
PA3258	566	473	321	414	404	324
PA3259	574	484	363	448	635	702
PA3260	1750	1457	1134	686	753	807
PA3261	3169	2801	2368	859	830	835
PA3262	4112	4099	4054	8834	10458	6392
PA3262.1	408	326	405	307	403	190
PA3262.2	245	433	509	38	15	70
PA3263	1260	883	932	4350	4429	3816
PA3264	529	418	469	794	1008	778
PA3265	537	332	323	240	242	259
PA3266	21791	25777	15402	12917	3208	2410
PA3267	1221	1073	937	3393	3790	2216
PA3268	303	307	262	487	1037	402
PA3269	332	332	222	539	555	308
PA3270	614	546	623	1640	1972	1146
PA3271	1183	1154	1157	4084	3589	3240
PA3272	3082	3171	2840	1674	1984	2604
PA3273	744	1040	1036	80	117	145
PA3274	650	1190	960	77	78	74
PA3275	425	714	558	57	94	84
PA3276	296	299	250	352	413	345
PA3277	450	543	293	1141	1293	1017
PA3278	422	194	237	3492	2872	4687
PA3279	132	180	95	91	67	78
PA3280	243	223	191	168	142	89
