Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA2887	224	112	89	204	171	131
PA2888	361	203	276	379	396	354
PA2889	364	280	313	370	293	304
PA2890	108	60	96	59	88	64
PA2891	438	277	340	329	279	394
PA2892	210	235	245	148	118	157
PA2893	2015	2098	1470	488	454	594
PA2894	3361	2984	2975	613	854	788
PA2895	1523	1458	1303	131	158	217
PA2896	7116	7209	6196	1164	1109	787
PA2897	11954	14663	10512	4755	3972	4822
PA2898	167	121	116	55	78	122
PA2899	868	797	620	574	459	638
PA2900	631	422	472	1402	1669	1047
PA2901	874	459	421	951	918	975
PA2902	1089	766	664	832	1071	1002
PA2903	196	177	168	576	875	703
PA2904	85	73	83	311	381	372
PA2905	16	15	25	104	172	167
PA2906	622	485	411	780	947	693
PA2907	426	279	291	311	508	589
PA2908	299	175	165	372	535	479
PA2909	96	41	44	36	77	82
PA2910	85	67	46	56	80	71
PA2911	633	733	461	529	475	607
PA2912	77	39	30	39	64	68
PA2913	70	34	31	67	53	66
PA2914	324	294	205	226	192	163
PA2915	1656	1428	865	825	646	729
PA2916	13	5	8	16	18	16
PA2917	446	302	293	487	339	282
PA2918	812	959	529	283	153	218
PA2919	306	251	136	13	19	55
PA2920	1506	1440	933	366	336	292
PA2921	111	107	83	254	298	314
PA2922	73	51	31	69	52	77
PA2923	21	35	29	32	26	34
PA2924	32	37	23	35	17	39
PA2925	86	70	49	86	52	85
PA2926	69	51	39	81	98	82
PA2927	571	481	413	492	573	489
PA2928	359	176	224	528	713	520
PA2929	74	111	86	147	172	124
PA2930	1089	939	745	1032	1222	2087
PA2931	2324	2961	1306	353	392	599
PA2932	2247	2817	1176	97	93	120
PA2933	305	311	143	26	25	37
PA2934	244	306	139	102	78	91
PA2935	17	20	11	2	4	10
PA2936	79	67	51	75	57	50
PA2937	565	1375	813	85	44	52
PA2938	969	1682	959	171	161	175
PA2939	16871	8526	13360	303	326	306
PA2940	451	383	294	283	248	272
PA2941	242	186	169	159	238	199
PA2942	1382	905	948	901	1067	1104
PA2942.1	54	59	68	227	58	84
PA2943	524	670	590	1078	1135	994
PA2944	589	468	414	1809	1908	1658
PA2945	1083	851	679	1611	1667	1056
PA2946	1567	995	872	972	1126	1508
PA2947	97	109	93	210	243	256
PA2948	147	137	104	430	363	427
PA2949	724	457	519	332	389	270
PA2950	2246	1632	1839	7007	8384	4716
PA2951	8463	5666	6023	29961	28976	24084
PA2952	4675	2831	3110	16849	14990	12420
PA2953	5185	4425	4123	6565	6514	5425
PA2954	1791	774	842	991	897	881
PA2955	1487	686	718	604	656	776
PA2956	442	247	200	615	745	659
PA2957	1372	1090	1035	1528	1430	891
PA2958	880	730	622	748	721	863
PA2958.1	2173	8854	4486	168	167	259
PA2959	1007	1197	791	1655	2152	1308
PA2960	492	388	318	710	542	317
PA2961	1439	1017	1051	1523	2324	2395
PA2962	700	574	551	982	1380	1281
PA2963	1619	1278	1160	1574	1829	1301
PA2964	1225	660	810	2432	4354	2679
PA2965	5688	4230	4624	9698	13261	10967
PA2966	23283	20552	18111	16311	10660	24833
PA2967	2987	2371	3156	13465	20675	14693
PA2968	1452	1037	1560	3660	8106	5755
PA2969	1232	764	924	3267	4364	2800
PA2970	734	454	498	1552	1128	891
PA2971	8510	4584	5514	15355	12038	8922
PA2972	293	270	204	573	601	433
PA2973	4935	4335	3863	5023	5809	6611
PA2974	1703	1240	1128	1606	1964	2286
PA2975	2408	1944	1720	2944	3032	2758
PA2976	6057	5844	6225	19002	22755	13420
PA2977	1245	719	877	1616	2470	3310
PA2978	463	356	350	976	1310	1131
PA2979	940	674	612	1207	1682	1177
PA2980	173	158	131	210	157	168
PA2981	570	342	373	879	1157	783
PA2982	944	606	526	979	1078	832
PA2983	769	508	495	508	704	447
PA2984	804	826	576	304	329	562
PA2985	1097	859	566	504	381	255
PA2986	584	509	574	1723	1499	862
PA2987	503	474	457	881	1362	826
PA2988	1124	777	930	2136	2179	1083
PA2989	618	405	377	573	348	360
PA2990	2251	1588	1492	2475	2376	2892
PA2991	2080	1731	1444	5915	6640	4636
PA2992	290	210	211	1103	760	646
PA2993	1191	766	868	3092	3469	3275
PA2994	1656	949	1014	3242	4002	3990
PA2995	614	386	408	1825	1824	1466
PA2996	556	340	281	1589	1822	1167
PA2997	843	518	530	2506	3159	2510
PA2998	1504	953	856	3225	4103	3627
PA2999	4052	2372	2184	4169	5550	5841
PA3000	934	724	640	1682	1874	1181
PA3001	9286	9354	8648	29212	27235	14441
PA3002	3814	2668	2789	7104	7996	8153
PA3003	1123	756	783	1074	1267	896
PA3004	1338	825	972	3295	3598	3189
PA3005	1688	990	1028	1878	2795	2267
PA3006	3437	1546	1689	6825	5047	7252
PA3007	2848	1748	931	2326	2682	1456
PA3008	1491	983	651	907	1223	1173
PA3009	1179	974	648	524	293	190
PA3010	2936	2115	2072	2080	2760	2981
PA3011	9293	6723	6592	13224	15229	12773
PA3012	1207	953	891	375	382	505
PA3013	6351	3720	3389	6203	6749	5697
PA3014	9688	4888	4500	8947	10737	9686
PA3015	405	296	249	519	456	290
PA3016	140	85	109	193	214	132
PA3017	1405	1519	1047	2130	1626	1294
PA3018	306	249	183	2481	3031	2363
PA3019	992	647	638	3010	3892	2282
PA3020	1951	1444	1523	2776	1986	1543
PA3021	1037	778	816	9942	6716	7173
PA3022	2693	1750	1909	2152	2766	2797
PA3023	1468	1393	1357	428	497	525
PA3024	320	286	299	481	523	532
PA3025	234	174	140	193	269	212
PA3026	612	498	396	459	517	595
PA3027	408	275	257	1009	774	695
PA3028	994	654	664	2044	3074	2264
PA3029	1071	840	773	1406	1646	1591
PA3030	441	375	293	210	252	258
PA3031	13212	15570	13163	8425	4452	4833
PA3031.1	24	23	23	4	2	3
PA3032	2935	2936	2454	121	124	97
PA3033	384	303	221	358	309	233
PA3034	439	358	322	711	540	415
PA3035	210	251	132	156	123	163
PA3036	118	135	88	86	100	160
PA3037	192	271	133	162	192	156
PA3038	2710	5092	4593	3036	1432	1221
PA3039	140	109	99	269	120	143
PA3040	2936	2720	2241	1925	1313	1330
PA3041	2284	1485	1912	1096	1320	1613
PA3042	772	583	544	358	380	375
PA3043	998	903	749	1737	1547	1063
PA3044	279	217	216	294	342	356
PA3045	38	36	36	48	35	42
PA3046	808	418	507	2858	2715	1451
PA3047	1355	1159	1141	3392	2334	2436
PA3048	1321	1151	981	1752	2591	2220
PA3049	143816	194461	102922	1383	961	980
PA3050	3159	2599	1968	2054	2697	2085
PA3051	241	248	193	405	247	259
PA3052	4089	3182	2927	1808	1802	2562
PA3053	953	971	597	763	642	593
PA3054	956	800	595	2744	2743	3651
PA3055	669	659	687	1585	1708	2562
PA3056	212	211	262	388	455	506
PA3057	25	37	21	41	47	72
PA3058	73	65	92	201	180	133
PA3059	115	115	109	164	201	155
PA3060	58	84	69	143	121	77
PA3061	39	30	39	133	169	89
PA3062	11	6	10	8	38	15
PA3063	111	92	99	229	308	237
PA3064	228	200	160	290	369	291
PA3065	59	71	57	122	121	75
PA3066	402	269	199	292	292	226
PA3067	537	347	244	164	200	262
PA3068	11282	7839	8079	31705	31066	29960
PA3069	642	550	631	1094	1062	780
PA3070	1209	883	932	2480	2132	2267
PA3071	337	284	270	748	732	525
PA3072	29	27	17	29	48	50
PA3073	216	125	136	357	327	310
PA3074	451	259	307	619	671	763
PA3075	469	331	329	1077	726	766
PA3076	496	397	393	572	595	687
PA3077	253	211	173	389	363	319
PA3078	635	365	370	861	735	651
PA3079	6874	4162	3681	2040	1050	788
PA3080	6801	4418	3731	837	790	750
PA3081	243	255	213	1153	1336	997
PA3082	373	281	288	2016	2321	1834
PA3083	5967	5229	4176	6526	7919	6682
PA3084	1033	798	626	1492	1199	1120
PA3085	481	569	330	421	258	206
PA3086	615	434	429	910	1149	1173
PA3087	470	320	310	886	844	946
PA3088	600	618	537	1446	1233	1130
PA3089	724	627	534	113	151	239
PA3089a	323	250	182	107	177	105
PA3091	1523	951	925	961	663	775
PA3092	434	372	315	1147	1139	1169
PA3093	2164	1286	1488	1635	2335	1807
PA3094	2310	1190	1114	1031	1132	1215
PA3094.1	687	516	681	1303	889	624
PA3094.2	480	436	584	2771	1034	869
PA3094.3	321	450	540	31	34	85
PA3095	689	453	499	296	330	437
PA3096	1918	1516	1643	765	1260	1736
PA3097	592	443	544	573	485	475
PA3098	340	337	373	365	461	446
PA3099	370	231	246	184	229	266
PA3100	572	495	495	550	683	535
PA3101	1068	923	1038	1532	1001	907
PA3102	1755	1167	1272	602	897	1121
PA3103	3234	2932	2836	2040	2408	2006
PA3104	6111	4744	4571	1249	1080	1268
PA3105	3694	2753	3483	4779	3317	2657
PA3106	1061	720	947	1873	2538	2469
PA3107	1961	1518	1600	4145	4657	3867
PA3108	2610	2266	2005	6489	6353	4436
PA3109	829	602	560	545	607	342
PA3110	1612	1096	1064	1336	1715	1742
PA3111	2166	1499	1680	4318	5754	4708
PA3112	2053	1497	1580	5310	7684	4422
PA3113	4348	2756	2679	3417	3803	3641
PA3114	482	351	337	1279	1421	1141
PA3115	8992	6588	6179	19339	20370	23856
PA3116	881	555	564	1793	2385	2231
PA3117	3174	2004	1837	4099	5052	4312
PA3118	2104	1892	1243	1567	1720	1237
PA3119	1474	1004	620	464	653	974
PA3120	2009	1967	1028	705	893	991
PA3121	5663	4841	2274	1734	2072	2366
PA3122	2016	1791	1375	1128	1147	1276
PA3123	2824	2402	2143	1531	1307	1774
PA3124	635	509	328	942	774	872
PA3125	755	679	570	477	548	496
PA3126	46573	68753	51901	8421	5060	4803
PA3127	602	493	438	811	671	941
PA3128	279	230	177	513	455	509
PA3129	460	271	298	961	1352	1226
PA3130	174	79	122	484	741	538
PA3131	508	359	340	781	1195	1003
PA3132	224	245	147	224	279	281
PA3133	169	195	105	150	171	173
PA3133.1	5	1	5	2	10	2
PA3133.2	43	22	35	48	55	20
PA3133.3	303	100	172	738	336	165
PA3133.4	103	73	86	52	52	55
PA3134	1765	1317	1487	6910	8825	6109
PA3135	348	275	255	340	361	337
PA3136	75	82	50	136	172	64
PA3137	341	335	260	276	345	347
PA3138	2281	2143	1596	3366	3446	3164
PA3139	3076	2083	2462	6140	7934	4209
PA3139.1	31	12	10	19	6	4
PA3140	236	220	205	144	155	211
PA3141	15995	12729	13019	13139	11519	14208
PA3142	1073	922	749	509	324	309
PA3143	447	382	432	786	691	998
PA3145	2401	2379	3504	4149	3355	6704
PA3146	820	822	1325	4186	3053	4823
PA3147	1040	931	1296	4265	3100	3990
PA3148	858	957	1059	2485	1474	2192
PA3149	1650	1639	1886	1100	432	1407
PA3150	3583	4238	4934	2280	1155	3419
PA3151	2202	1959	3021	2294	1377	3498
PA3152	441	573	611	1225	273	895
PA3153	1288	1063	1706	1349	741	1678
PA3154	1297	1040	1886	1015	668	1751
PA3155	1543	1704	2064	6881	3141	3995
PA3156	1231	1197	1448	2846	2142	3526
PA3157	3269	2424	3236	3792	2421	2737
PA3158	1342	1223	1420	3520	1675	1725
PA3159	9400	10692	13476	17660	13024	16596
PA3160	16009	19838	15173	2802	1708	5756
PA3161	4856	3807	3111	2480	1863	2681
PA3162	35449	33227	29964	116516	112258	63045
PA3163	2822	1925	1907	2483	3786	4989
PA3165	2376	1515	1622	5259	6083	5187
PA3166	2270	1760	1522	5762	4938	3583
PA3167	3335	2281	2148	5164	5290	5793
PA3168	15212	11429	10544	21552	27030	24482
PA3169	1133	802	720	2083	2255	1365
PA3170	3099	2564	2192	2008	2035	1903
PA3171	2742	1911	1739	2459	2599	1987
PA3172	1370	843	837	1705	1874	1468
PA3173	1636	1291	1203	1480	1675	1769
PA3174	137	119	107	82	69	130
PA3175	193	255	163	126	153	115
PA3176	58	60	54	129	93	59
PA3177	1307	1054	1272	2016	2040	1372
PA3178	561	398	391	469	523	486
PA3179	3197	2047	1759	1524	2525	1568
PA3180	1450	1128	1043	433	435	435
PA3181	2055	1847	1021	7011	8524	7400
PA3182	444	364	183	3103	4777	3358
PA3183	4175	3339	1886	19552	25932	21561
PA3184	1297	847	823	1452	1817	1777
PA3185	1829	1431	1234	2753	2712	2284
PA3186	2006	2254	2657	15776	2548	5408
PA3187	789	672	969	10709	2315	4611
PA3188	318	329	383	3752	584	760
PA3189	359	278	393	3921	845	1239
PA3190	3146	2799	3377	21945	5735	10387
PA3191	338	198	242	2362	1958	1949
PA3192	420	342	270	3354	3463	3053
PA3193	905	693	480	5036	5603	4286
PA3194	3139	2575	1690	17330	20938	20286
PA3195	3383	3244	2037	14584	9964	7511
PA3196	606	556	402	981	1046	1030
PA3197	1876	898	1004	990	1378	1390
PA3198	1664	1072	1110	997	1197	1335
PA3199	1376	994	927	1223	1084	1210
PA3200	1058	718	568	533	587	667
PA3201	1534	1229	1033	1625	1537	1310
PA3202	4249	2627	2690	1442	1868	4538
PA3203	1433	1125	953	982	1029	1611
