Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA1367	384	136	209	679	622	310
PA1368	228	99	142	403	254	334
PA1369	151	49	97	206	29	105
PA1370	330	199	278	816	204	376
PA1371	209	59	110	64	3	10
PA1372	523	198	255	624	25	262
PA1373	380	203	317	411	847	306
PA1374	132	58	100	190	232	97
PA1375	694	398	433	397	857	418
PA1376	2313	1182	1708	1790	2175	1027
PA1377	869	348	589	589	774	314
PA1378	219	57	151	224	275	114
PA1379	142	64	110	100	109	61
PA1380	415	148	263	237	255	116
PA1381	19	25	17	68	41	35
PA1382	1058	563	755	1475	1547	1504
PA1383	963	421	646	993	827	675
PA1384	42	37	39	45	31	53
PA1385	88	70	68	42	33	41
PA1386	53	50	47	97	71	82
PA1387	539	386	508	494	648	378
PA1388	117	85	87	148	156	113
PA1389	444	243	325	332	575	211
PA1390	265	145	178	210	313	125
PA1391	205	77	146	258	258	165
PA1392	313	193	195	405	386	219
PA1393	204	67	103	94	102	62
PA1394	101	51	47	108	133	58
PA1395	51	24	51	132	113	46
PA1396	548	112	258	502	550	216
PA1397	1060	223	506	551	521	209
PA1398	411	107	190	281	316	132
PA1399	433	163	213	216	382	123
PA1400	395	199	278	373	417	179
PA1401	218	132	143	176	157	120
PA1402	363	200	234	244	177	81
PA1403	411	236	271	180	109	140
PA1404	347	258	336	40	57	48
PA1405	290	111	208	1550	1589	713
PA1406	435	217	286	347	323	143
PA1407	283	110	205	302	357	122
PA1408	1261	707	954	391	441	135
PA1409	138	80	100	128	114	75
PA1410	102	17	60	216	103	125
PA1411	439	198	349	365	392	103
PA1412	56	41	52	32	69	35
PA1413	1011	353	540	461	709	220
PA1414	663	611	507	1002	1043	1812
PA1415	1081	540	714	1152	2249	941
PA1416	237	139	139	213	332	160
PA1417	90	35	80	104	168	141
PA1418	118	81	113	157	232	197
PA1419	59	41	63	111	152	89
PA1420	33	34	22	78	63	82
PA1421	309	178	332	696	1241	634
PA1422	438	115	280	325	442	131
PA1423	158	67	107	224	262	129
PA1424	349	137	275	233	334	121
PA1424a	76	88	85	207	276	141
PA1425	344	107	159	294	398	216
PA1428a	438	168	228	504	541	186
PA1428	303	83	112	190	304	84
PA1429	1252	402	762	11786	21302	7152
PA1430	10915	7633	9041	3466	4943	2322
PA1431	778	570	648	694	506	706
PA1432	4462	3952	5143	21930	19805	18858
PA1433	1402	739	1057	3581	3770	2021
PA1434	526	362	436	146	314	97
PA1435	114	80	90	77	94	77
PA1436	433	264	295	261	348	172
PA1437	548	206	310	459	364	195
PA1438	675	258	499	300	526	200
PA1439	578	186	352	350	409	94
PA1440	5030	3283	3929	6811	4969	2083
PA1441	2904	475	832	3691	4868	2354
PA1442	796	232	279	1455	1199	1088
PA1443	2157	686	1014	3980	4484	2543
PA1444	1777	627	749	1865	2571	1286
PA1445	476	161	201	457	761	544
PA1446	1480	415	697	1656	2260	805
PA1447	307	141	123	770	598	322
PA1448	299	77	134	491	416	120
PA1449	582	138	235	582	669	281
PA1450	670	241	367	692	812	216
PA1451	363	104	174	438	532	225
PA1452	6223	1660	2468	7363	13715	3229
PA1453	9844	2188	3687	9859	15031	5515
PA1454	3968	1556	1919	7613	7113	3375
PA1455	3438	1053	1648	5916	6926	4306
PA1456	1457	526	683	1807	2906	2074
PA1457	4495	1460	2310	6169	12168	4300
PA1458	4137	1389	2105	6616	10926	5500
PA1459	2014	823	1020	3438	4116	2349
PA1460	942	237	402	1868	1857	827
PA1461	1013	354	621	1470	2009	676
PA1462	4648	1056	2109	4569	9805	1740
PA1463	2433	768	1235	1591	3347	1156
PA1464	4035	1650	2074	5583	7994	2797
PA1465	241	140	185	195	577	425
PA1466	185	79	159	464	755	223
PA1467	402	107	206	245	339	215
PA1468	70	18	38	81	120	34
PA1469	373	213	241	220	203	145
PA1470	512	354	493	196	235	125
PA1471	2457	3570	3618	356	875	132
PA1472	273	116	140	167	190	77
PA1473	231	109	160	83	139	38
PA1474	2149	850	1428	426	855	299
PA1475	2071	458	756	1212	1246	304
PA1476	1549	447	752	438	669	202
PA1477	2981	949	1615	1433	1605	654
PA1478	34	8	19	44	36	9
PA1479	794	305	445	1037	956	484
PA1480	3701	1934	2647	4779	4908	1809
PA1481	1253	584	762	1640	1640	879
PA1482	832	348	607	1310	1224	467
PA1483	1797	763	1267	2050	2949	1467
PA1483a	610	432	609	232	732	432
PA1484	520	205	288	454	403	251
PA1485	126	36	89	49	77	22
PA1486	133	77	83	147	101	77
PA1487	244	122	178	429	501	207
PA1488	169	93	122	211	261	185
PA1489	146	71	89	329	325	158
PA1490	200	69	78	359	383	166
PA1491	524	191	306	338	448	213
PA1492	135	54	82	308	280	210
PA1493	9482	5708	7604	4931	5308	2591
PA1494	30056	18257	25811	887	604	351
PA1495	199	57	96	49	90	42
PA1496	304	144	210	302	291	113
PA1497	96	55	85	38	54	44
PA1498	91	60	79	126	112	77
PA1499	129	37	86	54	64	31
PA1500	121	70	75	148	166	79
PA1501	499	251	379	319	566	274
PA1502	341	140	215	230	215	128
PA1503	61	23	24	60	82	45
PA1504	482	246	397	1154	839	409
PA1505	2114	1154	1740	4584	5181	2576
PA1506	192	71	112	295	531	148
PA1507	276	261	289	290	577	177
PA1508	54	30	77	97	85	63
PA1509	460	245	339	335	261	284
PA1510	458	211	333	475	423	347
PA1511	941	541	658	806	697	439
PA1512	219	143	192	130	150	61
PA1513	1003	584	838	965	1364	693
PA1514	198	124	226	234	305	158
PA1515	582	357	489	830	1330	590
PA1516	79	64	80	230	309	152
PA1517	512	336	572	1238	1227	732
PA1518	483	256	406	501	732	251
PA1519	159	82	105	152	153	92
PA1520	2660	1244	2135	2746	3261	1211
PA1521	605	389	565	803	954	378
PA1522	1084	372	816	501	819	252
PA1523	859	569	717	643	1031	431
PA1524	398	219	297	429	785	336
PA1525	723	476	611	301	567	225
PA1526	938	592	796	1030	1750	618
PA1527	6430	2852	5193	7909	11607	5007
PA1528	5485	2247	3249	9269	8153	5118
PA1529	1918	804	1396	4857	4515	2432
PA1530	332	137	240	728	831	404
PA1530.1	134	86	101	60	101	44
PA1531	20	22	14	17	35	6
PA1532	4948	1850	3053	7024	8065	3669
PA1533	3148	2414	2464	6264	8853	4017
PA1534	2213	1035	1753	3526	3817	1652
PA1535	525	198	310	1112	1176	583
PA1536	772	406	572	638	616	216
PA1537	95	58	92	99	115	60
PA1538	503	241	383	194	215	134
PA1539	841	246	403	207	401	149
PA1540	51	9	22	20	19	13
PA1541	742	276	346	82	230	47
PA1542	117	139	145	307	229	224
PA1543	1168	695	906	1735	1275	484
PA1544	9235	8055	9681	10009	5477	3566
PA1545	237	211	270	283	720	293
PA1546	1977	871	1419	31402	27917	14272
PA1547	337	183	197	206	327	81
PA1548	143	64	113	100	190	59
PA1549	1597	834	1258	1744	4196	946
PA1550	896	601	796	927	1939	618
PA1551	5522	2903	4201	5537	10833	3713
PA1552	5676	2993	4027	30422	19469	17917
PA1552.1	271	228	259	1827	1794	1573
PA1553	1416	736	970	7274	3606	5132
PA1554	4660	3372	3575	17545	10468	7272
PA1555	1352	576	946	10354	16216	6336
PA1555.1	65	44	66	1458	1323	1740
PA1556	583	237	307	6336	8786	4229
PA1557	1494	691	1066	20692	25898	10487
PA1558	279	157	238	129	210	102
PA1561	712	267	466	4115	6404	2156
PA1562	15642	7020	11469	4340	6868	2736
PA1563	680	257	330	1074	1028	556
PA1564	253	136	188	336	377	132
PA1565	451	202	350	670	923	270
PA1566	246	162	252	176	241	78
PA1567	330	143	214	291	583	172
PA1568	53	35	56	40	41	28
PA1569	138	72	99	153	140	79
PA1570	2035	433	780	906	1185	419
PA1571	1026	670	825	368	436	323
PA1572	5876	2487	3817	2118	3384	1776
PA1573	1026	262	652	431	996	224
PA1574	640	345	351	1814	825	883
PA1575	840	411	517	207	267	99
PA1576	2885	976	1703	1214	1443	537
PA1577	572	211	351	264	444	213
PA1578	760	250	428	164	407	113
PA1578a	160	38	64	100	174	63
PA1579	4474	2112	3216	4171	3733	2615
PA1580	4049	3427	3856	21595	10619	11788
PA1581	1998	1376	1936	4925	3662	3185
PA1582	2110	1380	2048	5963	3935	2255
PA1583	10517	6366	9566	44182	29951	26521
PA1584	6249	3993	6665	27247	19021	17806
PA1585	17710	9051	13534	48176	33210	32539
PA1586	6592	3149	5310	11745	13846	12285
PA1587	16182	6144	11766	31353	34925	20002
PA1588	7721	4718	7285	61547	44234	42628
PA1589	7699	5464	7102	49792	43566	28253
PA1590	6163	3802	4729	2164	2683	869
PA1591	268	221	386	532	373	146
PA1592	12563	18802	15849	8093	6611	5889
PA1593	293	123	174	297	309	133
PA1594	199	48	92	270	248	106
PA1595	312	130	164	642	519	332
PA1596	42226	13248	17529	33347	13297	33918
PA1597	3895	949	1416	1187	1324	1277
PA1598	1045	283	332	560	370	263
PA1599	357	134	201	309	567	156
PA1600	148	82	88	236	1487	123
PA1601	385	173	257	930	6421	504
PA1602	61	44	58	278	1574	176
PA1603	473	339	416	143	313	97
PA1604	775	350	543	1510	2097	817
PA1605	379	214	255	311	251	175
PA1606	82	31	44	91	150	52
PA1607	976	1126	1616	2298	3579	1135
PA1608	148	59	82	582	580	271
PA1609	6299	5266	7444	46295	35292	18375
PA1610	1708	1572	1910	6075	5788	2968
PA1611	1150	689	877	1797	1788	1056
PA1612	192	92	136	272	324	139
PA1613	1076	474	767	1804	2034	896
PA1614	1759	791	1185	2803	2557	1504
PA1615	324	218	263	858	767	309
PA1616	834	370	704	758	1438	591
PA1617	4585	2097	2710	696	826	505
PA1618	424	232	258	425	259	302
PA1619	314	157	222	228	440	171
PA1620	25	19	14	22	54	12
PA1621	500	304	376	505	460	218
PA1622	343	172	251	348	255	148
PA1623	3771	1611	2337	1856	3862	883
PA1624	2745	792	1411	1219	1824	687
PA1625	876	365	579	421	668	220
PA1626	520	228	323	237	401	70
PA1627	346	123	211	264	201	134
PA1628	353	189	327	258	320	176
PA1629	160	87	136	155	177	110
PA1630	1457	420	797	741	1050	462
PA1631	328	113	158	340	336	225
PA1632	14	48	47	14	21	18
PA1633	1282	1069	1628	786	824	361
PA1634	98	1487	1158	597	520	239
PA1635	19	464	356	64	65	46
PA1636	550	758	732	650	594	325
PA1637	386	208	226	490	401	251
PA1638	127	53	89	264	216	90
PA1639	695	157	308	723	785	254
PA1640	994	356	580	1614	1725	826
PA1641	522	183	322	254	204	211
PA1642	2172	923	1324	2674	3092	1320
PA1643	1440	593	902	1861	2089	947
PA1643a	1286	635	954	510	1028	178
PA1644	798	365	550	948	1312	350
PA1645	397	157	249	110	248	74
PA1646	267	92	224	285	523	219
PA1647	439	163	332	1409	1790	707
PA1648	429	175	271	144	156	89
PA1649	183	61	107	126	123	96
PA1650	1377	736	978	280	460	126
PA1651	734	448	716	717	698	325
PA1652	323	104	159	258	297	91
PA1653	158	63	79	221	370	104
PA1654	894	373	598	5138	5879	1719
PA1655	705	321	404	1293	3183	987
PA1656	1735	536	933	1752	3572	1331
PA1657	528	137	153	650	645	500
PA1658	990	308	389	778	1076	531
PA1659	128	46	61	165	160	91
PA1660	443	130	243	467	595	251
PA1661	239	106	152	160	182	84
PA1662	503	181	254	387	387	294
PA1663	252	71	142	243	250	123
PA1664	6	2	5	2	2	0
PA1665	118	47	56	163	81	87
PA1666	141	54	104	117	127	49
PA1667	569	219	328	335	357	187
PA1668	123	49	80	95	83	83
PA1669	628	320	424	543	494	319
PA1670	137	56	103	113	142	63
PA1671	264	117	179	190	259	103
PA1672	525	450	418	541	642	371
PA1673	491	206	462	7679	19901	7665
PA1674	1143	740	876	3479	4079	2005
PA1675	246	161	207	913	1132	548
PA1676	529	295	436	207	494	229
PA1677	2371	1284	2066	3281	4010	1568
PA1678	1437	367	763	1430	1144	566
PA1679	494	140	262	508	728	258
PA1680	191	116	203	241	232	129
PA1681	4733	2131	2764	5862	5544	2208
PA1682	297	159	244	429	721	155
PA1683	578	240	495	1128	1548	500
PA1684	1223	479	1021	1591	1775	781
PA1685	1502	454	1036	1567	2076	690
PA1686	3055	1587	2187	1319	1684	649
PA1687	645	268	326	4051	1993	1809
PA1688	1701	637	940	1928	1854	767
PA1689	2768	1153	1727	4646	5030	2221
PA1690	75	43	45	207	245	117
PA1691	62	34	27	103	109	42
PA1692	12	1	14	42	34	16
PA1693	248	100	132	354	232	213
PA1694	79	33	63	244	283	104
PA1695	41	22	53	152	226	160
PA1696	19	2	14	94	41	74
PA1697	128	47	55	554	383	253
PA1698	118	51	72	267	191	186
PA1699	11	9	8	70	24	52
PA1700	15	3	3	70	38	30
PA1701	15	10	23	25	45	27
PA1702	1	6	5	16	16	21
PA1703	325	150	201	742	622	447
PA1704	43	21	33	50	40	24
PA1705	75	27	39	160	142	110
PA1706	286	133	143	586	334	323
PA1707	77	70	62	152	160	124
PA1708	1100	362	689	1114	1442	1061
PA1709	359	187	313	931	702	736
PA1710	801	432	560	743	811	356
PA1711	183	49	141	147	185	83
PA1712	611	177	410	703	849	464
PA1713	759	281	389	1140	1256	873
PA1714	835	318	458	1684	1416	975
PA1715	35	11	13	134	90	134
PA1716	235	97	167	1030	979	609
PA1717	193	59	84	615	556	311
PA1718	1	4	5	49	32	37
PA1719	13	8	9	106	124	96
PA1720	51	29	11	107	105	103
PA1721	38	9	36	104	92	99
PA1722	82	20	60	274	301	185
PA1723	88	57	72	553	679	319
PA1724	31	17	17	152	144	78
PA1725	87	17	66	259	310	175
PA1726	1064	405	712	1425	1378	698
PA1727	570	320	471	662	677	339
PA1728	9826	6100	6300	254	523	291
PA1729	2647	1129	1772	878	1210	543
PA1730	1426	969	1303	300	407	166
PA1731	436	232	339	145	168	92
PA1732	967	489	809	167	200	75
PA1733	1635	904	1173	246	309	114
PA1734	1113	457	711	400	504	274
PA1735	573	228	367	228	272	111
PA1736	1359	613	855	286	317	133
PA1737	1593	870	1063	617	652	366
PA1738	623	405	522	1148	944	724
PA1739	116	56	80	145	236	100
PA1740	932	274	597	489	735	173
PA1741	496	243	274	259	286	151
PA1742	3951	2107	2452	3572	3395	2205
PA1743	81	29	57	25	63	10
PA1744	39	34	28	45	97	32
PA1745	418	310	398	98	88	70
PA1746	4620	3186	4311	6703	16130	4953
PA1747	119	55	92	309	1066	487
PA1748	1192	553	720	1549	2038	657
PA1749	5744	2850	4468	2173	3211	1265
PA1750	3783	1333	2415	6918	6232	3288
PA1751	500	193	381	284	287	149
PA1752	1506	523	1026	1129	1110	688
PA1753	2829	1043	2152	601	985	312
PA1754	3129	2126	2958	5307	5428	2763
PA1755	333	159	196	292	288	128
PA1756	766	493	870	967	1074	404
PA1757	566	221	304	1729	1147	1024
PA1758	803	431	747	1758	2036	827
PA1759	2561	1103	1894	2330	2848	1537
PA1760	2319	1088	1543	1131	1185	819
PA1761	822	444	491	248	306	197
PA1762	501	195	342	120	176	85
PA1763	337	201	288	147	169	108
PA1764	188	76	145	140	143	75
PA1765	212	122	130	176	214	99
PA1766	921	689	777	4626	2635	2653
PA1767	1336	1273	1539	7325	3764	2889
PA1768	509	510	536	2199	970	696
PA1769	3006	1929	2537	1244	836	892
PA1770	19982	7612	12838	22290	21178	12578
PA1771	199	80	127	1207	1246	523
PA1772	2243	1424	1657	2638	1941	1138
PA1773	635	314	451	1651	1149	1163
PA1774	531	188	472	410	785	201
PA1775	4502	2575	3888	5513	6346	2397
PA1776	10633	5783	11014	16105	22018	9660
PA1777	134736	107933	111734	263262	198192	192510
PA1778	670	243	547	261	412	140
PA1779	606	288	479	242	283	151
PA1780	37	30	37	10	9	13
PA1781	167	143	134	102	102	60
PA1781.1	9	5	8	0	5	1
PA1782	89	50	69	70	51	44
PA1783	80	35	51	44	45	18
PA1784	790	686	762	295	300	133
PA1785	179	109	97	30	68	20
PA1786	101	43	68	92	123	46
PA1787	8136	5133	7703	37219	33295	25654
PA1788	724	272	378	540	611	421
PA1789	3296	1450	2284	9860	14655	5853
PA1790	354	121	145	1190	853	395
PA1791	141	72	123	1595	1131	733
PA1792	872	416	645	3055	1967	1332
PA1793	1060	1418	1043	5706	4392	4007
PA1794	4252	2642	3457	13948	9966	7098
PA1795	3206	1454	2074	10443	7676	8254
PA1796	1746	961	1262	5155	4157	1422
PA1796.1	5063	1377	2337	2136	10040	883
PA1796.2	343	93	169	110	316	51
PA1796.3	194	62	94	121	322	31
PA1796.4	111	26	41	56	167	26
PA1797a	583	273	445	592	895	296
PA1797	1934	1275	1384	2233	3603	1237
PA1798	339	191	243	787	629	361
PA1799	220	196	194	569	239	229
PA1800	15798	6883	9660	53605	31902	26194
PA1801	10290	4410	6630	4860	6673	3035
PA1802	45785	27969	31307	37560	32051	26136
PA1803	59798	25007	35989	25939	44656	21182
PA1804	22827	12770	17838	16717	29324	11986
PA1804.1	1067	309	994	163	177	212
PA1805	5332	2151	2819	15937	12077	10060
PA1806	832	389	550	1989	2377	1015
PA1807	609	430	594	2492	2604	971
PA1808	405	286	400	1020	1207	484
PA1809	451	190	352	924	1184	494
PA1810	731	567	610	2373	2847	1202
PA1811	784	353	593	2034	2296	1073
PA1812	2220	1324	1696	6604	5547	2232
PA1813	1017	535	723	895	710	555
PA1814	3163	1089	1742	1305	1720	685
PA1815	597	261	309	1180	1018	785
PA1816	1429	542	798	1268	2097	767
PA1817	560	293	385	390	535	310
PA1818	4217	1944	2763	2478	2536	1588
PA1819	4914	1570	2908	1247	2284	647
PA1820	1094	389	590	1883	1924	764
PA1821	1529	947	1045	2647	2485	1499
PA1822	3915	1440	2634	5659	6938	2871
PA1823	1136	448	782	2094	2286	1028
PA1824	227	57	113	279	519	239
PA1825	371	108	181	279	198	133
PA1826	604	196	298	297	462	193
PA1827	135	63	90	108	145	62
PA1828	358	366	308	797	676	432
PA1829	568	481	497	936	690	587
PA1830	3007	2982	2963	5476	8067	4069
PA1831	1429	570	936	881	1018	1333
PA1832	2684	1398	1953	1965	2850	1782
PA1833	4500	1917	2854	1735	3823	1339
PA1833a	630	243	393	352	587	306
PA1835	242	117	170	177	163	86
PA1836	312	154	222	259	308	166
PA1837	208	114	182	3200	1456	1906
PA1838	702	479	630	4741	3474	2365
PA1837a	1961	1416	1523	120	175	59
PA1839	763	252	440	951	838	399
PA1840	172	124	112	231	203	143
PA1841	529	270	261	914	599	449
PA1842	855	509	668	745	794	423
PA1843	5080	3312	4696	8132	7994	4749
PA1844	233	35	61	353	252	110
PA1845	793	203	338	777	836	246
PA1846	1839	946	1302	3386	2861	1537
PA1847	11311	4678	4845	7304	7126	4201
PA1848	113	39	60	57	133	55
PA1849	4	6	1	8	11	6
PA1850	1037	376	561	537	538	200
PA1851	593	281	450	224	376	138
PA1852	2640	2553	2734	1853	2006	633
PA1853	761	370	596	658	683	232
PA1854	402	114	215	247	242	124
PA1855	59	35	66	43	49	26
PA1856	518	282	410	320	464	255
PA1857	615	351	424	1716	1001	588
PA1858	332	185	294	298	427	125
PA1859	225	154	204	263	205	150
PA1860	1389	581	843	156	187	103
PA1861	1276	482	747	677	814	287
PA1862	401	159	268	540	570	191
PA1863	940	448	796	633	908	289
PA1864	110	50	66	69	125	62
PA1865	1298	532	1196	721	1102	378
PA1866	1242	591	894	717	1072	510
PA1866a	1086	737	755	388	812	101
PA1867	38	20	20	5	19	13
PA1868	245	130	182	226	216	83
PA1869	5878	2136	3736	572	521	224
PA1870	1552	1137	1545	36	111	63
PA1871	5285	2528	4914	342	550	192
PA1872	2369	1281	1823	546	866	237
PA1873	273	145	248	100	160	78
PA1874	44234	16127	32019	1380	1521	651
PA1875	2878	1076	1913	148	130	84
PA1876	3248	1636	2362	137	152	83
PA1877	2039	727	1591	95	80	53
PA1878	921	444	575	197	202	89
PA1879	439	322	330	250	190	86
PA1880	3444	1527	2372	489	505	314
PA1881	630	281	507	154	124	51
PA1882	285	71	112	92	112	57
PA1883	39	13	15	42	46	37
PA1884	115	67	73	70	116	76
PA1885	176	73	89	290	310	216
PA1886	1216	521	920	765	1348	549
PA1887	290	146	208	112	164	63
PA1888	287	138	209	140	166	60
PA1889	1627	650	1078	705	838	296
PA1890	880	405	580	647	568	322
PA1891	73	26	50	19	83	51
PA1892	82	107	121	31	50	23
PA1893	645	418	692	218	190	104
PA1894	248	439	369	63	47	27
PA1895	582	446	536	258	304	235
PA1896	278	190	267	74	186	51
PA1897	197	226	156	82	109	53
PA1898	434	269	349	47	59	38
PA1899	364	286	385	18	10	13
PA1900	390	377	569	55	22	32
PA1901	757	491	660	185	221	200
PA1902	457	250	715	20	49	19
PA1903	915	533	1383	127	129	83
PA1904	416	417	886	58	55	43
PA1905	827	604	1462	104	152	74
PA1906	798	390	981	170	269	62
PA1907	186	144	362	81	84	40
PA1908	44	20	33	22	24	22
PA1909	146	59	59	26	31	19
PA1910	461	155	255	172	153	131
PA1911	261	95	131	14	21	23
PA1912	855	230	308	28	22	19
PA1913	99	43	58	71	99	47
PA1914	847	487	609	72	89	40
PA1915	1064	587	723	921	1061	567
PA1916	202	115	153	79	132	55
PA1917	66	46	38	27	39	5
PA1918	288	93	125	81	116	35
PA1919	302	166	197	303	484	187
PA1920	534	218	349	834	1171	488
PA1921	192	120	184	31	54	24
PA1922	91	34	53	73	109	40
PA1923	89	76	102	59	83	57
PA1924	16	18	23	17	21	5
PA1925	70	65	54	32	27	15
PA1926	1308	586	652	2575	2287	1280
PA1927	4018	1259	1389	406	485	236
PA1928	437	126	194	164	150	72
PA1929	314	109	203	101	109	52
PA1930	1534	875	1180	149	200	120
PA1931	616	356	513	82	73	31
PA1932	441	294	346	110	174	68
PA1933	6519	3385	4893	3447	4266	1934
PA1934	437	185	362	486	621	298
PA1937	228	127	127	116	194	143
PA1938	380	134	203	298	261	188
PA1939	3352	1976	2421	1953	1588	1553
PA1940	1355	865	1060	573	702	343
PA1941	995	567	799	1458	1041	724
PA1942	86	50	77	76	65	46
PA1943	785	524	884	634	736	300
PA1944	2001	1193	1554	829	1114	543
PA1945	1153	910	758	376	597	225
PA1946	4450	2234	3266	2518	5112	2496
PA1947	1968	735	1124	579	734	430
PA1948	1473	697	876	504	751	393
PA1949	950	482	556	787	682	647
PA1950	2425	1027	1520	708	1079	718
PA1951	861	467	525	268	290	178
PA1952	47	21	25	10	32	10
PA1953	126	53	82	70	46	39
PA1954	186	70	93	47	79	25
PA1955	45	53	53	33	17	23
PA1956	21	9	23	31	22	11
PA1957	202	47	130	219	188	113
PA1958	568	218	381	414	490	152
PA1959	713	255	390	1410	1375	531
PA1960	172	74	103	149	310	91
PA1961	312	154	181	578	370	319
PA1962	66	26	38	75	75	28
PA1963	955	715	692	576	537	257
PA1964	2886	1254	1710	5577	5056	2089
PA1965	572	160	338	337	340	106
PA1966	131	21	77	170	314	90
PA1967	319	49	89	352	365	215
PA1968	501	258	361	162	184	168
PA1969	630	641	605	463	1169	785
PA1970	101	37	53	148	150	124
PA1971	272	123	184	835	901	336
PA1972	135	51	76	100	105	53
PA1973	368	240	265	279	607	269
PA1974	220	155	105	63	77	53
PA1975	447	271	347	42	31	34
PA1976	745	713	576	147	116	84
PA1977	130	106	95	27	23	13
PA1978	400	513	620	195	197	78
PA1979	428	346	397	7	21	12
PA1980	262	229	227	20	30	15
PA1981	181	198	150	5	6	6
PA1982	2788	2570	2723	83	111	47
PA1983	830	1441	1088	11	21	23
PA1984	3493	3561	3666	355	238	163
PA1985	1143	1529	1397	85	58	63
PA1986	2466	2541	3118	349	353	124
PA1987	550	510	609	210	173	117
PA1988	55	54	42	12	11	32
PA1989	1034	777	874	233	252	149
PA1990	770	505	573	104	143	86
PA1991	890	523	741	617	437	304
PA1992	765	390	622	287	346	156
PA1993	537	247	367	295	542	111
PA1994	761	334	451	460	303	195
PA1995	979	619	749	243	558	102
PA1996	251	173	154	262	260	107
PA1997	1276	772	1074	1068	1294	528
PA1998	747	373	541	277	357	128
PA1999	962	486	875	74	77	57
PA2000	430	324	469	39	61	24
PA2001	2952	1064	2078	491	607	218
PA2002	412	203	362	98	159	65
PA2003	589	205	382	154	199	103
PA2004	377	175	248	254	236	117
PA2005	1377	497	802	760	943	295
PA2006	291	102	128	83	79	64
PA2007	2182	519	772	105	246	115
PA2008	2490	740	1053	346	590	313
PA2009	5792	1401	2282	608	1207	301
PA2010	636	167	244	206	400	139
PA2011	2670	904	1823	566	727	294
PA2012	6313	2782	4727	975	1234	785
PA2013	1872	963	1569	407	389	233
PA2014	4612	2289	4599	1051	1446	498
PA2015	6396	3515	6134	2032	2263	1364
PA2016	552	423	458	708	334	411
PA2017	644	221	350	374	511	316
PA2018	1783	659	769	3441	2911	1544
PA2019	808	257	325	893	1156	419
PA2020	937	388	571	948	942	608
PA2021	107	124	107	56	95	43
PA2022	312	150	231	310	341	146
PA2023	4982	2662	3368	8044	5469	3503
PA2024	5091	3052	4069	250	574	138
PA2025	7322	3284	4778	4097	6942	3034
PA2026	263	119	242	3344	6225	1506
PA2027	512	390	446	69	67	56
PA2028	350	160	256	239	214	151
PA2029	453	271	419	335	372	174
PA2030	1140	1252	1650	177	156	62
PA2031	274	376	274	55	54	61
PA2032	1329	571	858	999	895	512
PA2033	5374	788	1554	199	183	124
PA2034	306	52	92	15	18	26
PA2035	1134	534	722	209	228	129
PA2036	151	68	100	54	51	32
PA2037	367	166	290	142	109	137
PA2038	147	88	80	297	217	105
PA2039	310	198	296	600	1022	137
PA2040	4209	2879	4400	3724	5555	1766
PA2041	1184	878	1044	700	974	348
PA2042	3201	1397	1913	4580	3324	1479
PA2043	777	363	558	745	830	261
PA2044	1785	973	1419	3824	3827	1796
PA2045	797	430	637	156	237	47
PA2047	1247	683	1143	472	667	199
PA2048	257	98	131	54	24	164
PA2049	3340	1159	1974	1342	1906	590
PA2050	34	14	24	23	31	25
PA2051	45	31	53	30	37	22
PA2052	384	346	328	164	226	77
PA2053	384	635	314	203	200	102
PA2054	468	155	221	174	251	109
PA2055	51	38	44	26	79	40
PA2056	374	113	241	773	844	312
PA2057	365	182	251	198	232	132
PA2058	89	53	49	51	72	35
PA2059	65	29	43	39	53	26
PA2060	14	16	16	35	24	21
PA2061	48	47	47	79	59	63
PA2062	260	190	307	291	269	147
PA2063	349	84	173	1093	838	413
PA2064	175	80	163	132	95	72
PA2065	425	183	312	99	121	58
PA2066	3909	1951	3569	90	82	49
PA2067	1274	826	1275	21	6	13
PA2068	4407	2623	3905	49	41	26
PA2069	18805	12871	18276	89	93	58
PA2070	1025	527	857	243	269	152
PA2071	2958	1560	2454	1146	1159	813
PA2072	1285	601	828	148	154	77
PA2073	188	77	151	132	134	86
PA2074	105	34	53	43	60	90
PA2075	152	90	144	155	161	103
PA2076	562	189	335	720	788	229
PA2077	160	96	118	199	233	102
PA2078	249	85	184	109	207	55
PA2079	853	483	626	455	520	268
PA2080	1363	801	1245	1752	1594	1062
PA2081	1244	1045	947	2409	1185	1201
PA2082	200	94	132	568	481	454
PA2083	257	123	196	353	640	267
PA2084	543	266	276	231	192	137
PA2085	25	10	28	33	24	11
PA2086	33	20	33	45	45	18
PA2087	37	10	11	14	13	18
PA2088	266	55	184	44	47	21
PA2089	854	422	573	336	490	193
PA2090	14	11	20	16	24	21
PA2091	18	11	11	23	23	27
PA2092	54	41	54	9	42	14
PA2093	33	23	27	37	37	42
PA2094	137	89	85	62	79	58
PA2095	131	72	137	71	98	53
PA2096	245	113	162	242	258	102
PA2097	629	196	259	68	73	58
PA2098	50	19	23	9	21	13
PA2099	175	93	123	71	107	42
PA2100	1036	429	679	841	802	618
PA2101	143	106	121	145	92	84
PA2102	171	104	156	114	122	71
PA2103	427	260	408	363	354	253
PA2104	185	186	210	350	289	346
PA2105	277	180	241	455	373	204
PA2106	473	292	379	425	453	250
PA2107	103	86	154	38	61	14
PA2108	596	397	758	146	178	81
PA2109	522	251	450	61	140	48
