Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4448	1275	529	730	3160	2579	1300
PA4449	1941	826	1270	5136	4165	2121
PA4450	9771	3585	6218	14111	15483	6664
PA4451	2491	925	1696	1584	3436	831
PA4451.1	0	0	0	0	0	1
PA4452	354	93	251	2658	1849	1110
PA4453	1246	784	1079	8539	7511	4767
PA4454	761	430	445	3059	2407	1340
PA4455	1191	425	750	2773	4068	1368
PA4456	3096	1118	1750	6498	5958	2795
PA4457	4650	1936	3254	8272	8668	3642
PA4458	1182	567	738	2848	2344	1972
PA4459	1500	1053	1329	2720	2396	1261
PA4460	969	1662	956	7883	4516	3211
PA4461	2328	1478	1885	4350	4001	1899
PA4462	1437	1003	1213	6384	3954	4174
PA4463	2656	3148	2361	10283	7515	9598
PA4464	3305	2025	3143	5640	7646	3190
PA4465	2395	1290	2215	7729	9030	3754
PA4466	830	428	655	1364	2044	716
PA4467	4865	683	1319	244	323	118
PA4468	6493	1061	1705	226	197	91
PA4469	2615	495	728	56	63	32
PA4470	6862	1455	1946	332	280	192
PA4471	2481	579	765	46	47	33
PA4472	4037	1051	1798	1359	1674	980
PA4473	2036	875	1023	1288	1293	783
PA4474	6864	1681	2748	2607	2610	1786
PA4475	17609	3048	6502	2782	2953	1903
PA4476	3217	1336	2223	4927	6838	2743
PA4477	2436	1019	1538	4142	4414	2287
PA4478	1077	435	629	1349	1583	662
PA4479	393	158	228	1233	1102	313
PA4480	1249	443	651	4592	4400	1650
PA4481	4416	1772	2080	7839	6955	3639
PA4482	912	752	809	2192	1851	936
PA4483	2971	1585	2314	6550	6658	3711
PA4484	2499	1582	2010	13113	10625	7130
PA4485	311	167	266	367	739	183
PA4486	731	310	518	653	1000	268
PA4487	1027	351	708	2299	3139	809
PA4488	1111	362	730	1254	1884	662
PA4489	2001	782	1384	7431	8248	3440
PA4490	307	96	168	884	994	347
PA4491	1398	495	840	4057	4625	2410
PA4492	2381	1174	1424	1964	2449	934
PA4493	2860	1411	1992	5949	8655	3378
PA4494	3449	1341	2238	5730	8461	3175
PA4495	170516	73861	118145	2368	4825	1158
PA4496	2808	2053	2534	967	1041	545
PA4497	2234	1376	1940	980	1283	409
PA4498	2713	1652	2890	3663	3645	2106
PA4499	1882	1144	1426	1294	1454	725
PA4500	9045	8314	11837	11551	8427	5819
PA4501	1572	1120	1602	778	750	439
PA4502	2551	1716	2731	2194	2371	1122
PA4503	1063	863	1072	1005	1053	627
PA4504	582	483	655	859	541	308
PA4505	661	469	675	1236	758	561
PA4506	1784	1078	1744	1134	1031	688
PA4507	5611	5805	6754	810	1558	420
PA4508	103	51	79	234	174	124
PA4509	305	117	200	328	516	172
PA4510	405	166	311	506	719	292
PA4511	366	244	263	786	615	458
PA4512	1096	710	893	1987	2162	947
PA4513	958	289	396	647	535	347
PA4514	1617	686	1098	1029	803	602
PA4515	1573	611	1010	427	334	203
PA4516	1750	453	924	488	487	240
PA4517	1032	714	1086	1141	981	460
PA4518	488	214	311	454	825	202
PA4519	1903	1173	1425	5878	2639	2944
PA4520	654	233	438	595	607	292
PA4521	820	410	536	701	641	392
PA4522	486	297	326	303	472	238
PA4523	9745	3497	5916	5352	8005	3599
PA4524	2012	770	1243	2027	1974	909
PA4524.1	18617	14697	22336	5462	12516	1484
PA4525	25528	28703	29229	18979	51589	22461
PA4526	1624	985	1484	6916	6941	4146
PA4528	511	330	509	2997	2899	1189
PA4529	767	322	517	2409	1948	1053
PA4530	197	57	157	237	406	171
PA4531	345	104	225	356	539	292
PA4532	1147	408	635	656	785	296
PA4533	825	284	457	392	603	224
PA4534	2377	822	1619	1318	1746	595
PA4535	953	450	809	1341	1846	747
PA4536	863	379	557	677	984	401
PA4537	161	114	120	217	233	119
PA4538	1489	761	1041	4711	5317	2011
PA4539	2196	939	1698	1390	2081	649
PA4540	239	89	201	139	159	74
PA4541	1393	559	864	1083	1188	624
PA4541.1	10	8	8	37	9	33
PA4541.2	5	1	2	2	3	4
PA4541.3	132	22	49	181	73	198
PA4542	90249	16175	22200	18038	16032	20160
PA4543	620	199	264	488	619	571
PA4544	2505	838	1455	3440	4247	1003
PA4545	2594	1497	2270	6349	4914	3260
PA4546	1295	545	820	1616	1629	551
