Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA3177	2398	1841	738	1401	1612	1880
PA3178	773	629	203	236	561	520
PA3179	3384	2211	1170	1621	3468	2902
PA3180	1602	1432	792	342	377	434
PA3181	2586	1951	717	3571	6565	7405
PA3182	904	909	74	1706	3660	3817
PA3183	6166	4827	1140	12183	21349	19406
PA3184	1151	871	646	983	1406	1563
PA3185	3062	2849	851	2278	2873	3202
PA3186	2755	7332	1675	22770	8645	18625
PA3187	830	2323	529	12524	5428	12862
PA3188	439	788	225	4500	1424	2711
PA3189	479	1050	311	4029	2125	4513
PA3190	2610	4350	2155	28504	12661	22087
PA3191	482	432	97	1212	1713	1850
PA3192	654	690	132	2208	3476	3310
PA3193	1440	1263	358	2515	5013	5052
PA3194	4723	4159	1025	10440	15408	16717
PA3195	6331	4288	1369	11645	9214	9456
PA3196	750	524	263	720	1014	961
PA3197	1269	1230	584	494	927	1053
PA3198	1683	1582	503	663	957	1173
PA3199	1817	1426	603	1055	958	1140
PA3200	1040	973	376	421	518	705
PA3201	1600	1559	744	1384	1111	1501
PA3202	1584	1696	2082	591	1145	1818
PA3203	914	654	808	426	717	1167
PA3204	604	891	224	714	867	1067
PA3205	11859	2032	2163	1088	520	681
PA3206	1145	814	420	296	382	449
PA3207	339	313	97	122	239	287
PA3208	759	681	301	241	479	614
PA3209	26	7	14	83	104	77
PA3210	627	460	196	685	664	553
PA3211	1158	1199	453	1232	1467	2001
PA3212	402	555	211	362	637	876
PA3213	908	945	300	1529	1696	1606
PA3214	536	808	177	482	605	820
PA3215	1127	983	278	658	891	860
PA3216	560	442	306	172	114	182
PA3217	1064	730	282	957	806	753
PA3219	37	24	6	22	17	23
PA3220	1063	1023	377	374	321	565
PA3221	1070	1784	1212	1958	1590	1028
PA3222	1239	2771	1881	1165	2413	1889
PA3223	341	322	252	376	701	402
PA3224	2231	1531	972	1272	765	1073
PA3225	1968	1867	557	1911	1473	1912
PA3226	468	592	293	481	369	524
PA3227	1684	1915	1021	4082	2769	2628
PA3228	1461	1570	559	1858	2205	1955
PA3229	340	188	54	154	162	182
PA3230	1313	1350	746	376	684	673
PA3231	845	940	448	65	41	80
PA3232	412	1152	229	218	257	490
PA3233	906	4031	730	945	813	1523
PA3234	4215	26440	5011	4354	2017	3570
PA3235	1163	2928	7403	601	444	662
PA3236	2130	3634	1748	563	561	773
PA3237	50	43	28	15	34	54
PA3238	1465	1492	741	1219	986	1156
PA3239	803	821	312	939	906	889
PA3240	706	505	280	291	291	482
PA3241	835	959	566	501	955	1444
PA3242	1309	992	401	781	1517	939
PA3243	2525	2081	978	2338	2163	2462
PA3244	5877	5762	1695	11274	9218	7226
PA3245	1767	2022	516	3314	3193	2781
PA3246	364	360	137	1500	964	840
PA3247	4721	3370	1344	3457	3949	4372
PA3248	704	670	108	389	391	499
PA3249	554	457	204	92	144	164
PA3250	2747	2531	957	279	202	282
PA3251	518	463	207	65	61	85
PA3252	299	277	107	84	79	90
PA3253	256	202	56	55	49	65
PA3254	463	504	107	247	185	249
PA3255	1592	1513	506	1156	1358	1352
PA3256	2510	3101	914	669	1012	1828
PA3257	18090	18417	4579	19689	9704	12048
PA3258	698	544	192	280	395	400
PA3259	555	770	282	167	445	586
PA3260	1834	1854	604	770	760	1571
PA3261	4295	3496	1577	438	698	739
PA3262	6223	8192	2746	8574	9733	8531
PA3262.1	1305	2223	979	299	629	442
PA3262.2	355	311	2404	37	40	57
PA3263	1414	1291	577	3381	3792	3857
PA3264	843	842	321	507	795	820
PA3265	414	226	222	156	259	156
PA3266	17631	11442	11111	23054	5740	3587
PA3267	1592	1669	519	1849	2674	2268
PA3268	614	441	133	866	1444	1118
PA3269	740	441	148	426	499	564
PA3270	1188	1271	332	1172	1906	1867
PA3271	2019	2161	684	4074	4567	5777
PA3272	3466	5718	1433	671	1234	1672
PA3273	611	628	624	54	50	147
PA3274	760	808	571	64	42	83
PA3275	566	744	349	12	49	42
PA3276	359	223	142	229	457	370
PA3277	764	943	212	595	942	1073
PA3278	197	253	187	1886	2894	4645
PA3279	179	147	70	68	62	118
PA3280	479	391	82	100	110	155
PA3281	389	352	103	85	118	169
PA3282	395	276	73	34	75	58
PA3283	725	672	324	61	129	106
PA3284	1893	1076	259	243	334	330
PA3285	2749	1961	706	1365	2426	2392
PA3286	2998	3015	755	3198	4708	3445
PA3287	313	307	82	109	142	173
PA3288	826	674	191	211	468	451
PA3289	1304	1041	310	146	198	288
PA3290	2094	1455	1350	854	936	1380
PA3291	43	29	83	52	40	36
PA3292	41	23	57	46	33	48
PA3293	113	98	30	78	124	161
PA3294	460	280	198	741	711	853
PA3295	1567	1292	656	1488	815	915
PA3296	155	111	43	81	105	106
PA3297	3317	3744	871	3399	6789	6638
PA3298	233	101	58	35	98	104
PA3299	3720	3389	1108	8811	9003	9299
PA3300	2093	2422	951	1832	1296	1982
PA3301	2066	1579	637	1149	1454	1561
PA3302	1972	1414	950	2981	2660	2792
PA3303	444	393	164	142	194	297
PA3304	235	251	73	150	218	233
PA3303a	0	0	2	0	0	1
PA3304.1	0	0	0	0	0	0
PA3305	899	904	290	606	973	1210
PA3305.1	1790	1092	1017	32042	11663	18487
PA3306	1584	1233	544	650	931	1368
PA3307	712	673	206	143	113	465
PA3308	2831	2196	906	4825	7977	6633
PA3309	10238	8886	3812	60153	52525	66069
PA3310	1272	1141	569	1887	2213	2139
PA3311	977	753	377	239	285	280
PA3312	253	280	141	130	372	466
PA3313	1095	1272	458	3415	2910	2966
PA3314	290	430	82	292	601	989
PA3315	263	184	173	65	217	269
PA3316	440	434	134	99	197	321
PA3317	533	424	150	399	630	765
PA3318	71	79	22	66	90	93
PA3319	405	319	154	137	198	252
PA3320	123	194	120	10	28	24
PA3321	219	223	72	182	350	403
PA3322	357	451	98	395	564	523
PA3323	162	95	34	97	82	152
PA3324	399	380	137	100	187	238
PA3325	1562	1274	552	160	283	288
PA3326	18812	20841	7885	3594	2502	3207
PA3327	4164	3049	934	2137	1780	3289
PA3328	297	460	135	305	243	490
PA3329	245	302	141	182	119	282
PA3330	320	685	353	213	223	425
PA3331	440	1089	268	293	293	560
PA3332	183	392	260	107	128	196
PA3333	263	729	184	133	152	244
PA3334	210	402	222	76	111	177
PA3335	306	672	191	107	146	176
PA3336	371	630	217	812	1165	2099
PA3337	448	412	172	11159	7335	12433
PA3338	252	151	74	157	153	212
PA3339	1461	1025	351	818	1000	872
PA3340	2016	1992	1024	363	926	823
PA3341	2209	1330	746	1825	1538	1865
PA3342	560	796	242	423	357	474
PA3343	974	851	319	566	608	897
PA3344	4089	4654	1126	3232	5126	5426
PA3345	738	584	485	294	484	512
PA3346	3973	3998	1127	827	931	1438
PA3347	2133	1481	1017	602	483	985
PA3348	2585	2886	1028	1347	2137	2123
PA3349	6226	5657	2737	3258	3686	4206
PA3350	2346	1343	633	2543	3046	2935
PA3351	3127	2212	941	4934	2909	3970
PA3352	2127	1912	578	2585	1933	2839
PA3353	996	576	261	1127	985	1321
PA3354	1095	1066	330	228	357	617
PA3355	1310	1039	285	427	615	816
PA3356	4510	6047	2687	3066	3170	4876
PA3357	671	878	340	528	691	1006
PA3358	86	84	16	50	82	120
PA3359	195	128	41	144	146	139
PA3360	105	85	33	42	88	95
PA3361	10712	3579	1116	121	51	121
PA3362	4162	3663	1886	160	169	226
PA3363	6871	9427	2638	462	290	566
PA3364	11434	14540	5205	630	612	1021
PA3365	20794	28735	10945	637	591	1480
PA3366	77871	97233	23058	4606	2467	6839
PA3366.1	287	281	260	56	50	53
PA3367	132	82	59	158	419	187
PA3368.1	34	27	53	5	2	4
PA3368	89	97	32	48	50	118
PA3369	442	190	64	150	62	83
PA3370	271	146	72	53	50	75
PA3371	275	138	79	74	79	83
PA3372	394	394	134	153	248	295
PA3373	372	523	216	127	204	254
PA3374	243	248	62	90	92	132
PA3375	18	39	7	4	10	15
PA3376	76	87	10	37	42	54
PA3377	60	54	34	32	47	30
PA3378	135	131	49	54	63	69
PA3379	15	35	9	10	9	25
PA3380	5	17	7	8	8	12
PA3381	42	19	9	19	17	38
PA3382	58	62	22	20	32	27
PA3383	38	23	24	49	16	40
PA3384	88	72	34	26	40	55
PA3385	4690	6398	2412	5946	1630	1924
PA3386	305	157	117	54	71	139
PA3387	186	143	35	59	83	137
PA3388	258	305	136	86	169	186
PA3390	23	25	13	15	31	45
PA3389	66	37	29	115	73	90
PA3391	5896	3395	2184	2534	1006	4537
PA3392	4940	4127	1073	1661	578	280
PA3393	1030	871	225	381	125	76
PA3394	459	424	124	56	34	31
PA3395	370	313	125	69	40	46
PA3396	557	335	127	72	122	118
PA3397	6681	6106	3175	6766	9659	7688
PA3398	625	616	180	507	664	933
PA3399	1082	886	763	404	452	628
PA3400	217	260	63	320	343	371
PA3401	204	203	65	310	498	420
PA3402	402	476	114	429	704	609
PA3403	143	128	44	110	238	105
PA3403a	774	662	461	86	59	65
PA3404	451	382	88	19	37	50
PA3405	45	41	31	12	20	17
PA3406	58	63	27	17	19	38
PA3407	526	523	188	112	164	217
PA3408	459	272	132	141	159	282
PA3409	166	131	103	24	31	43
PA3410	699	224	69	85	147	68
PA3411	43	17	16	15	14	17
PA3412	43	62	9	28	36	35
PA3413	1271	585	290	961	475	590
PA3414	1889	1296	489	125	176	265
PA3415	3556	3057	1008	38	85	81
PA3416	3200	2961	1194	12	15	23
PA3417	3769	3029	1263	28	31	23
PA3418	7918	4332	1718	173	116	248
PA3419	1009	797	318	419	476	875
PA3420	234	186	59	45	69	98
PA3421	221	208	97	121	90	147
PA3422	384	296	164	145	156	233
PA3423	309	296	97	284	277	356
PA3424	721	1032	385	186	155	215
PA3425	414	584	509	44	69	85
PA3426	1362	1669	522	128	219	294
PA3427	1274	1231	295	485	375	590
PA3428	109	52	22	8	18	27
PA3429	380	374	121	53	99	114
PA3430	1141	895	291	333	335	315
PA3431	158	99	47	96	201	330
PA3432	139	113	71	112	247	824
PA3433	188	284	99	207	304	370
PA3434	444	399	176	279	346	345
PA3435	2019	1238	520	2554	3309	3181
PA3436	182	118	52	229	270	373
PA3437	915	622	184	1014	895	1036
PA3438	666	732	200	1390	910	1002
PA3439	744	676	372	1154	836	936
PA3440	779	662	380	3247	1537	2115
PA3440a	679	566	458	1281	1547	1969
PA3441	53	58	82	156	127	146
PA3442	65	96	44	93	181	174
PA3443	28	42	10	66	69	57
PA3444	76	120	42	172	128	179
PA3445	115	138	36	610	411	899
PA3446	130	111	46	766	642	901
PA3447	31	45	15	16	28	34
PA3448	59	62	17	8	20	50
PA3449	71	65	44	41	37	98
PA3450	831	708	389	3150	1650	2490
PA3451	2310	1281	1558	46	42	71
PA3452	3096	2269	485	3182	7295	3419
PA3453	701	701	197	1103	1468	1879
PA3454	902	751	252	260	426	461
PA3455	3214	3659	806	1952	1727	2294
PA3456	396	514	235	336	583	741
PA3457	400	263	101	382	495	622
PA3458	731	524	379	2608	2525	4898
PA3459	10374	12053	5307	5744	3865	7047
PA3460	5920	7282	3029	376	521	606
PA3461	2841	3125	1683	234	273	284
PA3462	540	480	184	170	195	275
PA3463	147	74	55	120	112	97
PA3464	379	343	136	238	347	401
PA3465	2814	2602	1107	3191	3136	5355
PA3466	2656	2486	956	1780	3093	2581
PA3467	365	364	337	115	178	198
PA3468	2655	2052	872	1965	2409	1895
PA3469	787	934	183	551	834	828
PA3470	885	676	212	430	663	749
PA3471	6164	5241	1559	6179	5418	6018
PA3472	5640	4062	1760	1223	1014	1068
PA3473	510	324	95	192	347	370
PA3474	301	278	91	194	325	262
PA3475	1538	1412	422	896	965	797
PA3476	19480	14045	10124	2672	3449	3717
PA3477	13077	13683	6090	2943	3088	4030
PA3478	7202	7273	1993	297	305	529
PA3479	15472	17723	7052	382	368	525
PA3480	1554	1395	416	2696	2249	1651
PA3481	2786	3073	1240	2580	2653	3341
PA3482	12407	10389	3923	11351	10259	10908
PA3483	1382	1096	493	1051	2005	1655
PA3484	622	415	229	1889	1799	1832
