Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA2865	2707	2021	863	838	1294	1281
PA2866	926	528	203	600	694	769
PA2867	303	294	86	3181	3682	5496
PA2868	595	413	144	276	337	424
PA2869	420	349	138	188	82	147
PA2870	1094	762	168	230	294	339
PA2871	1205	1438	845	524	953	1318
PA2872	431	529	142	97	154	227
PA2873	910	731	294	411	641	832
PA2874	153	241	59	79	145	194
PA2875	1388	1111	627	491	695	750
PA2876	454	337	229	484	930	711
PA2877	715	618	142	252	383	432
PA2878	331	162	104	90	153	312
PA2879	407	304	104	385	400	728
PA2880	95	80	44	64	59	76
PA2881	98	92	19	33	49	67
PA2882	110	75	36	42	53	84
PA2883	2756	2550	643	492	401	598
PA2884	1690	1088	462	1019	1156	1579
PA2885	710	482	152	960	1404	2292
PA2886	607	631	255	419	446	721
PA2887	278	299	85	167	173	275
PA2888	403	481	167	262	318	397
PA2889	405	595	232	232	246	348
PA2890	113	154	39	40	68	80
PA2891	350	552	180	197	236	299
PA2892	264	314	125	88	105	142
PA2893	2412	1865	511	266	288	431
PA2894	3413	3194	1062	367	528	645
PA2895	1686	2329	562	59	90	111
PA2896	12973	9393	2374	435	646	730
PA2897	17184	14657	4827	3438	3717	5086
PA2898	115	93	78	19	33	52
PA2899	1193	809	271	294	376	514
PA2900	1198	1138	296	1007	1661	1448
PA2901	879	836	261	837	1116	943
PA2902	1026	1130	459	658	986	989
PA2903	323	449	98	294	805	927
PA2904	146	267	44	276	437	480
PA2905	22	57	12	47	105	148
PA2906	1011	792	233	558	1014	1198
PA2907	564	445	157	229	425	584
PA2908	436	429	122	170	407	491
PA2909	68	86	30	32	66	77
PA2910	148	88	27	55	96	64
PA2911	805	593	261	487	576	641
PA2912	64	57	24	42	56	105
PA2913	97	68	31	94	67	98
PA2914	731	553	103	161	196	259
PA2915	2820	2108	577	634	475	731
PA2916	16	7	5	7	12	8
PA2917	754	635	181	510	416	433
PA2918	1310	1098	356	254	195	202
PA2919	251	226	109	10	6	31
PA2920	2697	2083	464	254	252	359
PA2921	139	138	44	110	228	200
PA2922	91	52	22	30	42	80
PA2923	51	30	23	26	18	40
PA2924	75	49	22	28	15	28
PA2925	97	118	31	34	43	64
PA2926	91	93	28	56	76	75
PA2927	974	830	290	293	380	452
PA2928	413	521	117	222	373	455
PA2929	207	238	63	88	129	84
PA2930	924	596	364	537	727	1274
PA2931	2193	587	264	224	324	459
PA2932	2508	435	115	108	112	140
PA2933	214	82	28	25	32	47
PA2934	212	129	47	98	81	115
PA2935	26	17	29	14	8	7
PA2936	154	125	35	44	43	67
PA2937	2312	1293	527	87	35	65
PA2938	1117	887	547	164	108	177
PA2939	12241	13689	6739	160	177	199
PA2940	652	334	164	152	259	344
PA2941	270	349	75	73	175	261
PA2942	1354	1314	555	588	1029	1104
PA2942.1	182	90	88	151	33	101
PA2943	972	678	467	1163	1177	1333
PA2944	1208	1570	355	1331	1850	2281
PA2945	2398	2260	513	1724	2050	1820
PA2946	1490	2332	932	740	936	1626
PA2947	137	260	78	155	171	252
PA2948	228	326	127	343	303	379
PA2949	675	761	416	254	325	361
PA2950	3825	4595	1195	8342	12668	9028
PA2951	11726	12817	4816	24255	27944	33068
PA2952	7079	7606	2376	19156	16771	16903
PA2953	5079	4927	2807	7390	7468	7696
PA2954	1614	838	549	931	1016	1053
PA2955	1278	709	423	613	775	762
PA2956	519	479	176	348	585	660
PA2957	2306	1913	639	1965	1738	1192
PA2958	1013	992	377	495	633	730
PA2958.1	5056	2502	4258	140	170	215
PA2959	1696	1373	395	1296	2349	1982
PA2960	681	656	260	1122	901	752
PA2961	1221	1295	686	866	1802	1891
PA2962	751	837	327	392	1062	1098
PA2963	1888	1785	655	1370	1763	1488
PA2964	1367	1803	457	1041	3247	3007
PA2965	5498	5046	3877	8007	15251	12085
PA2966	7876	6386	12120	22013	12660	13124
PA2967	4242	4627	1884	11007	21829	20933
PA2968	1834	2612	1023	3816	8847	7044
PA2969	1371	1270	583	2458	4957	3447
PA2970	844	523	398	2319	1384	1126
PA2971	14941	9572	3742	13888	15564	11008
PA2972	464	365	153	500	600	527
PA2973	3667	3272	2322	3480	5906	5594
PA2974	1684	1883	685	863	1590	1778
PA2975	3709	2671	917	2362	3486	3363
PA2976	12186	14111	3698	18292	19219	18737
PA2977	888	1221	619	1180	2124	1899
PA2978	652	779	249	536	1208	1132
PA2979	1326	1273	445	879	1591	1545
PA2980	293	216	100	168	176	219
PA2981	887	918	237	561	1318	1161
PA2982	819	728	375	728	1468	1083
PA2983	756	685	270	592	953	565
PA2984	606	619	394	134	239	340
PA2985	1918	933	386	603	305	321
PA2986	881	989	327	1211	1678	1205
PA2987	743	1307	215	581	851	1086
PA2988	1749	1856	452	1515	2160	1528
PA2989	695	654	355	448	289	462
PA2990	1900	2394	1261	1695	1841	2826
PA2991	3270	4287	1038	6238	7252	6718
PA2992	580	557	171	1009	1103	942
PA2993	1440	1312	505	2129	3837	4261
PA2994	1535	1836	663	2281	3681	4427
PA2995	846	978	264	1491	2248	2116
PA2996	799	911	254	1171	1713	1743
PA2997	1164	1501	305	1888	3085	3433
PA2998	1613	1761	627	2426	4036	3987
PA2999	3721	3004	1685	3500	6113	5503
PA3000	1143	1255	400	1149	1999	1445
PA3001	15520	18087	4871	30803	31957	25217
PA3002	4847	4686	1996	5273	6615	8001
PA3003	1163	1061	522	1109	1246	1616
PA3004	1912	2278	542	2920	3418	3240
PA3005	2087	2175	787	1136	2154	1964
PA3006	2736	1731	952	2095	2336	4215
PA3007	6201	1471	406	2072	2092	2184
PA3008	1661	696	422	507	837	919
PA3009	1812	2019	347	967	616	511
PA3010	3436	2675	1180	1226	1756	2525
PA3011	12869	10771	3880	10805	14448	15528
PA3012	1120	1118	606	354	323	420
PA3013	7048	5435	2085	3835	5391	5559
PA3014	7937	7639	2888	5340	6608	7934
PA3015	722	616	152	433	448	449
PA3016	261	237	54	166	231	238
PA3017	3425	2657	622	1528	1510	1840
PA3018	351	281	163	1695	2881	2300
PA3019	2008	1781	347	3463	4787	3544
PA3020	2913	2674	955	2289	1513	1811
PA3021	1110	868	465	2370	1705	1996
PA3022	2692	3464	1123	914	1526	2023
PA3023	1514	1511	741	154	217	243
PA3024	494	575	203	339	377	483
PA3025	319	380	121	99	191	289
PA3026	486	537	234	245	398	421
PA3027	609	631	240	792	913	939
PA3028	1510	2350	359	1049	2128	2266
PA3029	1514	1432	589	1161	1501	1481
PA3030	393	290	217	188	229	312
PA3031	12420	11285	12666	6625	3410	4675
PA3031.1	13	18	25	3	1	6
PA3032	3775	4337	1225	96	79	104
PA3033	464	345	125	209	297	333
PA3034	926	804	177	537	583	771
PA3035	312	185	102	195	168	217
PA3036	175	136	53	65	93	142
PA3037	357	297	86	123	181	197
PA3038	4813	15835	3404	6289	2996	4696
PA3039	206	164	133	128	168	193
PA3040	3875	3215	1691	1264	814	1083
PA3041	2016	2728	1320	396	339	473
PA3042	683	942	460	114	126	198
PA3043	1812	1906	652	1592	1127	1313
PA3044	395	327	104	162	209	240
PA3045	50	35	25	33	26	35
PA3046	1165	1089	329	2621	3257	2388
PA3047	2433	2032	656	3034	2362	2923
PA3048	1849	1741	569	1305	2685	2446
PA3049	316531	151289	44061	1099	579	970
PA3050	3163	2820	1250	1409	2513	2038
PA3051	510	474	108	416	325	379
PA3052	3034	1937	1953	1054	1258	2554
PA3053	1530	1440	614	595	586	702
PA3054	1195	1507	499	1847	1577	1845
PA3055	808	501	355	1180	1068	1549
PA3056	534	372	175	341	315	506
PA3057	46	32	28	49	26	61
PA3058	140	140	53	153	109	185
PA3059	189	167	49	75	143	137
PA3060	165	125	39	99	104	111
PA3061	76	103	28	64	98	66
PA3062	7	25	4	7	6	17
PA3063	168	172	64	97	183	223
PA3064	311	202	121	164	189	278
PA3065	187	144	43	63	70	92
PA3066	519	378	157	158	277	272
PA3067	385	211	169	118	169	224
PA3068	19760	27063	5372	25691	28788	39835
PA3069	828	930	335	436	585	549
PA3070	1966	1957	547	2549	2045	3077
PA3071	599	616	141	657	690	728
PA3072	31	50	22	23	29	58
PA3073	192	197	67	177	364	318
PA3074	557	640	217	422	535	706
PA3075	560	535	192	700	622	839
PA3076	570	767	218	337	357	602
PA3077	238	258	117	223	192	247
PA3078	634	550	245	581	598	592
PA3079	9736	11198	3226	3311	1932	2338
PA3080	5533	5659	3086	1013	966	1103
PA3081	324	359	124	1752	1668	2144
PA3082	449	412	242	3672	3586	4240
PA3083	8788	10388	2363	4772	6892	7015
PA3084	1426	1297	404	1287	1168	1418
PA3085	679	444	219	687	472	432
PA3086	636	741	194	372	782	931
PA3087	659	744	173	401	799	931
PA3088	970	913	360	1420	1085	1278
PA3089	659	745	314	113	82	233
PA3089a	280	253	95	87	164	183
PA3091	1248	1156	527	847	842	1392
PA3092	545	509	167	885	817	1274
PA3093	1913	1456	702	1062	1896	2254
PA3094	3081	2103	746	757	980	1150
PA3094.1	2056	2398	1201	1145	1742	1372
PA3094.2	2071	2644	1125	4908	2871	1374
PA3094.3	378	306	2382	34	56	83
PA3095	365	672	327	150	269	396
PA3096	1222	2054	986	489	730	1176
PA3097	833	1136	276	491	609	605
PA3098	449	924	251	304	380	433
PA3099	296	514	184	125	195	252
PA3100	670	1296	272	298	493	561
PA3101	1694	2336	728	2438	1285	1513
PA3102	1080	1604	727	284	578	873
PA3103	3647	4801	2051	2209	2185	2936
PA3104	4194	4001	3423	1263	1210	1522
PA3105	4931	5288	2335	4674	3480	4148
PA3106	1229	1371	466	1072	2586	2770
PA3107	2664	3407	922	2910	4646	5212
PA3108	4982	6588	1046	7656	7917	7202
PA3109	1029	615	357	465	761	662
PA3110	1287	1282	666	1213	1553	1709
PA3111	2916	3205	997	2843	5941	5590
PA3112	3234	3602	929	3950	8173	5883
PA3113	5349	5513	1637	1830	3425	3883
PA3114	500	502	148	1048	1762	1417
PA3115	7803	7850	2699	14912	19919	26567
PA3116	1044	691	386	1475	2166	2019
PA3117	4138	3411	1015	3636	5571	5433
PA3118	3357	3127	801	1413	1817	1426
PA3119	1305	1275	472	259	435	510
PA3120	3719	2289	739	748	680	835
PA3121	9051	5347	1804	1680	1867	2300
PA3122	2044	1471	762	619	815	942
PA3123	3605	3021	1209	1097	1000	1286
PA3124	666	477	196	667	616	900
PA3125	1400	808	267	287	432	420
PA3126	69381	38452	19766	2853	2327	5300
PA3127	643	701	312	468	548	758
PA3128	508	553	117	270	374	474
PA3129	452	464	153	557	1185	991
PA3130	221	250	77	330	535	574
PA3131	688	654	214	398	810	1003
PA3132	229	201	88	86	195	233
PA3133	228	148	73	80	134	143
PA3133.1	2	0	4	5	7	1
PA3133.2	48	23	87	78	106	29
PA3133.3	508	364	107	1204	717	319
PA3133.4	77	67	105	63	84	47
PA3134	3181	3570	815	6916	9861	8780
PA3135	662	398	163	192	363	379
PA3136	182	136	35	101	123	103
PA3137	530	422	136	178	252	289
PA3138	4275	4057	1123	2781	3183	3549
PA3139	5420	5252	1965	6827	10751	7218
PA3139.1	15	15	36	3	4	9
PA3140	241	213	130	166	142	146
PA3141	10618	9455	9249	9500	10952	12780
PA3142	1767	1292	366	288	390	407
PA3143	431	523	321	676	467	653
PA3145	1385	1359	3256	2248	2209	3020
PA3146	666	894	1118	2293	1843	2426
PA3147	1122	1555	1281	2597	1844	1950
PA3148	523	855	1070	1750	982	801
PA3149	376	650	1757	676	366	276
PA3150	994	1271	4146	1404	962	902
PA3151	804	1046	2608	1632	1159	1078
PA3152	159	238	758	1088	174	246
PA3153	513	547	1412	864	583	701
PA3154	556	649	1567	566	477	591
PA3155	1509	1984	2116	5305	2432	2442
PA3156	978	1634	1248	2819	2032	2357
PA3157	3550	3208	2314	2768	2680	3095
PA3158	1630	1692	1357	3365	1489	1769
PA3159	11449	11535	11992	14192	10364	11101
PA3160	5225	4150	13513	1637	1000	1305
PA3161	2820	2722	1727	1729	1200	1775
PA3162	64835	78596	21785	143604	169410	121826
PA3163	2410	3646	1200	1882	2817	3616
PA3165	3603	3717	1012	4283	6369	5980
PA3166	4196	4411	1130	5559	5973	5851
PA3167	4477	4455	1387	4731	6288	5827
PA3168	21371	20051	5912	18732	27967	26671
PA3169	1968	1833	406	1979	3028	2372
PA3170	3863	3052	1516	1286	1799	2231
PA3171	4069	2978	1124	2010	2978	2816
PA3172	2221	2260	532	1409	1852	1794
PA3173	2264	1795	1001	1156	1433	1559
PA3174	122	110	110	59	90	81
PA3175	290	230	82	146	92	134
PA3176	106	97	39	82	115	123
