Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0075	132	120	48	1590	2465	2066
PA0076	209	176	72	1235	2252	1983
PA0077	1142	949	330	14627	18562	16202
PA0078	392	345	100	4576	5888	5401
PA0079	499	472	183	4187	6547	5427
PA0080	295	175	66	2218	2374	2123
PA0081	3039	2864	749	7340	6571	6136
PA0082	871	804	505	4369	5119	6522
PA0083	885	490	142	7944	11746	10042
PA0084	3028	1562	560	28443	39660	35282
PA0085	1223	799	432	21647	21763	22326
PA0086	395	471	85	4391	6150	5544
PA0087	145	126	28	1880	2723	2442
PA0088	399	238	85	4476	5034	4432
PA0089	237	170	82	2342	3097	2660
PA0090	1072	744	349	12563	17791	14278
PA0091	603	491	225	6484	9223	7445
PA0092	190	174	83	1012	1277	1046
PA0093	370	277	131	1357	1742	1484
PA0094	172	124	84	1033	774	871
PA0095	4782	8628	1401	4661	4665	3699
PA0096	118	70	23	244	234	217
PA0097	201	146	47	509	669	614
PA0098	97	87	27	167	216	243
PA0099	321	129	122	914	692	536
PA0100	748	759	334	1823	1774	1898
PA0101	233	257	83	608	714	834
PA0102	5170	7533	2279	3764	4340	4210
PA0103	691	1111	315	536	831	801
PA0103a	427	417	190	943	720	711
PA0105	6223	5931	1621	642	650	587
PA0106	2316	2221	612	330	284	322
PA0107	773	753	198	47	78	51
PA0108	2008	2066	546	310	231	209
PA0109	697	605	286	90	89	73
PA0110	456	623	134	44	65	52
PA0111	443	358	68	19	42	20
PA0112	341	458	84	84	100	149
PA0113	525	530	138	308	323	275
PA0114	2491	3212	1133	2236	1735	1167
PA0115	645	849	366	700	822	810
PA0116	1372	1788	1062	2366	1943	2378
PA0117	929	1124	481	6804	8162	7982
PA0118	1936	1815	945	16183	13562	14218
PA0119	330	434	156	1445	1362	1244
PA0120	287	416	94	568	669	719
PA0121	274	332	117	615	739	931
PA0122	17881	15659	6334	1158	981	884
PA0123	664	1196	372	557	760	754
PA0124	32	63	44	297	315	259
PA0125	40	58	54	145	138	166
PA0126	163	136	74	3896	4358	3195
PA0127	499	747	192	769	724	558
PA0128	1277	1467	709	5713	3446	2315
PA0129	862	2241	832	780	829	861
PA0130	1860	4867	1712	1528	1910	1829
PA0131	589	1731	381	571	541	533
PA0132	1654	5957	1771	953	886	834
PA0133	522	673	197	687	699	752
PA0134	1107	1825	649	1460	1206	978
PA0135	18	30	15	22	17	19
PA0136	63	104	34	106	142	161
PA0137	59	73	35	73	99	116
PA0138	155	199	53	285	257	210
PA0139	4709	6254	2982	27736	14586	10866
PA0140	510	649	230	2799	3359	2471
PA0141	559	418	228	9378	8382	4443
PA0142	363	346	152	576	874	677
PA0143	2187	2790	956	2732	2614	2393
PA0144	485	828	209	564	913	853
PA0145	363	715	173	774	813	617
PA0146	67	111	38	198	214	209
PA0147	330	446	148	685	561	578
PA0148	899	1271	390	2053	1710	1419
PA0149	307	308	46	56	169	147
PA0150	164	114	23	134	298	292
PA0151	201	206	75	182	284	312
PA0152	385	578	212	945	1110	992
PA0153	326	516	154	334	359	392
PA0154	280	589	148	272	273	288
PA0155	794	1011	413	983	890	1119
PA0156	869	1048	361	1195	1533	1828
PA0157	448	515	176	628	1065	1046
PA0158	1892	2242	1053	3114	3806	3929
PA0159	569	884	296	1140	1528	1498
PA0160	63	49	71	153	102	117
PA0162	253	321	150	1354	2335	2245
PA0163	273	374	213	428	597	609
PA0164	295	396	127	1218	1947	1262
PA0165	206	196	142	1716	3047	3035
PA0166	141	248	80	177	198	176
PA0167	1334	1088	401	1729	1524	1776
PA0168	392	399	79	587	739	781
PA0169	121	253	101	1194	2466	2186
PA0170	59	75	29	567	1059	763
PA0171	57	46	17	801	892	889
PA0172	243	365	170	1661	2554	2527
PA0173	109	154	38	40	52	33
PA0174	82	113	38	19	27	27
PA0175	417	431	258	62	85	63
PA0176	2147	2470	554	281	336	266
PA0177	302	368	113	41	38	49
PA0178	829	1206	382	202	183	149
PA0179	1529	2195	460	366	234	160
PA0180	587	713	252	600	511	490
PA0181	348	433	157	1084	898	724
PA0182	187	334	117	203	320	319
