Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA1339	1676	1960	973	2277	2269	2483
PA1340	522	918	402	574	681	871
PA1341	939	1294	409	752	770	960
PA1342	8859	9511	4210	6976	4465	5894
PA1343	150	142	62	478	435	567
PA1344	1315	1576	502	865	1075	1028
PA1345	228	425	75	178	207	198
PA1346	27	33	23	24	40	55
PA1347	58	43	41	78	41	63
PA1348	188	255	171	107	78	83
PA1349	403	641	198	71	59	45
PA1350	363	629	208	159	162	119
PA1351	204	392	97	58	88	76
PA1352	36	47	16	14	14	11
PA1353	307	381	148	54	39	61
PA1354	638	765	288	81	92	108
PA1355	109	205	42	15	18	16
PA1356	361	539	165	92	88	117
PA1357	762	1063	435	730	1037	1140
PA1358	503	669	212	293	488	478
PA1359	233	375	133	606	794	812
PA1360	290	273	93	664	1109	850
PA1361	399	554	223	757	1258	1168
PA1362	174	188	146	134	113	112
PA1363	690	495	197	148	174	241
PA1364	367	322	125	118	185	210
PA1365	729	603	302	496	660	506
PA1366	2174	2301	860	1690	1374	789
PA1367	297	338	114	407	734	660
PA1368	200	277	154	477	305	195
PA1369	163	55	97	234	43	50
PA1370	288	264	277	919	225	144
PA1371	59	9	86	78	5	3
PA1372	288	92	224	724	55	53
PA1373	340	523	156	470	739	688
PA1374	143	191	48	256	260	258
PA1375	767	950	225	619	829	1010
PA1376	2076	2747	1090	2048	1707	1871
PA1377	910	1125	281	919	971	828
PA1378	201	267	115	383	292	340
PA1379	159	183	63	108	118	122
PA1380	284	515	102	402	287	302
PA1381	28	33	29	50	55	39
PA1382	1170	1447	748	1667	1369	1265
PA1383	731	1068	555	1081	956	851
PA1384	60	37	48	77	39	51
PA1385	81	46	113	43	30	29
PA1386	61	36	93	76	72	60
PA1387	545	834	360	852	522	423
PA1388	106	146	123	128	142	139
PA1389	362	487	253	474	413	322
PA1390	252	329	203	244	229	189
PA1391	149	291	144	200	273	231
PA1392	300	368	270	392	322	353
PA1393	116	138	150	84	101	81
PA1394	74	71	57	140	201	253
PA1395	62	41	38	242	264	282
PA1396	485	558	135	867	1103	1051
PA1397	653	734	332	436	528	716
PA1398	361	444	122	362	355	379
PA1399	328	484	105	302	434	478
PA1400	321	467	116	353	475	564
PA1401	152	310	94	233	166	193
PA1402	301	498	125	237	184	135
PA1403	264	508	129	154	200	239
PA1404	502	617	135	45	57	46
PA1405	247	394	141	1196	1590	1379
PA1406	223	311	116	327	345	272
PA1407	217	250	81	165	455	348
PA1408	829	1992	476	430	345	420
PA1409	133	161	64	189	197	241
PA1410	99	149	46	238	217	350
PA1411	286	476	124	410	430	473
PA1412	49	87	16	60	71	63
PA1413	513	787	372	455	661	635
PA1414	735	582	616	728	654	744
PA1415	1598	1883	1226	1309	1618	1053
PA1416	353	519	291	249	406	377
PA1417	100	124	83	114	244	340
PA1418	133	201	74	237	376	516
PA1419	103	130	34	148	328	311
PA1420	28	39	31	48	139	110
PA1421	332	395	187	1266	1977	2352
PA1422	426	420	139	342	585	758
PA1423	134	157	100	207	283	270
PA1424	223	391	100	188	304	285
PA1424a	129	129	68	237	247	147
PA1425	268	346	162	515	680	738
PA1428a	397	466	187	548	706	724
PA1428	214	148	92	271	296	211
PA1429	1426	1561	439	15131	12041	7040
PA1430	7524	10055	8009	4039	3802	3310
PA1431	653	795	809	823	358	376
PA1432	4112	3595	4230	19497	13929	16150
PA1433	1062	1537	495	2373	4443	4376
PA1434	277	355	246	242	287	307
PA1435	194	193	31	105	102	102
PA1436	356	616	176	290	285	278
PA1437	469	607	295	437	421	385
PA1438	508	841	216	472	510	434
PA1439	370	568	146	247	454	326
PA1440	5518	7737	2756	7302	5534	4547
PA1441	2323	1558	488	2865	5771	5140
PA1442	711	853	479	668	978	996
PA1443	1987	2075	1376	2753	3392	3496
PA1444	1233	1627	734	1606	2172	2128
PA1445	465	553	143	498	653	631
PA1446	1207	1403	501	1423	1926	1562
PA1447	242	364	198	496	550	515
PA1448	193	361	85	331	503	397
PA1449	348	448	204	397	549	462
PA1450	454	664	317	917	1073	868
PA1451	256	293	137	575	828	741
PA1452	4771	5433	2801	6476	7713	5949
PA1453	8486	9911	2492	7069	11085	9648
PA1454	4804	5404	1896	5689	5711	5443
PA1455	2796	3382	1176	4704	5382	3693
PA1456	1166	1367	575	1430	1945	1596
PA1457	4306	4463	1855	6259	8326	6865
PA1458	4062	3729	1752	5672	8383	7739
PA1459	2268	2435	696	2784	3574	3319
PA1460	804	1091	311	1267	1855	1481
PA1461	1083	1282	387	1400	1761	1322
PA1462	4099	4168	1381	4297	5190	4138
PA1463	1801	2250	544	1765	2585	2225
PA1464	4385	3996	1732	5636	5911	5677
PA1465	329	445	124	245	341	241
PA1466	158	274	106	385	672	542
PA1467	250	372	114	230	360	382
PA1468	86	94	26	122	105	94
PA1469	305	575	194	208	275	331
PA1470	317	944	306	198	260	267
PA1471	1971	4507	2449	319	310	272
PA1472	255	247	158	184	180	179
PA1473	140	316	120	121	136	78
PA1474	1171	1701	720	521	814	600
PA1475	1021	1316	628	931	1424	1523
PA1476	1151	1258	438	337	609	497
PA1477	1779	2671	873	1054	1784	1611
PA1478	15	18	23	29	22	32
PA1479	669	858	388	901	1136	970
PA1480	2755	4898	2127	3523	5061	4027
PA1481	1066	1452	462	1007	1672	1249
PA1482	913	1326	299	1156	1370	1109
PA1483	1445	1959	694	1621	2614	2231
PA1483a	460	766	395	333	393	367
PA1484	340	568	224	434	439	419
PA1485	119	166	44	71	52	50
PA1486	119	231	59	122	133	162
PA1487	189	325	105	361	523	583
PA1488	160	192	51	218	331	352
PA1489	158	185	50	383	574	652
PA1490	180	178	55	411	502	574
PA1491	488	563	200	441	437	414
PA1492	180	126	40	254	290	254
PA1493	9886	10608	2621	7717	5535	4856
PA1494	31538	46451	8716	899	997	725
PA1495	113	197	35	63	118	94
PA1496	312	424	200	335	289	268
PA1497	88	125	30	45	51	60
PA1498	112	137	37	107	154	121
PA1499	48	132	65	72	70	69
PA1500	63	89	32	129	198	187
PA1501	304	439	307	302	322	306
PA1502	238	312	136	269	302	270
PA1503	57	59	19	69	85	59
PA1504	675	722	311	1308	949	894
PA1505	1517	3525	893	4922	4750	3296
PA1506	167	245	38	256	378	217
PA1507	266	519	124	385	428	474
PA1508	72	92	53	117	76	72
PA1509	413	308	450	554	272	227
PA1510	475	380	294	665	510	434
PA1511	909	1596	426	1125	1123	1110
PA1512	299	281	144	192	136	115
PA1513	775	1074	444	1043	984	800
PA1514	199	200	145	334	242	232
PA1515	384	588	240	613	661	658
PA1516	88	117	38	196	209	167
PA1517	534	639	367	1333	1209	853
PA1518	402	607	189	667	698	615
PA1519	122	192	94	239	177	182
PA1520	2608	3651	1012	3853	3597	3187
PA1521	531	788	303	690	896	741
PA1522	745	1031	360	594	701	508
PA1523	817	1197	417	789	742	713
PA1524	426	578	155	818	588	599
PA1525	528	799	448	454	417	299
PA1526	1085	1268	779	1908	1453	818
PA1527	6140	7703	3324	7202	8474	7496
PA1528	5499	6526	2306	8216	8823	8764
PA1529	1906	2534	848	3150	5746	5065
PA1530	256	280	162	439	666	602
PA1530.1	93	73	143	44	83	60
PA1531	15	9	37	15	27	21
PA1532	3674	5019	2061	6362	8651	7798
PA1533	3150	2428	2251	6744	5800	5330
PA1534	1464	2309	1347	2516	3970	3044
PA1535	425	544	289	739	1276	1055
PA1536	581	755	490	549	616	548
PA1537	102	143	67	91	139	100
PA1538	389	550	280	287	280	289
PA1539	302	562	317	231	324	287
PA1540	23	42	4	12	20	20
PA1541	908	663	280	606	473	385
PA1542	225	252	187	371	286	240
PA1543	1312	1707	488	1710	1815	1651
PA1544	10596	22169	6199	10833	7623	5341
PA1545	424	296	162	552	457	301
PA1546	2752	2506	975	39031	21556	13637
PA1547	256	480	102	240	303	245
PA1548	166	215	32	152	165	104
PA1549	1201	2130	591	1728	2475	1742
PA1550	786	1465	761	1360	1354	983
PA1551	5153	7175	2614	6800	6297	3492
PA1552	5608	7380	2742	14335	29561	26748
PA1552.1	456	366	234	1290	1769	1938
PA1553	1301	1948	767	3333	7377	6535
PA1554	5351	6753	3116	11459	21370	21167
PA1555	1523	1134	563	10531	8201	5285
PA1555.1	137	46	45	1157	825	576
PA1556	554	420	245	5499	5323	2805
PA1557	1677	1381	685	23457	16183	9781
PA1558	198	380	112	189	211	219
PA1561	518	705	265	4700	4931	3839
PA1562	12125	18965	4309	5632	6067	5068
PA1563	502	587	212	677	1293	1459
PA1564	224	307	134	452	341	303
PA1565	321	707	257	797	891	609
PA1566	238	558	147	185	238	232
PA1567	246	449	132	565	447	296
PA1568	44	84	13	45	41	60
PA1569	116	175	66	114	157	154
PA1570	1126	1616	457	1182	1192	1144
PA1571	1298	1758	469	905	451	618
PA1572	3444	5568	2666	1948	2320	2187
PA1573	874	946	335	434	651	544
PA1574	827	753	289	2496	1063	1003
PA1575	732	902	378	260	327	260
PA1576	1972	3323	1006	1028	1325	1173
PA1577	494	522	203	232	310	323
PA1578	401	624	342	192	303	342
PA1578a	130	171	51	96	165	164
PA1579	4984	5828	2721	5231	4714	6233
PA1580	7421	5649	3344	24945	17725	17054
PA1581	2659	3007	2329	5291	4757	5657
PA1582	1966	2966	1579	3883	6326	5887
PA1583	10688	16635	5649	31451	52510	47628
PA1584	5980	9355	4193	18375	28034	24918
PA1585	16140	22284	8937	31531	57769	50626
PA1586	4725	6489	2942	11210	19940	18038
PA1587	11350	13772	6071	23916	47587	39189
PA1588	8653	11032	4856	37690	65465	69940
PA1589	8086	12134	4652	38733	66759	63503
PA1590	4634	7651	3540	1896	3322	2851
PA1591	340	878	333	265	544	472
PA1592	16208	27169	14950	15242	5428	4412
PA1593	222	301	133	369	366	402
PA1594	158	216	56	178	312	276
PA1595	270	418	148	401	647	625
PA1596	20564	29289	13524	42108	59803	65743
PA1597	1771	2798	1001	1921	2742	2613
PA1598	617	1101	289	573	924	756
PA1599	165	333	115	201	339	398
PA1600	97	173	32	221	434	294
PA1601	276	407	150	999	1408	1145
PA1602	73	118	50	398	439	297
PA1603	332	503	282	321	269	155
PA1604	704	980	281	2338	1590	855
PA1605	343	538	210	358	333	331
PA1606	84	83	32	157	138	108
PA1607	613	1748	1026	3654	2836	2969
PA1608	155	212	73	416	716	577
PA1609	6221	13272	5626	31092	44050	35426
PA1610	1850	3405	1774	5737	7694	5984
PA1611	1212	1823	667	1731	1838	1642
PA1612	168	230	59	306	391	304
PA1613	1024	1289	637	1944	2283	2111
PA1614	1167	2032	698	2206	3000	2711
PA1615	384	601	164	762	862	775
PA1616	602	1046	219	704	1135	1045
PA1617	3979	4925	2398	1058	899	1061
PA1618	332	723	230	397	388	427
PA1619	271	519	114	311	410	319
PA1620	14	35	12	25	37	25
PA1621	395	674	247	481	556	508
PA1622	250	462	175	261	356	290
PA1623	3357	3580	1392	2709	2329	1792
PA1624	1731	3175	688	1320	1662	1316
PA1625	529	1026	372	442	645	523
PA1626	246	509	100	197	541	455
PA1627	262	461	156	352	329	351
PA1628	257	480	141	280	375	357
PA1629	98	192	72	124	177	187
PA1630	936	850	298	888	1184	1235
PA1631	239	243	97	370	562	578
PA1632	7	22	10	7	15	10
PA1633	896	1653	383	619	760	509
PA1634	69	988	135	188	362	255
PA1635	30	390	22	27	67	30
PA1636	435	1126	278	425	663	739
PA1637	283	597	136	374	471	491
PA1638	111	126	48	185	347	354
PA1639	643	726	167	1087	1210	1143
PA1640	868	979	423	1496	1727	1618
PA1641	264	437	210	118	222	209
PA1642	1741	2479	981	2379	3053	2679
PA1643	1302	2043	638	1587	2035	1716
PA1643a	1168	1207	593	566	632	476
PA1644	705	858	260	1186	1245	1120
PA1645	177	293	162	138	259	260
PA1646	275	323	122	355	439	452
PA1647	428	620	221	1781	1325	888
PA1648	315	489	141	214	195	161
PA1649	131	219	37	142	197	174
PA1650	1084	1530	719	391	396	396
PA1651	689	1253	479	949	898	698
PA1652	275	467	106	397	384	426
PA1653	151	178	57	422	306	292
PA1654	706	1028	391	5510	5354	3619
PA1655	601	493	223	1890	1804	1560
PA1656	1229	1093	1226	3081	3526	2333
PA1657	621	400	219	1012	968	897
PA1658	1215	817	283	1862	1908	1503
PA1659	200	128	48	228	372	226
PA1660	424	504	218	773	903	721
PA1661	214	291	90	324	300	243
PA1662	559	493	174	648	772	786
PA1663	273	304	79	346	546	450
PA1664	17	10	4	19	17	8
PA1665	170	161	66	228	245	274
PA1666	161	143	84	179	258	197
PA1667	456	583	211	477	490	438
PA1668	119	141	58	162	165	189
PA1669	650	882	350	832	1036	1009
PA1670	155	260	76	121	274	261
PA1671	229	341	111	218	366	323
PA1672	626	614	385	623	475	527
PA1673	634	347	285	15136	10115	8048
PA1674	1656	2068	1054	3330	4154	3793
PA1675	376	460	212	871	747	903
PA1676	298	518	266	196	369	305
PA1677	1974	3146	830	3836	4043	2986
PA1678	934	1336	444	857	1695	1583
PA1679	247	412	126	479	878	659
PA1680	121	297	96	217	315	256
PA1681	4134	5222	1785	4853	6719	6686
PA1682	261	361	145	425	641	507
PA1683	522	701	242	937	1325	1135
PA1684	1106	1345	587	1672	1690	1342
PA1685	953	1378	569	1134	1956	1758
PA1686	1927	3293	935	1348	1898	1638
PA1687	675	584	202	1928	3713	3552
PA1688	1380	1806	702	1273	2389	2062
PA1689	2714	3421	1078	4171	7148	6287
PA1690	87	78	38	202	233	189
PA1691	36	47	24	101	139	94
PA1692	8	13	8	67	78	50
PA1693	216	369	100	471	427	317
PA1694	95	90	30	387	404	288
PA1695	37	40	15	294	324	274
PA1696	6	14	3	67	114	96
PA1697	118	58	42	526	788	717
PA1698	100	70	24	241	389	452
PA1699	9	5	6	36	88	68
PA1700	16	10	6	39	58	78
PA1701	13	5	8	25	71	61
PA1702	4	10	5	14	12	18
PA1703	311	355	105	848	845	794
PA1704	39	72	22	78	115	69
PA1705	100	56	29	152	127	139
PA1706	231	225	87	586	480	338
PA1707	92	79	21	270	186	186
PA1708	707	575	206	1115	2189	1433
PA1709	403	368	113	876	1098	952
PA1710	879	592	356	1126	985	858
PA1711	126	167	58	179	251	208
PA1712	530	408	259	798	1026	744
PA1713	881	420	361	1415	1554	1330
PA1714	532	596	312	1429	2178	2104
PA1715	26	22	5	114	197	190
PA1716	191	307	79	1263	1537	1260
PA1717	83	152	49	594	901	604
PA1718	1	9	4	39	51	45
PA1719	19	16	11	167	153	145
PA1720	12	15	7	116	182	166
PA1721	26	44	6	66	209	146
PA1722	55	77	26	230	437	326
PA1723	96	106	58	563	726	549
PA1724	45	32	15	119	235	175
PA1725	74	72	52	278	474	363
PA1726	803	1024	391	1209	1971	2101
PA1727	577	784	321	687	920	890
PA1728	4686	5092	5315	214	325	214
PA1729	1481	3270	904	911	1085	885
PA1730	1500	2746	729	365	362	372
PA1731	360	618	228	145	139	136
PA1732	759	1276	280	148	171	181
PA1733	1368	1971	647	263	257	251
PA1734	816	997	366	360	437	481
PA1735	542	812	202	238	275	265
PA1736	1157	1371	475	288	325	282
PA1737	1566	1823	659	552	560	610
PA1738	696	942	377	1363	903	889
PA1739	92	144	75	175	170	181
PA1740	821	1058	303	548	660	488
PA1741	399	610	240	279	197	256
PA1742	2134	5150	2131	4115	3011	2290
PA1743	51	50	30	26	27	32
PA1744	68	56	47	59	45	53
PA1745	603	981	261	121	77	64
PA1746	2619	5112	4955	6821	6113	2700
PA1747	111	88	120	458	375	156
PA1748	1352	1309	591	1597	1732	1624
PA1749	4900	8442	2311	2976	2702	2584
PA1750	2808	3565	1647	6187	7701	8663
PA1751	278	627	232	273	286	345
PA1752	1394	1963	697	905	1098	1403
PA1753	1912	3030	931	828	831	782
PA1754	4440	5766	1676	6752	5608	4608
PA1755	296	399	138	215	296	332
PA1756	787	981	372	1419	1533	1537
PA1757	680	485	254	1192	1459	1942
PA1758	773	1160	460	1626	2197	1948
PA1759	1939	2820	1199	3109	2717	2847
PA1760	1731	2836	927	1473	1439	1628
PA1761	840	1067	278	424	336	398
PA1762	312	550	243	199	207	148
PA1763	333	397	227	209	152	155
PA1764	132	188	105	146	184	111
PA1765	197	320	103	171	176	171
PA1766	1179	1894	770	3635	3663	3464
PA1767	1757	3403	1303	5569	6219	4616
PA1768	1225	1367	501	2267	1563	1281
PA1769	2002	3727	1889	1860	985	793
PA1770	14796	19871	7522	19926	31190	29453
PA1771	160	204	71	676	1583	1533
PA1772	1789	3034	1237	2612	2077	2136
PA1773	733	836	356	948	1169	1342
PA1774	482	655	391	476	545	501
PA1775	3692	5525	4327	4307	5327	4433
PA1776	8962	8352	10579	12906	16615	11489
PA1777	137183	178944	105309	206443	268917	266415
PA1778	381	602	281	243	393	350
PA1779	513	749	170	264	323	294
PA1780	41	60	5	12	11	21
PA1781	177	282	97	115	118	140
PA1781.1	4	5	14	1	3	5
PA1782	74	142	46	60	110	87
PA1783	45	100	22	49	36	40
PA1784	1467	1496	539	233	171	173
PA1785	64	210	88	45	74	64
PA1786	77	112	34	93	144	189
PA1787	8425	12674	4283	31278	54661	48707
PA1788	571	776	335	552	579	554
PA1789	3562	3767	1168	15543	7974	4506
PA1790	344	352	112	723	1143	1237
PA1791	211	135	75	1689	3127	3635
PA1792	724	1053	363	1972	2612	2280
PA1793	1360	1519	1116	7613	4150	4675
PA1794	5198	6462	2456	12286	14289	12820
PA1795	3239	4277	1961	6144	9546	10308
PA1796	1890	2156	821	3739	4817	4561
PA1796.1	3426	832	3099	3829	4943	4335
PA1796.2	160	78	138	91	224	121
PA1796.3	72	61	64	129	184	140
PA1796.4	47	36	61	52	72	67
PA1797a	153	294	141	251	366	321
PA1797	373	634	223	546	755	704
PA1798	368	527	200	804	854	833
PA1799	278	466	156	556	403	386
PA1800	15963	15311	8168	35575	55270	48424
PA1801	6289	9004	4055	5006	7861	7151
PA1802	37294	51351	32355	32716	37184	33404
PA1803	49925	43151	30811	39957	42134	44370
PA1804	24365	18935	11520	35055	30845	33058
PA1804.1	1269	827	513	75	243	248
PA1805	5873	6414	2254	10748	15844	16855
PA1806	716	923	486	2240	2554	2350
PA1807	761	928	392	2540	2365	1966
PA1808	375	529	312	1191	1001	794
PA1809	398	478	237	942	877	805
PA1810	796	1287	370	2864	2228	1795
PA1811	649	914	367	2899	1747	1229
PA1812	3979	4101	1208	6416	6960	5887
PA1813	874	1214	506	712	703	772
PA1814	2011	3242	905	1482	1348	1333
PA1815	689	798	303	839	1163	1316
PA1816	1291	1482	505	1389	2342	2113
PA1817	489	604	267	351	462	413
PA1818	3497	4230	1485	3332	3769	4554
PA1819	2285	3062	2919	1407	1922	1883
PA1820	961	1126	434	1893	1626	1491
PA1821	1711	1827	933	2259	2170	2331
PA1822	2746	4674	1189	4794	6816	6777
PA1823	944	1469	477	1928	2542	2689
PA1824	126	214	70	332	454	410
PA1825	264	431	95	258	356	368
PA1826	431	537	107	378	437	429
PA1827	82	158	68	106	142	144
PA1828	449	809	254	1267	798	748
PA1829	696	907	470	1127	769	683
PA1830	3717	3815	2594	7552	6671	7843
PA1831	1404	1338	690	752	779	978
PA1832	2894	2834	1579	1848	2054	2001
PA1833	2631	4076	1665	1959	2621	2418
PA1833a	470	634	209	387	472	528
PA1835	178	213	97	292	197	203
PA1836	157	293	190	254	308	375
PA1837	220	241	121	1872	2887	3258
PA1838	924	845	448	4162	7932	9210
PA1837a	2196	2600	1224	134	131	130
PA1839	521	774	281	479	1114	1335
PA1840	179	199	158	301	224	207
PA1841	405	811	313	661	875	826
PA1842	696	1220	499	560	850	666
PA1843	4874	7556	2883	6785	8662	7474
PA1844	132	134	31	462	967	949
PA1845	726	327	164	1202	2030	1849
PA1846	1407	1973	1012	2381	3538	3154
PA1847	12666	13259	3210	7041	6993	5520
PA1848	137	202	16	92	154	154
PA1849	14	21	6	11	22	7
PA1850	682	1065	312	576	632	586
PA1851	448	767	339	305	347	220
PA1852	3896	7643	2702	2933	1842	1895
PA1853	648	1096	317	692	1058	1131
PA1854	234	418	71	202	383	378
PA1855	37	74	30	16	69	53
PA1856	497	712	254	415	394	382
PA1857	635	803	439	1367	1562	1476
PA1858	303	384	120	309	337	299
PA1859	261	284	126	321	180	213
PA1860	857	1410	399	149	155	151
PA1861	791	1480	388	561	676	656
PA1862	281	524	210	477	612	616
PA1863	730	1267	470	766	792	665
PA1864	77	164	87	109	86	74
PA1865	862	1729	551	671	841	826
PA1866	853	1584	534	668	909	716
PA1866a	539	582	990	622	706	549
PA1867	15	34	9	15	18	14
PA1868	179	315	73	168	288	260
PA1869	5196	4952	3567	679	775	754
PA1870	1005	1711	710	71	93	59
PA1871	5189	7021	2275	400	401	434
PA1872	1794	2577	1000	677	804	645
PA1873	218	410	202	106	84	81
PA1874	40113	51019	14330	1393	1782	1727
PA1875	2736	3735	1626	143	197	209
PA1876	3194	5181	1631	173	170	205
PA1877	2373	3031	811	104	96	104
PA1878	1286	1541	518	193	202	213
PA1879	472	646	140	195	236	207
PA1880	2664	3886	1162	407	503	496
PA1881	850	1088	305	154	142	118
PA1882	257	405	103	151	147	181
PA1883	32	21	2	53	62	79
PA1884	115	150	67	90	121	110
PA1885	222	267	51	334	298	267
PA1886	857	1210	457	877	1078	913
PA1887	236	388	129	158	142	147
PA1888	268	285	93	146	168	155
PA1889	1024	1838	828	952	970	871
PA1890	665	1183	311	648	679	771
PA1891	54	104	16	17	56	51
PA1892	73	152	46	36	58	52
PA1893	534	983	246	173	217	258
PA1894	324	455	169	73	48	59
PA1895	574	805	305	301	237	202
PA1896	241	371	128	151	129	119
PA1897	201	213	153	110	72	77
PA1898	380	556	281	61	77	78
PA1899	338	317	282	19	12	29
PA1900	316	382	388	38	34	29
PA1901	658	1326	217	208	291	254
PA1902	357	351	139	25	55	55
PA1903	703	1052	392	152	160	183
PA1904	410	521	227	57	75	54
PA1905	618	836	303	89	172	150
PA1906	510	747	288	230	267	274
PA1907	207	279	93	64	101	105
PA1908	75	43	18	18	16	32
PA1909	136	146	47	23	49	36
PA1910	584	532	167	114	166	178
PA1911	383	423	68	23	19	30
PA1912	778	656	262	36	59	74
PA1913	76	132	20	141	220	193
PA1914	1183	945	386	89	73	94
PA1915	961	1374	499	815	767	582
PA1916	204	324	57	115	105	80
PA1917	40	42	22	30	26	31
PA1918	142	234	78	107	112	108
PA1919	254	579	116	309	349	268
PA1920	408	478	296	1090	744	401
PA1921	183	326	65	36	56	29
PA1922	61	110	51	65	96	98
PA1923	81	174	40	93	83	83
PA1924	10	30	14	9	15	16
PA1925	64	102	49	39	26	29
PA1926	1191	1523	585	1508	2652	2206
PA1927	1205	1171	230	301	560	470
PA1928	290	328	84	111	224	263
PA1929	220	274	95	113	152	175
PA1930	1857	1847	865	215	273	278
PA1931	487	887	307	132	129	155
PA1932	345	676	216	237	392	456
PA1933	4696	9794	2262	3983	4359	4283
PA1934	215	307	136	540	529	551
PA1937	121	135	152	142	151	201
PA1938	241	358	210	300	331	302
PA1939	3649	3179	2892	2940	2057	1899
PA1940	1259	1210	1352	1074	759	727
PA1941	1548	1256	618	2428	1670	1873
PA1942	96	82	80	105	58	45
PA1943	909	1407	299	768	675	496
PA1944	2147	3015	1101	1046	854	779
PA1945	702	853	598	365	408	369
PA1946	2914	3335	2248	2839	2306	1983
PA1947	1208	2365	515	585	623	726
PA1948	871	1560	497	465	427	500
PA1949	952	1518	352	719	721	777
PA1950	1635	2559	867	654	778	928
PA1951	670	891	311	284	303	348
PA1952	37	42	17	17	19	22
PA1953	111	133	57	59	45	67
PA1954	106	141	80	59	65	72
PA1955	81	57	77	27	21	23
PA1956	35	32	4	30	37	23
PA1957	176	164	58	175	280	220
PA1958	447	594	229	373	569	492
PA1959	585	513	322	1080	2199	2011
PA1960	105	169	51	154	261	259
PA1961	354	494	134	473	511	481
PA1962	45	66	37	55	101	99
PA1963	842	1384	548	972	534	586
PA1964	2466	3280	1028	4133	6734	4992
PA1965	332	545	185	310	461	493
PA1966	122	93	43	226	411	381
PA1967	235	151	52	334	533	505
PA1968	678	564	144	166	261	241
PA1969	1311	1327	251	1039	726	734
PA1970	49	73	30	102	151	170
PA1971	317	291	97	778	1152	747
PA1972	68	137	53	108	93	104
PA1973	280	485	110	497	517	705
PA1974	127	326	75	55	74	71
PA1975	216	931	278	61	89	103
PA1976	438	1712	411	137	94	179
PA1977	56	270	70	23	31	40
PA1978	490	1212	226	514	319	306
PA1979	290	1359	225	22	17	20
PA1980	131	527	176	13	17	22
PA1981	70	434	69	3	5	9
PA1982	1485	6204	1553	87	85	116
PA1983	524	2233	1318	12	27	19
PA1984	2281	9054	1978	382	394	645
PA1985	1439	2933	1314	151	53	111
PA1986	1597	4301	1167	545	515	440
PA1987	501	1282	301	297	279	336
PA1988	30	98	36	5	13	43
PA1989	670	1591	552	273	242	382
PA1990	455	1408	308	214	209	284
PA1991	679	1217	524	667	647	744
PA1992	567	1141	286	381	460	562
PA1993	321	497	209	369	499	410
PA1994	712	845	241	414	456	404
PA1995	924	943	260	582	491	447
PA1996	307	384	150	271	249	338
PA1997	904	1677	488	1321	1224	1136
PA1998	523	1044	278	413	447	449
PA1999	1006	1370	443	111	118	344
PA2000	411	898	319	113	74	181
PA2001	1946	3352	640	396	690	690
PA2002	289	524	181	163	151	155
PA2003	403	494	145	179	183	160
PA2004	393	368	152	237	180	257
PA2005	1248	1511	457	804	1057	995
PA2006	303	296	65	104	132	152
PA2007	1596	1246	407	184	298	264
PA2008	2519	2007	559	664	700	619
PA2009	4955	3586	1116	2004	1441	1073
PA2010	546	415	179	237	366	394
PA2011	1844	2533	784	554	784	945
PA2012	3842	6231	2126	978	1085	1364
PA2013	1681	2490	597	445	351	435
PA2014	3706	6474	1697	1353	1187	1344
PA2015	4853	8600	2906	2930	2042	2528
PA2016	532	588	380	759	332	384
PA2017	499	754	270	755	920	728
PA2018	2300	3790	1504	13491	18272	18591
PA2019	1200	1922	604	4771	7788	7310
PA2020	791	1150	813	1251	2063	2420
PA2021	116	197	110	143	179	137
PA2022	415	577	212	514	572	519
PA2023	3949	5509	2523	6380	7962	8705
PA2024	2702	4305	1442	313	463	283
PA2025	4661	6709	2814	4057	4531	3604
PA2026	312	461	150	3764	3607	1537
PA2027	667	891	412	86	61	55
PA2028	226	157	212	261	200	163
PA2029	279	452	236	313	352	315
PA2030	931	2598	484	173	175	179
PA2031	157	517	215	49	57	90
PA2032	907	1297	432	848	1331	1436
PA2033	3417	2202	735	155	233	279
PA2034	291	316	49	15	17	30
PA2035	791	1352	387	145	217	263
PA2036	86	52	177	48	57	26
PA2037	276	108	361	202	92	100
PA2038	103	86	114	233	269	233
PA2039	323	421	198	930	1108	692
PA2040	4621	6295	2661	3672	4981	3635
PA2041	1138	1466	845	681	790	772
PA2042	3634	4377	1385	3431	6276	6316
PA2043	547	828	319	544	1002	739
PA2044	1629	2125	1025	2782	5099	4294
PA2045	532	681	292	155	210	154
PA2047	933	1528	892	476	423	305
PA2048	141	205	29	11	32	32
PA2049	2337	3185	1021	1314	1679	1378
PA2050	27	60	25	24	38	54
PA2051	37	83	17	33	55	84
PA2052	252	342	286	149	158	134
PA2053	356	1875	222	270	139	579
PA2054	253	363	82	195	277	231
PA2055	72	64	24	51	93	94
PA2056	240	238	114	768	929	936
PA2057	238	396	141	231	206	210
PA2058	60	116	39	75	72	78
PA2059	57	142	45	57	51	53
PA2060	23	42	11	17	37	33
PA2061	50	73	32	62	66	66
PA2062	212	242	124	326	375	448
PA2063	247	264	123	661	1375	1294
PA2064	132	216	85	132	173	203
PA2065	299	680	141	104	150	138
PA2066	3239	5869	1562	110	93	95
PA2067	1025	2166	635	14	12	28
PA2068	3068	5754	1597	49	50	75
PA2069	18302	29900	8428	102	111	152
PA2070	693	1280	510	236	321	235
PA2071	2846	3669	1534	1038	1023	1032
PA2072	1158	1535	561	176	148	131
