Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA1326	198	396	359	257	448	240
PA1327	1515	1856	2324	173	186	185
PA1328	192	219	251	193	192	189
PA1329	12	10	34	13	7	10
PA1330	86	205	199	128	190	131
PA1331	569	1292	1318	925	1198	836
PA1332	437	857	869	488	478	321
PA1333	381	499	626	441	311	311
PA1334	117	356	197	108	151	131
PA1335	344	633	839	218	240	211
PA1336	978	980	1345	418	372	348
PA1337	4327	2697	6120	516	341	408
PA1338	2243	1238	3075	353	326	262
PA1339	1567	811	2038	541	385	454
PA1340	635	351	761	139	102	86
PA1341	875	612	1128	131	116	106
PA1342	11737	3037	12161	985	602	823
PA1343	97	25	126	310	259	241
PA1344	826	1097	1552	702	795	570
PA1345	127	188	277	77	121	72
PA1346	27	32	41	13	18	20
PA1347	41	25	48	15	7	21
PA1348	118	382	302	23	30	49
PA1349	271	432	417	15	42	24
PA1350	320	429	543	72	67	81
PA1351	130	296	283	34	39	32
PA1352	16	27	31	22	18	7
PA1353	181	392	314	25	25	39
PA1354	433	812	667	53	76	72
PA1355	51	226	166	7	14	8
PA1356	252	423	487	63	53	61
PA1357	344	1106	575	351	465	630
PA1358	333	435	535	201	215	204
PA1359	142	349	170	310	526	446
PA1360	118	206	178	505	552	397
PA1361	168	466	384	705	893	701
PA1362	128	122	158	65	84	127
PA1363	508	305	521	112	106	81
PA1364	163	194	265	115	83	71
PA1365	460	484	491	291	302	266
PA1366	2069	862	3082	690	408	391
PA1367	136	243	191	284	286	387
PA1368	235	149	254	154	84	79
PA1369	143	40	99	96	8	9
PA1370	286	174	281	318	48	72
PA1371	140	26	129	34	3	7
PA1372	546	134	514	248	10	11
PA1373	179	366	445	332	384	336
PA1374	78	117	122	165	130	182
PA1375	422	744	1028	497	452	364
PA1376	1644	1624	2487	745	659	712
PA1377	444	592	775	398	379	438
PA1378	114	199	196	125	147	128
PA1379	98	120	133	43	59	51
PA1380	136	284	275	143	145	148
PA1381	23	10	19	24	20	28
PA1382	1067	763	1686	587	471	526
PA1383	717	646	1063	426	323	358
PA1384	40	29	35	45	17	25
PA1385	143	45	129	33	25	18
PA1386	91	23	123	36	26	23
PA1387	390	445	610	282	224	222
PA1388	84	92	111	42	61	55
PA1389	289	318	421	151	168	148
PA1390	142	212	232	108	134	100
PA1391	100	154	168	128	134	118
PA1392	254	180	370	106	112	130
PA1393	91	119	87	37	45	16
PA1394	24	69	42	78	120	73
PA1395	38	29	34	125	138	113
PA1396	270	360	279	531	615	476
PA1397	495	648	660	276	316	271
PA1398	245	194	353	221	129	161
PA1399	166	374	326	178	256	202
PA1400	184	320	290	208	220	182
PA1401	104	170	213	91	56	57
PA1402	157	254	249	71	76	75
PA1403	115	320	333	107	106	84
PA1404	303	322	810	32	32	31
PA1405	167	305	297	704	793	777
PA1406	111	250	198	146	186	131
PA1407	111	186	203	187	252	196
PA1408	553	1130	1232	253	251	197
PA1409	48	110	121	39	38	35
PA1410	61	66	113	48	35	47
PA1411	165	379	301	231	206	247
PA1412	32	46	57	46	60	31
PA1413	223	692	448	324	478	433
PA1414	707	274	1199	239	188	231
PA1415	527	731	940	361	688	390
PA1416	154	246	299	84	139	91
PA1417	79	108	138	39	55	34
PA1418	134	137	241	38	47	42
PA1419	75	114	144	41	42	46
PA1420	38	25	61	11	13	12
PA1421	216	237	327	122	148	203
PA1422	249	411	341	206	290	212
PA1423	164	155	213	255	300	206
PA1424	123	313	202	156	231	140
PA1424a	121	113	165	156	89	87
PA1425	223	318	300	427	501	354
PA1428a	274	271	298	298	358	297
PA1428	110	102	95	141	145	98
PA1429	751	1190	1146	4365	4811	4083
PA1430	5971	7569	10845	1303	1509	1266
PA1431	479	639	786	155	124	125
PA1432	6134	4037	11185	4851	1873	6200
PA1433	826	1148	1773	1288	788	1777
PA1434	170	427	353	137	167	168
PA1435	128	176	198	22	47	48
PA1436	327	401	449	131	144	131
PA1437	365	314	664	221	180	210
PA1438	266	622	517	242	237	221
PA1439	168	363	339	291	358	266
PA1440	4319	3208	5489	4338	2907	3153
PA1441	1368	1199	1337	2176	2405	2266
PA1442	879	463	1010	602	584	556
PA1443	2281	1178	2826	1964	2037	1979
PA1444	1025	1028	1297	1124	1264	1540
PA1445	268	428	489	378	441	394
PA1446	839	912	997	1216	1315	1081
PA1447	244	174	310	323	288	255
PA1448	162	161	183	284	288	244
PA1449	303	260	360	354	369	305
PA1450	229	569	326	434	630	437
PA1451	142	252	209	435	445	338
PA1452	4932	3469	5059	5509	6118	5185
PA1453	5604	5458	7284	6179	7945	6504
PA1454	4535	2182	5811	3624	2754	3378
PA1455	3044	1880	3923	2592	2544	2294
PA1456	1346	759	1573	874	968	988
PA1457	3592	2492	4184	3331	3846	4155
PA1458	3418	2506	3604	3532	4202	4201
PA1459	1709	1397	2012	1663	1667	1443
PA1460	568	472	689	800	826	675
PA1461	749	765	1044	978	958	919
PA1462	2496	2578	2656	3424	4019	3629
PA1463	1006	1956	1610	1461	2023	1372
PA1464	3474	2150	4232	3230	2747	3527
PA1465	206	289	586	330	355	179
PA1466	220	318	338	566	793	664
PA1467	175	276	258	189	204	166
PA1468	58	67	47	60	64	67
PA1469	304	342	557	115	126	99
PA1470	296	559	767	101	113	121
PA1471	1323	2808	4095	392	462	325
PA1472	155	192	170	170	165	135
PA1473	93	182	155	54	58	47
PA1474	709	1831	1463	378	545	434
PA1475	568	1073	729	893	1138	1016
PA1476	750	1006	1059	333	409	340
PA1477	1004	2194	1542	709	1026	1059
PA1478	25	5	35	14	16	22
PA1479	490	547	856	559	545	527
PA1480	2121	3121	3589	2494	2611	2418
PA1481	927	1035	1367	688	722	707
PA1482	622	635	898	678	623	533
PA1483	913	1686	1672	1441	1639	1220
PA1483a	232	964	608	296	413	154
PA1484	293	304	445	194	213	187
PA1485	75	91	122	17	42	19
PA1486	67	105	152	44	49	42
PA1487	171	209	230	270	293	263
PA1488	94	191	146	165	169	149
PA1489	113	156	166	209	215	246
PA1490	134	118	158	231	214	312
PA1491	351	274	492	170	134	128
PA1492	146	105	157	122	76	73
PA1493	9642	7703	11659	2025	1473	1906
PA1494	31262	25634	39229	329	285	272
PA1495	81	116	127	54	58	28
PA1496	303	208	364	181	131	117
PA1497	36	115	88	25	28	22
PA1498	55	119	79	56	64	73
PA1499	29	86	70	53	68	61
PA1500	70	95	94	133	127	123
PA1501	259	369	483	135	118	156
PA1502	161	213	276	140	160	133
PA1503	23	54	54	46	47	36
PA1504	609	268	602	628	430	468
PA1505	1490	1673	2936	2017	1959	1650
PA1506	90	109	144	131	154	102
PA1507	196	369	396	320	340	229
PA1508	58	37	101	24	11	27
PA1509	339	197	363	159	75	106
PA1510	348	323	381	276	204	180
PA1511	962	723	1469	1178	1197	1013
PA1512	306	194	251	156	169	162
PA1513	446	867	774	558	552	568
PA1514	129	153	248	224	119	162
PA1515	233	441	451	459	691	621
PA1516	62	60	129	123	138	202
PA1517	241	363	428	857	837	941
PA1518	282	354	515	477	437	499
PA1519	96	154	166	151	149	113
PA1520	1739	2289	2855	1814	1582	1848
PA1521	359	433	589	452	629	424
PA1522	358	743	628	397	632	381
PA1523	564	701	1125	540	742	481
PA1524	306	284	540	421	707	349
PA1525	331	590	488	167	168	169
PA1526	862	554	1188	732	467	513
PA1527	5120	4258	10360	3837	3975	3605
PA1528	4357	3246	7484	3567	2989	3272
PA1529	1262	1574	2191	1957	2069	2349
PA1530	214	274	347	218	268	283
PA1530.1	32	80	29	36	59	26
PA1531	4	14	3	12	31	22
PA1532	2690	3770	4598	3451	4101	3516
PA1533	3245	2065	5174	2890	2226	2758
PA1534	890	1782	2023	1354	1608	1334
PA1535	302	391	460	604	634	694
PA1536	365	593	583	259	308	299
PA1537	82	98	158	26	47	34
PA1538	204	384	469	72	149	103
PA1539	215	403	426	121	230	164
PA1540	17	20	21	6	15	14
PA1541	247	195	249	58	133	52
PA1542	201	112	235	156	77	74
PA1543	902	808	1322	654	562	598
PA1544	8843	6305	11442	3767	2504	2694
PA1545	233	306	550	196	193	171
PA1546	2238	1197	2507	6781	4707	5774
PA1547	136	365	298	124	169	92
PA1548	80	92	140	66	44	29
PA1549	812	1557	1838	672	932	577
PA1550	872	796	1666	376	362	346
PA1551	4444	4209	6782	1362	1631	1267
PA1552	3904	4486	6119	5591	6108	7345
PA1552.1	651	239	776	419	294	452
PA1553	1232	879	1638	1562	1395	1711
PA1554	4554	3530	5881	5843	4164	6667
PA1555	1264	837	1506	1394	2203	1528
PA1555.1	254	23	206	134	155	130
PA1556	484	307	450	783	1444	974
PA1557	1781	1032	1630	4088	4462	4077
PA1558	153	276	276	117	115	96
PA1561	473	515	716	2019	2106	1904
PA1562	10000	8418	15466	1867	2149	2102
PA1563	348	403	468	480	565	557
PA1564	205	206	269	182	165	180
PA1565	226	380	492	524	548	386
PA1566	116	327	425	395	460	243
PA1567	125	258	221	170	224	181
PA1568	23	46	46	13	24	18
PA1569	100	98	121	62	49	64
PA1570	613	889	1026	673	625	646
PA1571	1759	671	2754	380	170	332
PA1572	1938	4188	4285	737	1099	804
PA1573	421	564	653	212	282	256
PA1574	1090	333	890	699	259	446
PA1575	424	722	748	137	144	124
PA1576	1150	1669	2470	446	485	499
PA1577	391	289	546	76	111	100
PA1578	137	442	300	96	123	99
PA1578a	88	108	98	55	93	98
PA1579	3802	2914	6300	1467	1147	1399
PA1580	10390	2130	8242	14100	7138	10549
PA1581	3333	1564	4629	3137	2359	2801
PA1582	1573	1461	2839	2894	2394	2882
PA1583	11393	8101	19176	18673	17640	21176
PA1584	7333	5079	11030	10128	10884	11814
PA1585	18948	10984	27523	19049	18859	22500
PA1586	5108	4535	7929	6615	7799	7876
PA1587	9789	10653	16403	13865	16293	18722
PA1588	10485	5718	18228	18166	14654	23048
PA1589	8388	6121	15233	18664	14443	22576
PA1590	3370	4927	6254	995	1192	1009
PA1591	217	247	992	201	171	187
PA1592	20922	11489	31655	6394	3447	3901
PA1593	244	218	249	173	184	177
PA1594	167	99	206	149	112	112
PA1595	188	281	277	269	247	261
PA1596	17566	12709	25344	8580	4653	14456
PA1597	891	1364	2087	390	338	503
PA1598	294	397	542	131	111	147
PA1599	104	216	193	147	176	162
PA1600	45	93	103	134	180	135
PA1601	201	276	324	409	540	397
PA1602	77	41	84	132	141	107
PA1603	159	337	230	113	100	93
PA1604	449	659	610	510	359	456
PA1605	321	214	468	112	112	90
PA1606	75	61	82	63	55	49
PA1607	352	1532	942	1630	1539	1974
PA1608	116	102	172	256	251	225
PA1609	6648	5999	15284	12856	10670	13871
PA1610	2076	1483	4610	2232	1776	2264
PA1611	1288	977	2251	941	863	914
PA1612	116	169	135	220	203	196
PA1613	910	890	1116	1108	1173	1062
PA1614	916	1114	1867	1255	1259	1244
PA1615	290	372	517	364	277	377
PA1616	255	995	619	521	633	584
PA1617	3746	3509	6209	696	742	598
PA1618	487	336	856	98	105	104
PA1619	146	229	404	155	124	108
PA1620	23	27	24	15	21	17
PA1621	307	532	657	208	198	198
PA1622	147	277	399	105	100	98
PA1623	2462	1939	3833	907	791	863
PA1624	827	1561	1818	548	631	513
PA1625	245	626	482	266	313	244
PA1626	145	401	237	275	400	302
PA1627	220	266	378	179	182	173
PA1628	150	289	312	125	161	168
PA1629	77	108	139	64	68	105
PA1630	404	594	478	484	511	590
PA1631	121	159	182	181	174	220
PA1632	5	13	13	5	4	9
PA1633	317	1279	663	333	306	316
PA1634	45	810	416	257	228	240
PA1635	9	365	135	46	49	30
PA1636	228	1019	703	336	337	330
PA1637	123	355	311	170	196	175
PA1638	82	71	119	120	134	149
PA1639	347	382	417	470	388	400
PA1640	589	460	908	682	551	633
PA1641	206	356	412	62	110	60
PA1642	1316	1390	2185	1159	1016	1137
PA1643	1193	955	2079	724	629	736
PA1643a	683	815	981	197	242	233
PA1644	381	525	558	562	603	562
PA1645	108	325	127	99	173	112
PA1646	129	175	269	155	174	151
PA1647	254	282	377	412	380	373
PA1648	238	303	357	32	70	47
PA1649	151	112	256	75	151	79
PA1650	518	868	887	174	217	152
PA1651	437	642	713	258	245	201
PA1652	158	209	206	142	125	127
PA1653	97	121	112	139	115	124
PA1654	440	647	606	1481	1610	1475
PA1655	336	378	498	368	406	511
PA1656	1012	982	1104	513	663	509
PA1657	699	251	383	97	122	111
PA1658	1384	451	719	218	226	252
PA1659	194	71	133	71	51	51
PA1660	307	323	371	120	141	124
PA1661	149	165	169	52	59	73
PA1662	450	425	497	120	134	124
PA1663	191	182	192	90	110	73
PA1664	18	4	9	4	0	2
PA1665	161	127	171	31	27	43
PA1666	76	147	82	37	52	35
PA1667	299	329	475	114	151	101
PA1668	104	77	169	46	41	35
PA1669	497	597	753	231	256	174
PA1670	70	138	177	71	48	32
PA1671	105	226	186	80	152	102
PA1672	500	388	801	214	188	181
PA1673	479	310	636	2278	2023	2732
PA1674	1349	791	1719	1436	1047	1195
PA1675	336	187	534	376	228	277
PA1676	137	576	320	202	305	204
PA1677	1110	1900	1940	2395	2224	2095
PA1678	582	699	973	651	690	743
PA1679	150	343	257	334	447	350
PA1680	71	111	152	151	219	114
PA1681	2815	2791	3989	2622	2494	2876
PA1682	178	227	255	250	316	300
PA1683	298	488	525	470	558	473
PA1684	670	795	1081	825	670	722
PA1685	419	1044	768	537	791	657
PA1686	965	2179	1659	622	834	593
PA1687	493	323	404	1186	798	1290
PA1688	764	1005	915	404	662	504
PA1689	1400	1697	2117	1064	1454	1321
PA1690	41	51	68	99	74	59
PA1691	40	28	27	74	63	44
PA1692	7	4	7	22	15	13
PA1693	238	102	278	186	125	113
PA1694	22	44	47	167	132	137
PA1695	17	42	37	149	170	101
PA1696	10	8	10	52	35	40
PA1697	75	98	75	403	305	298
PA1698	62	46	52	168	152	149
PA1699	11	6	8	41	18	13
PA1700	12	10	13	29	29	17
PA1701	3	4	6	39	32	35
PA1702	0	1	10	5	24	4
PA1703	192	205	306	442	290	244
PA1704	13	20	23	38	28	24
PA1705	53	28	74	83	50	53
PA1706	154	110	177	213	127	143
PA1707	67	46	76	95	76	55
PA1708	350	318	521	642	602	480
PA1709	249	176	346	384	285	332
PA1710	348	310	366	390	207	334
PA1711	17	62	58	82	95	76
PA1712	207	190	258	392	320	289
PA1713	483	257	459	511	427	434
PA1714	281	338	474	615	684	665
PA1715	30	19	30	45	79	30
PA1716	179	218	250	558	535	469
PA1717	68	120	102	319	325	202
PA1718	8	8	14	23	19	14
PA1719	31	3	20	46	36	36
PA1720	11	37	20	42	73	61
PA1721	5	29	41	54	73	45
PA1722	17	64	33	106	104	87
PA1723	68	69	113	212	190	192
PA1724	10	23	26	69	63	43
PA1725	38	64	54	139	136	106
PA1726	518	856	749	719	780	612
PA1727	439	474	705	487	474	465
PA1728	4572	5105	8788	117	227	135
PA1729	705	1889	1519	376	390	339
PA1730	1082	1253	2413	135	111	133
PA1731	388	325	655	44	69	63
PA1732	330	845	901	75	64	52
PA1733	960	1133	1703	101	114	113
PA1734	443	794	658	148	149	147
PA1735	525	364	634	130	149	132
PA1736	911	851	1309	124	147	95
PA1737	1389	1046	2264	187	210	230
PA1738	487	456	732	363	285	376
PA1739	82	77	163	71	85	66
PA1740	593	596	925	230	282	209
PA1741	687	409	862	102	116	92
PA1742	1739	2444	4133	1613	944	1119
PA1743	11	58	27	15	38	16
PA1744	41	33	48	30	13	19
PA1745	497	337	690	33	17	26
PA1746	1285	4793	4298	915	1403	791
PA1747	110	57	171	57	83	34
PA1748	1085	733	1206	700	433	663
PA1749	3098	5450	5468	751	814	698
PA1750	2217	2607	2979	2651	2558	3041
PA1751	168	485	295	124	136	166
PA1752	1241	987	2028	449	401	463
PA1753	873	1862	1568	273	392	308
PA1754	3973	2069	5744	1737	1297	1400
PA1755	222	223	374	145	104	148
PA1756	484	426	672	741	501	873
PA1757	590	272	458	598	419	629
PA1758	697	692	998	847	728	939
PA1759	1316	1861	2201	796	833	759
PA1760	1186	1505	2101	383	402	379
PA1761	614	409	924	85	65	102
PA1762	282	277	369	56	46	37
PA1763	175	237	261	58	36	39
PA1764	114	120	180	71	47	39
PA1765	181	137	276	63	37	31
PA1766	1703	736	2557	1852	1368	1541
PA1767	1715	1238	2154	3080	2381	2301
PA1768	1321	406	1254	1172	623	688
PA1769	2448	2546	4260	570	379	409
PA1770	11046	12639	16295	9860	10510	12978
PA1771	147	148	146	460	505	454
PA1772	1916	1591	3173	938	668	863
PA1773	575	463	969	444	418	469
PA1774	384	393	728	205	220	230
PA1775	2998	3244	6065	1958	1699	1787
PA1776	8814	6222	13711	8058	8627	8682
PA1777	211674	98231	329865	95458	69003	99960
PA1778	309	401	534	92	134	97
PA1779	329	537	486	95	115	97
PA1780	36	53	60	6	8	11
PA1781	155	121	222	39	31	38
PA1781.1	4	3	3	4	2	5
PA1782	45	72	76	50	24	21
PA1783	48	88	53	12	31	17
PA1784	1114	498	1149	60	42	74
PA1785	38	142	68	16	33	30
PA1786	52	92	73	40	34	47
PA1787	8916	6239	12734	11732	11678	15310
PA1788	494	471	660	164	236	186
PA1789	3028	2147	3489	2449	2011	1976
PA1790	194	175	287	506	500	649
PA1791	216	115	164	1875	1757	1939
PA1792	507	582	905	958	779	898
PA1793	2656	927	3710	2063	805	1612
PA1794	4153	2552	5241	5273	4313	5156
PA1795	3325	2425	5971	2930	2708	3204
PA1796	1385	1273	1749	3005	2673	2687
PA1796.1	1337	1660	1117	1880	2877	3032
PA1796.2	62	91	79	95	154	114
PA1796.3	33	90	41	108	170	129
PA1796.4	32	56	20	39	56	43
PA1797a	140	158	329	183	191	125
PA1797	238	394	386	477	654	314
PA1798	337	268	440	550	485	468
PA1799	343	193	296	344	221	229
PA1800	13577	8255	15224	21081	16307	20745
PA1801	4897	6481	8276	2243	2345	2643
PA1802	42041	23743	67647	10409	9046	10770
PA1803	39166	25539	55558	10641	7120	10749
PA1804	12719	12860	20689	10823	5506	8945
PA1804.1	481	310	800	49	59	82
PA1805	4599	2773	6172	3116	2423	3202
PA1806	455	680	716	712	856	826
PA1807	699	542	939	750	697	732
PA1808	296	355	427	390	361	345
PA1809	297	300	461	325	364	255
PA1810	931	624	1254	828	610	666
PA1811	487	549	650	732	576	587
PA1812	3200	1607	3586	2962	1902	2485
PA1813	1068	670	1825	271	187	210
PA1814	1397	2038	2034	770	808	739
PA1815	832	389	923	440	393	447
PA1816	818	1018	1261	877	838	904
PA1817	473	367	726	192	158	169
PA1818	3206	2981	4592	1048	1015	1023
PA1819	1076	3002	1985	696	915	706
PA1820	578	661	859	677	556	659
PA1821	1832	1038	2871	798	567	719
PA1822	1995	3359	3255	2088	2452	2355
PA1823	509	910	1021	915	736	784
PA1824	93	131	156	132	235	158
PA1825	151	280	291	98	84	100
PA1826	239	320	439	121	196	150
PA1827	38	99	92	43	65	44
PA1828	621	375	902	359	299	308
PA1829	512	427	737	334	389	278
PA1830	3664	2530	7302	2796	2378	2574
PA1831	1008	1003	1377	452	867	436
PA1832	2667	1597	4188	579	683	654
PA1833	2113	2668	4022	684	792	896
PA1833a	515	325	770	153	171	213
PA1835	145	173	215	239	160	204
PA1836	156	262	293	162	156	130
PA1837	279	187	343	584	327	713
PA1838	859	499	816	1680	907	2492
PA1837a	2122	1588	3361	60	32	47
PA1839	250	520	432	556	722	727
PA1840	197	144	265	135	76	73
PA1841	424	328	698	333	253	261
PA1842	402	686	815	233	290	271
PA1843	4193	4837	7661	2803	2929	2753
PA1844	96	100	62	336	648	390
PA1845	256	444	144	999	1840	1002
PA1846	1009	1360	1598	1384	1408	1327
PA1847	10618	4176	13845	2183	1303	1801
PA1848	43	44	64	50	62	63
PA1849	3	6	8	5	4	13
PA1850	372	691	528	238	266	200
PA1851	245	506	463	139	121	115
PA1852	3376	3750	7059	948	366	809
PA1853	366	557	625	493	445	474
PA1854	135	240	218	124	118	119
PA1855	12	82	56	14	27	32
PA1856	401	461	614	100	127	122
PA1857	453	382	681	659	482	575
PA1858	143	356	245	112	164	142
PA1859	180	222	313	84	71	84
PA1860	704	853	1142	49	69	52
PA1861	416	779	752	286	423	287
PA1862	124	276	285	235	238	192
PA1863	229	376	515	276	347	307
PA1864	64	75	104	34	47	22
PA1865	917	2204	2062	2034	2859	2035
PA1866	876	1518	2015	1282	2066	1433
PA1866a	186	711	223	334	553	486
PA1867	1	9	16	6	12	9
PA1868	114	248	162	95	101	65
PA1869	3673	4114	4870	72	70	136
PA1870	488	1326	1846	15	22	11
PA1871	3834	5175	7404	103	128	160
PA1872	902	1974	1896	214	268	195
PA1873	194	238	347	18	32	32
PA1874	24177	40955	45720	523	622	641
PA1875	2042	2144	4323	46	38	53
PA1876	2340	3345	4970	70	53	50
PA1877	1686	1701	3189	35	34	34
PA1878	985	637	1697	71	45	52
PA1879	236	348	358	77	70	101
PA1880	1862	2284	3382	134	173	160
PA1881	601	501	738	26	36	43
PA1882	235	169	275	108	68	72
PA1883	17	16	14	14	53	21
PA1884	72	105	93	55	55	20
PA1885	121	106	208	89	65	82
PA1886	527	943	990	343	454	359
PA1887	125	216	179	35	68	64
PA1888	150	197	226	35	60	36
PA1889	743	1072	1367	366	283	302
PA1890	567	603	1143	202	189	163
PA1891	42	187	102	24	21	21
PA1892	201	211	350	21	23	13
PA1893	593	1568	1346	54	83	101
PA1894	836	732	1533	11	9	12
PA1895	797	669	1068	57	72	48
PA1896	353	446	544	32	35	37
PA1897	550	252	619	17	16	27
PA1898	284	471	531	38	14	36
PA1899	504	262	863	5	7	2
PA1900	522	308	1388	8	4	5
PA1901	601	814	2001	108	79	76
PA1902	206	572	577	9	25	23
PA1903	547	1187	1891	91	110	89
PA1904	307	737	1185	25	50	30
PA1905	346	1200	1502	77	128	96
PA1906	205	643	719	94	108	91
PA1907	93	290	291	54	30	19
PA1908	37	51	66	7	8	7
PA1909	60	93	93	27	20	14
PA1910	298	264	433	71	54	52
PA1911	102	273	395	16	23	17
PA1912	455	482	774	53	45	21
PA1913	60	70	106	274	209	228
PA1914	647	619	773	23	10	35
PA1915	684	743	1151	205	274	206
PA1916	103	131	175	44	42	13
PA1917	21	29	49	2	8	6
PA1918	69	171	107	27	44	30
PA1919	141	280	273	60	63	58
PA1920	186	357	272	104	110	126
PA1921	72	129	173	15	34	8
PA1922	39	67	69	22	35	21
PA1923	40	105	91	27	16	26
PA1924	10	23	26	2	5	1
PA1925	58	79	89	12	13	9
PA1926	1087	774	1589	770	778	784
PA1927	1109	1634	842	174	282	170
PA1928	152	204	220	51	69	75
PA1929	86	203	184	42	63	63
PA1930	1678	889	2156	74	59	60
PA1931	316	461	699	33	35	35
PA1932	269	437	559	64	97	60
PA1933	3245	5161	6631	1007	1084	980
PA1934	170	267	309	159	195	199
PA1937	76	111	113	21	34	51
PA1938	275	154	342	77	97	119
PA1939	4485	1858	4778	488	279	369
PA1940	711	840	977	211	220	234
PA1941	945	779	780	661	469	541
PA1942	68	59	82	42	24	25
PA1943	511	762	839	164	187	198
PA1944	1895	1219	3283	247	213	200
PA1945	694	807	1000	197	178	149
PA1946	3345	3268	5498	647	903	648
PA1947	948	2247	1950	233	246	166
PA1948	930	1139	1323	146	169	123
PA1949	1224	718	1964	201	136	193
PA1950	923	2180	1939	276	287	290
PA1951	437	662	582	61	88	65
PA1952	15	22	35	9	14	9
PA1953	77	95	164	11	14	22
PA1954	68	70	98	23	18	32
PA1955	16	68	28	12	14	10
PA1956	23	31	28	6	19	6
PA1957	108	99	191	131	86	93
PA1958	200	419	405	236	206	223
PA1959	373	378	409	588	757	567
PA1960	71	115	65	72	106	102
PA1961	234	166	412	144	143	135
PA1962	39	63	65	21	32	38
PA1963	1030	826	1360	226	161	166
PA1964	1999	1643	2895	1804	1905	1627
PA1965	178	357	243	153	189	169
PA1966	56	71	58	167	168	104
PA1967	173	101	93	150	173	178
PA1968	449	367	618	68	63	99
PA1969	421	1278	1596	729	475	290
PA1970	61	46	62	83	84	43
PA1971	158	179	275	422	404	301
PA1972	54	74	86	18	33	26
PA1973	115	338	294	200	200	122
PA1974	164	157	149	25	10	29
PA1975	162	405	609	26	26	41
PA1976	382	725	931	51	63	47
PA1977	29	183	67	6	11	6
PA1978	227	409	422	135	85	78
PA1979	170	499	590	6	4	3
PA1980	95	219	346	9	5	5
PA1981	69	294	232	4	6	2
PA1982	1640	2825	3461	16	27	44
PA1983	483	1106	1176	3	7	13
PA1984	2411	3485	4348	422	320	396
PA1985	1556	1252	2210	43	36	55
PA1986	721	2015	1734	179	185	118
PA1987	313	659	820	82	57	75
PA1988	36	41	84	5	6	2
PA1989	416	941	882	105	100	88
PA1990	240	786	687	108	49	63
PA1991	429	723	823	198	235	167
PA1992	350	673	799	171	111	113
PA1993	152	409	280	180	275	180
PA1994	416	413	667	137	110	160
PA1995	508	750	756	135	139	164
PA1996	252	214	347	106	78	92
PA1997	531	1064	1057	457	361	346
PA1998	362	603	601	213	172	192
PA1999	561	789	1103	24	41	26
PA2000	337	362	692	30	12	29
PA2001	934	2074	1884	191	205	239
PA2002	180	354	326	49	64	37
PA2003	293	355	462	51	47	61
PA2004	282	260	351	84	78	62
PA2005	518	805	862	359	299	291
PA2006	161	194	234	26	28	35
PA2007	940	1155	1316	35	63	46
PA2008	1280	1452	1722	103	108	94
PA2009	3049	2761	2811	132	140	152
PA2010	213	281	290	122	98	124
PA2011	1018	1679	1943	209	164	258
PA2012	2456	4866	4867	272	238	332
PA2013	1517	1457	2427	111	74	91
PA2014	2589	3901	5234	260	200	259
PA2015	4439	6062	10262	458	313	406
PA2016	757	382	1103	180	66	82
PA2017	344	384	684	374	746	391
PA2018	429	574	711	7766	9475	7301
PA2019	165	262	284	3759	4444	3150
PA2020	317	438	620	817	842	1010
PA2021	78	75	210	74	58	93
PA2022	160	254	308	249	305	219
PA2023	3629	2833	7090	3312	2428	3345
PA2024	1038	3060	1655	122	162	124
PA2025	4019	4349	7006	1071	1167	1171
PA2026	152	178	254	1064	1300	779
PA2027	215	265	274	17	16	14
PA2028	169	123	227	79	57	41
PA2029	189	388	287	117	72	81
PA2030	624	1277	1515	50	38	63
PA2031	354	419	619	13	23	13
PA2032	575	819	908	483	512	659
PA2033	1085	1539	1695	107	131	123
PA2034	114	126	282	15	11	11
PA2035	449	760	1090	57	61	65
PA2036	42	44	61	20	9	21
PA2037	182	109	200	46	15	27
PA2038	82	54	124	82	59	33
PA2039	174	278	205	251	269	251
PA2040	2810	2411	5024	4310	3473	3824
PA2041	730	697	1296	346	271	289
PA2042	2814	2001	3401	2151	1643	1888
PA2043	213	566	545	279	342	253
PA2044	930	1160	1579	1554	1781	1650
PA2045	203	540	397	122	130	121
PA2047	410	1186	1018	143	115	118
PA2048	94	210	189	8	22	1
PA2049	1256	2203	1883	853	986	745
PA2050	21	42	42	8	9	22
PA2051	26	31	67	42	31	17
PA2052	210	354	433	65	69	86
PA2053	109	1044	154	119	93	82
PA2054	118	199	246	82	101	100
PA2055	13	43	45	22	29	19
PA2056	95	224	185	327	435	388
PA2057	130	229	219	67	60	47
PA2058	25	71	51	15	23	20
PA2059	21	103	39	22	22	15
PA2060	6	21	23	9	13	6
PA2061	29	43	105	13	21	19
PA2062	120	225	210	84	60	120
PA2063	99	226	136	409	389	390
PA2064	69	189	133	61	67	71
PA2065	224	414	443	43	48	46
PA2066	1906	4108	4574	21	24	20
PA2067	644	1700	1928	14	9	6
PA2068	1856	4468	4788	14	25	26
PA2069	14857	20187	27501	35	39	71
PA2070	354	872	842	95	102	97
PA2071	2565	1984	4729	258	266	201
PA2072	863	861	1527	46	53	34
PA2073	78	128	134	29	20	29
PA2074	39	55	61	10	11	13
PA2075	134	124	164	52	41	41
PA2076	213	291	351	106	79	96
PA2077	64	116	90	18	35	42
PA2078	72	151	175	38	26	35
PA2079	431	635	693	124	95	113
