Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0357	868	1404	1432	5620	6453	5616
PA0358	112	202	218	964	993	758
PA0359	814	2009	1280	7755	4442	4148
PA0360	758	893	1034	2410	2609	2419
PA0361	993	1684	1800	3331	3995	2928
PA0362	543	526	791	2817	1869	2328
PA0363	1275	844	1485	3840	3140	3875
PA0364	346	319	597	439	419	364
PA0365	160	423	271	205	259	202
PA0366	783	895	1207	618	734	621
PA0367	461	737	784	1144	1254	1165
PA0367a	122	188	207	678	854	635
PA0368	369	1045	758	2508	3181	2275
PA0370	426	863	826	2573	3243	2518
PA0371	1621	1488	2379	6835	6790	5838
PA0372	1844	1975	2674	8395	9319	7251
PA0373	2689	4762	5132	13545	17658	11627
PA0374	1077	1336	1843	5424	5690	4690
PA0375	1569	1971	3246	7768	8871	6993
PA0376	15452	11657	30013	28935	27773	30958
PA0377	260	460	704	901	1106	877
PA0378	153	346	326	1619	1549	1403
PA0379	353	409	473	1016	1025	990
PA0380	257	162	252	764	700	697
PA0381	1902	1373	2009	10439	9483	10561
PA0382	631	801	1037	6040	6960	6474
PA0383	377	517	535	1430	1823	1425
PA0384	132	191	207	262	186	206
PA0385	223	161	198	747	593	475
PA0386	230	802	359	3074	5310	3184
PA0387	645	1097	1608	4481	4436	4269
PA0388	1238	1754	2114	3810	4311	4401
PA0389	851	541	1038	3188	2817	2858
PA0390	845	625	1072	6764	5642	6383
PA0391	1046	1307	1807	3789	3316	3611
PA0392	417	431	708	3132	2013	2733
PA0393	529	991	1223	4185	4263	3462
PA0394	1866	1426	2576	5092	4977	4410
PA0395	2487	2313	3498	3930	4074	3416
PA0396	1309	1697	2127	2687	2293	2333
PA0397	432	689	796	819	876	696
PA0398	528	585	989	1699	1120	1328
PA0399	1903	2538	2719	3145	3008	4001
PA0400	1732	2306	2460	2847	3861	4578
PA0401	1203	1920	2156	6089	8491	5732
PA0402	1221	1214	1911	8161	8379	7669
PA0403	547	787	764	4381	4818	3834
PA0404	522	931	971	2497	3430	2168
PA0405	972	1730	1275	4038	4944	3763
PA0406	649	669	929	2731	2492	2189
PA0407	2291	2065	3528	5662	4318	4433
PA0408	2505	1072	3662	7323	5386	5186
PA0409	1037	473	1242	2506	2735	2718
PA0410	379	1052	735	3085	4560	3539
