Geneid  B1C     B1K     B1N     B1P     B1Z     B2C     B2K     B2N     B2P     B2Z     B3C     B3K     B3N     B3P     B3Z     P1C     P1K     P1N     P1P     P1Z     P2C     P2K     P2N     P2P     P2Z     P3C     P3K     P3N     P3P
PA2985      1918    1073    1037    1270    1097     933    1308     836     599     859     386     595    1488     667     566     603     734     446     562     504     305     466     313     400     381     321     382     266     171
PA3018       351     335     236     424     306     281     457     220     173     249     163     144     242     243     183    1695    2542    1196    2348    2481    2881    2926    1348    3559    3031    2300    2348    1502    1038
PA3023      1514     901     484    1520    1468    1511    1295     959     659    1393     741     744    1209    1043    1357     154     263     157     238     428     217     265     194     347     497     243     304     151     195
PA3031     12420    7167    8257   12144   13212   11285   12464    9783    8668   15570   12666   11779   14734   11264   13163    6625    7401    2243    3342    8425    3410    3900    1798    6529    4452    4675    3181    1956    1991
PA3032      3775    1965    2167    1837    2935    4337    2731    1995    1250    2936    1225     817    3832    1733    2454      96     139      85     143     121      79     190     100     159     124     104     187      58      79
PA3040      3875    2541    3089    2292    2936    3215    2442    1462    1427    2720    1691    1738    4333    1675    2241    1264    1294     665     686    1925     814     936     531    1275    1313    1083     924     583     586
PA3042       683     560     638     797     772     942     869     517     377     583     460     407    1230     487     544     114     203     163     186     358     126     232     163     257     380     198     207     146     154
PA3049    316531  109892  122295  135249  143816  151289  121879   95613   82141  194461   44061   29375  167392  103380  102922    1099     734     514     749    1383     579     664     500     851     961     970     606     735     636
PA3079      9736    4544    5097    4240    6874   11198    7447    3719    2316    4162    3226    2622    8692    3143    3681    3311    1614     812    1509    2040    1932    1445     606    1053    1050    2338    1460     472     677
PA3080      5533    3194    2087    5099    6801    5659    5556    4363    2312    4418    3086    2935    3995    3461    3731    1013    1022     612     899     837     966    1010     674     839     790    1103    1035     396     323
PA3081       324     250     220     277     243     359     371     224     175     255     124     131     314     195     213    1752    1272     802    1343    1153    1668    1946     785    1134    1336    2144    1693     582     899
PA3082       449     413     348     341     373     412     417     270     196     281     242     202     521     295     288    3672    2579    1438    2831    2016    3586    3925    1568    2561    2321    4240    3784    1619    1935
PA3089       659     533     283     618     724     745     721     647     410     627     314     213     616     530     534     113     164      83     113     113      82     145     142     311     151     233     133      73      92
PA3095       365     449     168     570     689     672     664     724     326     453     327     304     576     494     499     150     270     115     161     296     269     384     172     441     330     396     354     137     123
PA3102      1080    1079     472    1794    1755    1604    2121    2145     783    1167     727     717    1210    1507    1272     284     593     271     590     602     578    1139     436    1225     897     873     893     320     314
PA3104      4194    4105    3841    6359    6111    4001    5262    5830    3188    4744    3423    3309    5388    5353    4571    1263    1582     564    1125    1249    1210    1766     646    1973    1080    1522    1385     512     647
PA3116      1044     946     419    1114     881     691    1040     683     362     555     386     360     614     650     564    1475    2055    1677    2948    1793    2166    3343    1756    2908    2385    2019    2981    1961    1130
PA3120      3719    1465    1174    2660    2009    2289    3075    1640    1047    1967     739     681    2303    1417    1028     748     759     587     725     705     680     907     810    1251     893     835     812     664     455
PA3121      9051    3147    2352    6457    5663    5347    7210    3301    2075    4841    1804    1800    6091    3390    2274    1680    1935    1425    2135    1734    1867    2394    2132    3486    2072    2300    1972    1630    1319
PA3123      3605    2377    1195    2591    2824    3021    2640    1952    1300    2402    1209    1243    2301    2026    2143    1097    1279     617    1195    1531    1000    1227     571    1523    1307    1286    1257     752     713
PA3126     69381   32138   17677  102199   46573   38452   58079   36910   20518   68753   19766   23295   32748   36863   51901    2853   30897    2854    4022    8421    2327   13830    1590     589    5060    5300   12009    3345    3101
PA3129       452     377     250     603     460     464     439     303     180     271     153     282     334     307     298     557     830     955    1408     961    1185    1868    1132    1406    1352     991    1954    1074     648
PA3130       221     142     115     242     174     250     301     155      82      79      77      81     193     122     122     330     404     343     640     484     535     777     356     482     741     574     844     433     277
PA3142      1767     940     794    1235    1073    1292    1441     687     433     922     366     426    1256     606     749     288     550     241     370     509     390     444     233     439     324     407     380     214     286
PA3160      5225    3400    2601   15171   16009    4150    3058    5450    7479   19838   13513   15813    4368   11867   15173    1637    3009    1629    2851    2802    1000    1866     703    3348    1708    1305    1596     869    1475
PA3180      1602    1109     915    1363    1450    1432    1435    1019     584    1128     792     442    1347    1093    1043     342     477     343     466     433     377     649     375     668     435     434     591     355     250
PA3181      2586    1959    1172    2482    2055    1951    2257    1729    1058    1847     717     608    1773    1442    1021    3571    6453    5818    4604    7011    6565    8860    6152   10552    8524    7405    7576    5638    2467
PA3182       904     623     359     635     444     909     786     554     197     364      74     120     635     344     183    1706    3132    2551    2836    3103    3660    4595    2710    4378    4777    3817    4557    2739    1997
PA3183      6166    3493    2756    5284    4175    4827    4650    3275    1740    3339    1140    1992    4042    2734    1886   12183   21915   15043   20732   19552   21349   28339   16455   31227   25932   19406   25713   16977   10661
PA3191       482     353     203     388     338     432     465     384     116     198      97     131     278     237     242    1212    1690    1064    1392    2362    1713    1705    1001    1522    1958    1850    1691     757     606
PA3192       654     386     292     511     420     690     671     356     181     342     132     164     418     290     270    2208    2691    1491    2292    3354    3476    3068    1390    2948    3463    3310    3322    1324    1028
PA3193      1440     869     693    1083     905    1263    1559     840     432     693     358     346     908     645     480    2515    4018    3006    3294    5036    5013    5652    3029    5236    5603    5052    5397    2850    1648
PA3194      4723    2690    2271    3328    3139    4159    3744    2059    1676    2575    1025    1260    3402    1982    1690   10440   16723   10280   16095   17330   15408   21350   11208   22442   20938   16717   19746   11120    8601
PA3205     11859    3861    2500    7303    5032    2032    4091    2051    3067    4214    2163    1801    2071    3589    3692    1088    1144     524    1124    1620     520     963     593    1642    1292     681     569     423     711
PA3216       560     459     357     378     373     442     623     329     258     390     306     161     534     309     256     172     186     115     144     206     114     126      89     148     122     182     129      83      95
PA3231       845     475     211     877     561     940    1113     938     672     675     448     471     702     849     705      65      46      51      30      71      41      61      44      58      54      80      44      40      21
PA3232       412     213     177     584     365    1152    1132     684     290     525     229     163     704     521     382     218     250     115     205     253     257     244     113     125     231     490     267      97      98
PA3234      4215    2275    2888    3597    2720   26440   14171    7607    7038    6375    5011    2156   17411    6854    5541    4354    1294     547     822    2090    2017    1102     353     407     828    3570    1663     345     436
PA3235      1163    1029     625    2602    2055    2928    2994    7160    5749    7455    7403    2708    3451    7435    5678     601     466     189     124     346     444     344     181     303     182     662     440     158      59
PA3236      2130    1456    1383    1857    2719    3634    2475    1452    1122    2361    1748    1567    2381    1591    2498     563     370     322     317     461     561     320     292     329     306     773     442     336     164
PA3246       364     339     314     257     224     360     305     170     127     159     137     110     344     180     163    1500    1373    1133    1716    1015     964    1361     909    1129     948     840    1155    1051     602
PA3249       554     468     252     461     446     457     624     411     178     323     204     134     447     311     303      92     180     127     154     123     144     201     159     272     164     164     170     111      90
PA3250      2747    1673    1656    1786    2110    2531    1999    1152     828    1720     957     696    2233    1181    1568     279     274     143     186     282     202     276     161     264     335     282     270     162     127
PA3251       518     340     236     338     365     463     435     265     158     288     207     116     364     301     292      65      90      54      62      80      61      61      58      83      48      85      76      68      40
PA3256      2510    1544     845    2762    3362    3101    3172    2830    1343    2732     914     987    1954    2202    1754     669    1169     891    1241    1087    1012    1525    1161    2108    1631    1828    1414     906     885
PA3261      4295    2997    2060    3362    3169    3496    3683    2155    1582    2801    1577    1393    3446    2301    2368     438     879     704     786     859     698     900     648    1105     830     739     808     647     396
PA3263      1414    1037     923    1275    1260    1291    1406     835     596     883     577     577    1250     962     932    3381    4826    4734    6405    4350    3792    5418    4075    5685    4429    3857    4319    4320    2582
PA3272      3466    2352    1198    3848    3082    5718    4958    3810    2002    3171    1433    1478    3697    3156    2840     671    1743    1464    1499    1674    1234    2052    1480    1625    1984    1672    2247    1520    1151
PA3273       611     387     165     900     744     628     705     737     376    1040     624     367     584    1161    1036      54      84      45      75      80      50      85      57     130     117     147      80      60      47
PA3274       760     452     146     760     650     808     910     820     846    1190     571     456     601     925     960      64      66      31      42      77      42      63      50      55      78      83      54      41      32
PA3275       566     507     220     647     425     744     831     524     530     714     349     199     755     677     558      12      30      56      60      57      49      82      76      89      94      42      78      44      21
PA3278       197     252     132     371     422     253     265     249     144     194     187     266     231     228     237    1886    3411    1150    1872    3492    2894    2777    1226    5327    2872    4645    1333     994    1345
PA3283       725     343     587    1561     932     672     570    1120     756    1111     324     294    1104     578     797      61      87      93     183      80     129     129     139     209     132     106     153     104     125
PA3284      1893     501    1085    1427     820    1076     738    1502     572    1046     259     331    1354     603     956     243     164     180     394     212     334     237     133     332     247     330     273     187     295
PA3289      1304     885     494     973     873    1041    1058     699     554     662     310     450     855     602     684     146     207     140     188     224     198     223     185     267     247     288     147     128      92
PA3307       712     847     301     654    1181     673     843     922     384     799     206     193     653     609     602     143     209     192     111      91     113     204     198     490     132     465     211      87     194
PA3308      2831    2452    1775    2988    1952    2196    2674    1908     906    1136     906    1082    2149    1637    1295    4825    5603    7043    9390    5591    7977   10920    7908    7837    7388    6633    9230    7701    4362
PA3311       977     607     337     869     930     753     983     761     533     697     377     317     619     634     552     239     346     184     322     325     285     387     196     404     270     280     287     225     168
PA3325      1562     902     873    1409    1379    1274    1500    1043     603     988     552     771    1465     921     916     160     309      95     197     221     283     394     113     285     231     288     360     108     112
PA3326     18812   11808   14756   11651   15218   20841   13384    9208    8323   13362    7885    8266   20053    9144   10838    3594    2384     412    1619    2887    2502    2370     343    1957    1945    3207    2809     460    1000
PA3337       448     520     445     569     451     412     403     400     139     240     172     154     489     400     271   11159    9896    2206    8128   14921    7335    7241    2135   13589    9844   12433    3297    1885    7082
PA3346      3973    2397    1947    2528    2771    3998    3743    2137     989    1832    1127    1325    3461    1769    1872     827    1219     594    1176    1182     931    1158     516    1412    1041    1438     997     439     597
PA3347      2133    1429     930    1482    1352    1481    1760    1283     624    1282    1017     502    1430    1305    1257     602     960     350     491     929     483     726     355    1212     483     985     428     295     240
PA3361     10712    4321    3478    3252    3358    3579    5656    2158    4233    5958    1116    1330    3501    2861    2595     121      99      34      91     125      51      71      53      53      94     121      92      31      47
PA3362      4162    2509    1481    3622    3700    3663    3845    2859    1897    3985    1886    1702    2460    2748    2592     160     207      99     139     202     169     152     101     196     165     226     156     104      72
PA3363      6871    5009    3501    5517    5118    9427    6276    3913    2548    4122    2638    2150    5784    3790    3554     462     402     191     467     594     290     301     167     380     355     566     447     200     283
PA3364     11434    7087    5034    8403    8231   14540    9927    7294    4029    7132    5205    3046    8384    6516    5933     630     643     421     670     832     612     614     298     758     565    1021     804     356     432
PA3365     20794   14328    9021   24849   22809   28735   20873   18821    8138   16374   10945    6391   16643   16182   14015     637     742     368     588     876     591     770     384     891     642    1480    1104     436     363
PA3366     77871   40308   39818   51250   49408   97233   56389   32933   25046   46170   23058   24442   65904   32652   34615    4606    3759    1746    3820    4668    2467    2716    1263    3849    2513    6839    3583    1568    3382
PA3392      4940    3156    2259    2566    2889    4127    2268    1110    1108    1654    1073    1062    2740    1194    1579    1661     708     137     316    1148     578     534     191     633     511     280     327     251     406
PA3393      1030     856     508     716     515     871     631     279     199     341     225     217     708     256     323     381     225      56     137     237     125     159      77     158     177      76     138      82      99
PA3403a      774     418     184     629     531     662     878     828     441     806     461     471     557     845    1024      86     119      65      54     146      59      90     103     117     151      65      80      85      23
PA3414      1889    1042    1129     931     919    1296    1265    1348     628    1384     489     313    2270     937     851     125     237    3899     189     124     176     405    4595     236     228     265     392    2762     137
PA3415      3556    1690     986    2296    2074    3057    2258    1947    1377    2336    1008     707    2033    2035    1880      38     105     393      60      80      85     138     590      87     125      81     147     384      27
PA3416      3200    1918     982    2407    2500    2961    2434    1728    1341    2914    1194     722    2050    2321    2323      12      30      41      23      32      15      23      66      39      45      23      25      24      17
PA3417      3769    1961     906    3117    2143    3029    2495    2028    1259    2055    1263     680    1669    2233    2238      28      33      17      20      33      31      32      28      48      52      23      29      34      28
PA3418      7918    3538    2949    4447    3891    4332    4860    3303    1959    4201    1718     989    4641    2920    2755     173     244     161     172     373     116     170     127     274     204     248     127     123     107
PA3424       721     494     401     598     433    1032     966     693     357     454     385     303     966     651     419     186     203     161     224     186     155     331     172     344     210     215     210     114     141
PA3425       414     356     224     547     525     584     681     503     456     482     509     423     388     499     404      44      72      48      72      81      69     108      70     121      83      85      99      68      31
PA3426      1362     940     409    1230    1163    1669    1683     952     554     957     522     447    1042     855     773     128     218     164     191     212     219     249     231     282     361     294     279     160     159
PA3440       779     827     496     324     289     662     657     176     324     273     380     285     546     409     403    3247    3058    1762    2375    2281    1537    2171    1106    2055    1473    2115    2008    1642    1271
PA3445       115     244      89     119      82     138     253     115      65      81      36      72      82     112      54     610    1009     592     391     347     411     982     800     537     491     899     636     695     178
PA3446       130     271     100     105     152     111     226      68      50      52      46      95      94      67      53     766    1015     735     606     426     642    1193     711     386     607     901     980     729     244
PA3451      2310    1785     940    3254    3072    1281    1812    2746    1389    2954    1558    1103    1509    2595    2353      46      65      50      57      67      42      63      63     129      45      71      41      50      52
PA3452      3096    1987    2357    1604    1445    2269    1707     842     752    1144     485     566    2834     810     849    3182    4253    6606    8803    2781    7295    9146    4892    5812    5560    3419    8694    6495    4715
PA3458       731     529     349     721     705     524     554     493     295     575     379     323     577     536     510    2608    4180    1113    3282    5104    2525    3754    1565    8867    3881    4898    1701    1104    2608
PA3460      5920    3529    2143    7006    4704    7282    6621    5159    3197    6020    3029    2102    5250    5784    5536     376     791     930     537    1319     521     934    1363    1385    1653     606     700     846     264
PA3461      2841    1899    1146    3609    2309    3125    3019    2524    1712    2967    1683     931    2614    2790    2716     234     416     490     323     718     273     413     638     617     799     284     350     432     181
PA3467       365     310     185     447     471     364     564     374     210     338     337     205     333     350     412     115     170     147      91     137     178     178     150     181     131     198     164     148      55
PA3472      5640    3923    4296    4005    2937    4062    4459    2503    1748    2097    1760    1518    4445    2482    2295    1223    1478    2105    2108    1653    1014    1493    1958    1587    1285    1068    1260    1874     949
PA3476     19480   14140    7653   21877   23497   14045   20338   15850    8167   17472   10124   10825   10226   16616   15569    2672    4125     711    2361    3232    3449    4267     433    3731    2987    3717    4353     920     860
PA3477     13077   10237    7399   11403   12852   13683   15201    9293    6965    9992    6090    7210   12191    8459    9173    2943    4103    1174    3828    3162    3088    4148     916    4441    3287    4030    3425    1174    1724
PA3478      7202    4755    2621    4704    3183    7273    7024    4216    2397    2754    1993    1990    4311    3528    2805     297     527     331     419     449     305     509     248     436     393     529     478     284     217
PA3479     15472   10123    8385   12640   12109   17723   15532   10614    8022   10804    7052    8304   14406   10110    8869     382     451     116     379     468     368     532     109     515     377     525     489     143     225
PA3491       732     519     334     605     547     566     709     668     261     358     245     236     664     445     383    1036    1360    1648    1499    1203    1484    2043    1751    1905    1422    1720    1802    1381     993
PA3493       137     131      87     119      83     168     158     108      56      72      41      38     124      77      82     226     328     287     423     298     314     451     287     490     308     401     410     249     177
PA3520       940     847     474    1141    1308     626     711     695    1129    1574     711     848     487     801     930      19      26      12      17      24      15      11      17      20      19       9       9       9      21
PA3529     13203    4904    5830    4097    4208   10500    9040    3877    4287    5026    3048    3382    9824    4419    4408   40259   42284   36682   40616   49539   30732   28381   15674   24495   28582   32118   23912   28649   16420
PA3530      5133    2178    1626    2968    2160    2927    4296    2489    1633    2871     900    2300    2673    1416    1584      87     115     107      55     134      38     110      80      49      96      61     214      56      40
PA3531      1978    1167    2502     841    1019    3085    1432     860     991    1810     574     723    4435    1047    1079   30181   21263   12407   26553   19230   13504   10933    6998   21952    9899   10143    5462    6738   11476
PA3532       398     422     272     531     467     490     632     532     253     463     235     297     495     364     454    2423    3541    2310    3268    2609    4045    4425    3862    6896    2898    1966    1889    1842    1234
PA3535      3511    3476    3373    3868    3943    5864    5754    4839    1939    2631    1715    1633    5774    3011    3152    1416    1813     597    1531    1534    1805    1997     657    1623    1610    2592    2029     643     706
PA3540      4645    2470    5136    1766    1389    7163    2228    1978    1339    2139     557     882    5715    1449    2338     164     157     149     204     624     108     146     114     145    1179     140     191     114     177
PA3541       978     540     610     550     348     949     582     578     234     420     136      97     725     353     437     100     168     111     189     242      96     190     126     182     313     184     178     102     132
PA3544       651     362     592     352     237     900     459     439     235     379     133      95     749     390     337      40      98      62      97     166      75     141     102     156     255      86     125      77      70
PA3547       487     348     409     481     284     716     334     589     273     405     213     200     792     584     561      44      71      59      69     111      61      95      93     116     192      99     102      76      48
PA3548       540     336     427     334     301     801     445     423     340     489     237     202     688     461     514     145     167      99     101     179     120     155     102     168     212     136     123      95     101
PA3550       907     425     542     437     339    1669     862     906     573    1001     321     244     988     930     914      73     102      87     109     222      98     131     105     189     334     153     134     124      67
PA3551      3535    1395    2294    1707    1093    6336    2558    2408    1328    2520     720     506    3604    1958    2069     115     183     140     203     498     134     234     185     297     854     200     237     183     131
PA3552       352     224     168     311     192     191     217     116     119     100      89      76     164     209      91     747    1243    1989    2760    2005     839    1476    2323    2761    2115    1017    1494    1535    1236
PA3553       196     124      64     193     122     120     134      47      67      97      57      38     125     115      77     632     812    1236    2311    1459     720    1051    1499    2400    1610     851     960    1126     904
PA3554       388     236     173     307     172     365     333     177     143     121      82     141     301     203     165    1593    1744    2438    4510    2657    1788    2437    2651    5442    3189    2035    2037    2026    3007
PA3556       116     108      78     115      50     106     116      75      35      41      43      65     110      75      32     346     469     782    1527     614     464     671    1027    1430     827     464     627     660     649
PA3559       252     181     122     345     179     208     236     149     108     152     112      79     182     187      80    1241    1199    1610    3875    1911    1349    1838    1634    3825    2527    1545    1600    1587    2067
PA3560       175     131      92     186     159     288     233     174     105     116      51      65     174     126     121     879     994    1122    1247    1522    1528    1776    1312    1718    2364    1816    1790    1111    1052
PA3561       146     104      62     154     117     187     127     157      67     117      60      33     128     130      90     744    1031     900     784    1012    1166    1561    1325    1790    1752    1926    1581     809    1034
PA3562       326     342     188     371     360     419     451     384     179     300     119      99     428     302     242    1910    3010    2660    2514    2641    2844    4243    3663    4545    4242    5407    3960    2234    2973
PA3568      1785    1239     863    1520    1371    3877    2809    2196    1018    1087     997     567    2309    1463    1302     278     316     335     333     328     314     413     380     429     397     483     445     307     206
PA3569       860     808     677     899     864    1389     758     803     260     418     586     231     950     446     509      54      44      17      56      54      56      67      47      64      71      97      57      36      26
PA3570      3650    2480    2141    2729    3018    4564    2178    1909     640    1483    1641     667    2525    1250    1555     315     287     156     218     303     244     286     172     251     296     410     353     218     150
PA3578      4443    2457    1125    4697    5169    2742    4209    2369    1523    4564    1050    1311    2134    2568    2514     623    1155     826    1237    1066     967    1618    1181    1718    1106    1304    1181     823     667
PA3579       613     521     384     741     404     453     647     489     210     280     163     302     496     343     279     478    2235    2767    2696    2459    2866    4030    3715    4205    3175    1730    3434    2979    1386
PA3580       465     433     395     400     291     249     473     282     156     200     135     153     469     263     173     373    1563    1624    1587    1253    1315    1903    1767    2018    1406     959    1679    1568    1185
PA3581       889    1013     432    1546     881     672    1423    1113     870    1364     639     836     568    1139    1082    1129    5637    4840    4590    6189    3689    5549    7461    7472    4936    3777    4214    3822    1788
PA3582      2092    2064    1308    2189    1498    2459    2784    1308    1078    1625    1093    1178    1822    1770    1760    1678    9239    7715    9626   15022    9603   10520    9295   11646   12846    8854    9619    5740    5580
PA3601      1610     646     567     609     606     283     199     121     216     916     161     203     252     201     308     159     153      99     121      85      57      95      51     150      49      88      72      78      77
PA3610       157      81     122     159     133     105     118     152      38     101      43      52     147      80      73     422     432     693    1389     371     543    1006     585    1043     575     557     740     751     721
PA3613      2874    2255    1715    2833    2538    2302    2183    2542     803    1151    1037     670    2309    1539    1489   10027   13414    5594   11837   17843   14051   15093    8467   26661   21382   20077    8538    7405    6668
PA3621       815     771     796     967     658     576     891     713     506     707     710     554     898     660     730    4351    4739    3959    3147    4670    2306    3171    2683    3356    2514    3259    2359    3551    2040
PA3622     79929   63646   51615   35469   51188   89774   54855   21132   29088   46406   32134   19986   53076   27835   35249    9758    7814    5598    9375   10961    5183    6157    4038    6885    6821    8891    6022    5084    5823
PA3623     39149   25869   19779   25448   26028   34673   36610   17901   30951   42549   28841   28897   21588   25968   32299    5885    6861    5453    6074    6677    3715    4882    5328    6280    4169    5674    4158    4411    2911
PA3628      4067    3228    2741    5122    5577    8716    5913    4961    2145    3530    2968    2482    5882    3915    3811     729    1351    1919    1616    1388    1203    1853    2795    2264    1919    1457    1474    2165     923
PA3631       875     598     479     633     663     808     831     596     282     439     321     283     644     451     375    1638    1897    1952    2469    1906    1820    2100    1906    2835    2161    1670    1549    1494    1289
PA3632       486     496     211     204     173     286     303     180     128     121     141      86     306     157     141     732    1143     918     692    1280     911     932     575    1630     768     897     707     664     208
PA3633       465     472     321     556     380     541     689     527     214     285     172     237     626     371     360     670    1078    1371    1414     946    1394    2030    1725    1769    1581    1602    1683    1324     875
PA3641      1275     951     796    1223    1047     993    1084     913     614     855     439     591    1036     814     694    7349    6629    6518   17926    8295   12644   17139    6510   10256   13332    9979   16233    7472    6910
PA3642       546     481     240     637     591     528     730     598     272     354     269     458     500     497     482    1223    2037    2559    3308    2184    2571    3633    3264    3365    3256    2518    2604    2705    1341
PA3643      1001     821     517    1186     913    1000    1441    1077     436     668     450     623    1103    1045     758    2150    3923    5270    4854    3937    5256    6966    6481    7016    5190    4705    5231    5213    1674
PA3644      3314    2266    2121    1942    1795    2916    2466    1465    1200    1357    1161    1191    3428    1696    1484    9603    8913    8166    8994    8936   13174   11248    6439   10124    8119    8839   10070    7914    3970
PA3646      5011    4823    3837    4227    3316    5988    5034    3248    1910    2147    1786    1854    5738    2749    2675    9420   10691   10553   16260   13026   13954   16744   10579   13633   14470   15103   14328   10532    7307
PA3650      1707    1376    1313    1647    1316    2190    1679    1287     664     780     574     664    1961    1032     823    2566    2346    3460    5590    3617    4008    5050    3887    4292    4574    4192    4606    3605    3029
PA3651       788     691     419    1007     633     838    1040     912     287     435     346     399     696     684     506     713    1116    2074    2471    1512    2111    3419    3008    2464    2753    2321    2658    2544    1031
PA3652      1573    1377    1205    1394    1268    1526    1171     909     506     798     608     613    1856     792     854    2468    2594    3514    4032    3385    5058    5406    3574    5105    4049    5133    5034    4089    2227
PA3653      3520    3209    1988    3874    2789    2974    3184    2520    1172    2135    1655    1487    2633    2274    2231    8638    8277    7502   11195    7649   12637   12787    8252   12554    9616   12259   11892    9738    6313
PA3655      7860    5952    7841    6578    5078    6712    5166    3261    2471    3541    2334    2499    8041    3664    3882   41087   31611   33600   51821   33802   49487   55573   25688   40153   40301   39283   52796   40025   33022
PA3656     18029   14637   17444   12925    8937   14354   10501    7490    5807    6379    4608    5924   17581    7271    6770   95651   64291   71363   90846   70123  108363  107293   54801   77186   76754   81817  105424   77056   56523
PA3660       794     491     379     653     574     850     863     559     311     348     306     278     695     485     425    1822    2276    1804    2004    2326    1621    1895    1504    2378    2036    2276    1798    1531     973
PA3662       369     212     197     251     376     220     250     156     153     280     169     290     228     187     185    1399    1238    1187     761    1231     726     825     953     782     678    1286     719    1001    1027
PA3666      2364    1568    1516    1592    1282    2573    2746    1397     919    1159     863     714    2336    1490    1130    5939    7452    9349    7248    7191    6735    7961    7597    5663    6603    5462    6355    8573    2591
PA3670       385     322     192     289     204     282     310     188      91     131     107     120     272     153     108     816     850    1151     872    1389     898     906     847     545    1350    1307    1190    1272     517
PA3671       222     138     133     128     107     170     163     100      70      84      39      69     140      84     100     463     384     470     425     516     351     382     401     205     503     527     451     475     195
PA3675       978     829     619     900     685     723     857     640     372     549     315     238     740     554     447    2715    2196    2230    2465    2184    2752    3109    2345    2570    2610    2495    2948    2443     882
PA3676       936     687     427     848     774     895    1025     718     390     571     334     372     779     595     600    2075    2446    1955    5469    2468    2985    2893    2250    9737    2752    3030    2655    1577    3400
PA3688      6500    2789    2570    2829    3420    3973    3903    1808    1674    4320    1437    1076    4450    2083    2490     210     335     428     253     438     224     343     335     367     325     328     244     316     121
PA3690      2911    2292    1361    2572    1990   13599   16494    4645    3980    4168    4402    4902   13433    7665    3684    1590    2223    2753    2408    2022    1874    2672    3185    2129    2367    2602    2388    2611    1373
PA3700      2737    2129    2318    1113    1028    2564    2204    1010     974     997     875     885    2692    1175    1101   12326    9753    9990   13052   10221    9785   11429    6407    7907    8541    8986   10029    8743    6215
PA3712      4300    3255    2609    5889    6864    4489    3885    3250    1810    4460    1433     985    5334    2922    2734     447     555     749     478     651     416     636    1119    1048     869     718     742     763     634
PA3715       431     401     254     360     350     402     427     327     155     269     169     144     387     260     278     884    1181    1550    1166    2101    1232    1787    1887     867    2642    1258    1553    1441     582
PA3716      2110    1430    1763    1417    1159    1778    1774     954     604     735     425     585    1696     813     754   11685    8883   11043    9934   27417   11886   12713    9764    4554   26255   11258   11517    8590    4460
PA3723      9485    5568    4258    7035    7694   10840    7897    4734    3248    6487    2569    2333    8125    4478    5080     338     379     364     505     618     364     426     375     663     532     520     393     384     313
PA3724    129472   78441   91410   78478   96312  278330  107026   76140   39685   87046   56785   34226  160965   69139   94018    1159     719     304     719     930     861     867     270     514     925    1335    1234     377     429
PA3727       104      97     119     137     118     107     120      73      43      84      38      65     125      85      76     733     808    1197     798    2778     933     963    1299     641    2823     928     850     932     478
PA3728      1095     913    1125     892     890    1015    1085     783     342     551     274     405    1092     594     550    7912    8407   12033    7954   18828   10213   12181   14809    8046   24039   11142   11081   12216    4586
PA3729      1288    1253    1223     945    1161    1156     917     602     272     733     291     396    1051     543     731    8778    8157   10388    8128   20973   10724   12697   13153    7935   30624   11760   13008   11534    6587
PA3730       157     154     158     103     102     113     139      98      53      53      46      63     193      63      45     520     638    1103     572    1513     631    1032    1076     605    1898     805    1077     919     548
PA3731      1673    1002     801     981     920    1877    1738     784     415     720     455     552    1919     964     710    3733    4835    5481    4845    7765    4696    6339    6243    4041   10121    5187    7281    5733    3006
PA3733a     1908    1175     929    1174     801    2469    1913    1023     900    1225    1161    1086    2352    1209    2054     136     231     264     330     660     128     198     267     567     584     184     165     266     171
PA3734      1776     868     663     853     916    1490    1820    1031    1143    1317     562     450    1054    1019     861     164     207     147     217     156     158     191     127     254     177     232     188      99     144
PA3740      1814    1084    1123     969     994    1780    1544     955     618     836     466     425    2091     821     728     251     246     424     224     257     267     371     328     269     231     322     256     387     147
PA3742      3317    2474    2138    2764    1574    1651    2439    1836    1170    1356     858     927    2465    1728    1197   24832   21536   19085   16449   22460   26717   24528   14153   21545   17433   24732   19846   20621    8874
PA3743     10416   10754    7354   11524    7627    7647    7957    5607    3094    4207    3462    3841    8503    5489    5416   14938   15752   31078   27812   17906   25309   31427   33404   30166   18820   23194   27094   30771   16285
PA3744     17032   12609    9726   11937    8989   11929   11970    6592    5089    4790    3528    4758   12655    5788    5056   21738   19737   33411   30961   23921   37384   38752   25445   25697   24048   22644   33259   29054   13414
PA3745      2903    1978    1947    2723    1600    2054    2177    1953    1185    1068     783    1342    2567    1453    1166    4604    4359    7145    5861    4387    8196    8006    7403    5782    5598    5286    8658    8173    3598
PA3769      5133    3983    3809    4283    3445    4465    3698    2616    1633    2205    1618    1448    3884    2315    2424   11175    9854   18056   20346   11373   15868   22759   19239   19731   14782   14312   16962   21599    9823
PA3770      7215    5036    4871    4769    4203    5639    4575    2763    1766    2686    1463    1926    4910    2474    2417   11683   11482   18245   16194    9535   12453   17490   14855   14306   11150   12869   15238   17314   10580
PA3781       175     104     125      96      89     171     144     111      70      91      61      81     141     112      90     454     396     342     310     326     463     400     307     274     263     613     426     280     219
PA3783      1100     710     467    1378    1442    1556    1426    1180     552    1061     541     595    1123     990     949     265     281     206     287     303     307     395     226     390     382     265     270     180     269
PA3784      3325    1876    1363    2882    2363    4102    3435    2341    1279    1753    1503     729    2755    2152    1728     250     427     335     364     636     587     705     300     631     804     490     433     303     200
PA3785     10635    6164    4068    8315    7396   11279   10419    7475    5772    5924    5668    2470    7681    8178    6673     954    1227     557     761    1413    1103    1213     668    1266    1350     978     812     532     322
